1|[Cześć], co słychać?|Hi, how's it going?
55|[Mogę] cię o coś [zapytać]?|May I ask you something?
56|[Mam pytanie].|I have a question.
57|[Nie mam pojęcia].|No idea.
58|[Nic nie szkodzi].|That doesn't matter.
59|[Nie ma za co].|My pleasure.
60|[Wielkie dzięki za] pomoc.|Thanks a lot for your help.
61|[Cieszę się], że cię widzę.|I'm happy to see you.
62|[Kopę lat]!|Long time no see!
63|[Co nowego]?|What's new?
64|[Nic takiego], a u ciebie?|Not much, and with you?
65|[Jak minął] ci dzień?|How was your day?
66|[Może być].|So-so.
67|[Nie najlepiej], szczerze mówiąc.|Not so good, to be honest.
68|[Brzmi dobrze].|That sounds good.
69|[To prawda].|That's true.
70|[To nieprawda].|That's not true.
71|[Właśnie]!|Exactly!
72|[Serio]?|Really?
73|[Naprawdę]? Nie wiedziałem.|Really? I didn't know that.
74|[Chyba tak].|I think so.
75|[Chyba nie].|I don't think so.
76|[Chwileczkę]!|Wait a moment!
77|[Chwila], proszę.|One moment, please.
78|[Uważaj]!|Watch out!
79|[Powodzenia]!|Good luck!
80|[Baw się dobrze]!|Have fun!
81|[Szerokiej drogi]!|Have a good trip!
82|[Pozdrów ode mnie] rodzinę.|Say hi to your family for me.
83|[Jak] to się [wymawia]?|How do you pronounce that?
84|[Nie jestem pewien].|I'm not sure.
85|[Możesz mi pomóc]?|Can you help me?
86|[Co się stało]?|What's wrong? / What's going on?
87|[Nic szczególnego].|Nothing special.
88|[Trzymaj się]!|Take care!
89|[Dbaj o siebie]!|Take care of yourself!
90|[To na razie]!|See you then!
91|[Nie jestem pewien, czy] dobrze to zrozumiałem.|I'm not sure whether I understood that correctly.
92|[Co masz na myśli]?|What do you mean by that?
93|[Jak to rozumiesz]?|How do you mean that?
94|[Chciałem tylko powiedzieć, że] się cieszę.|I just wanted to say that I'm happy.
95|[Czy mógłby mi Pan powiedzieć], gdzie jest dworzec?|Could you tell me where the train station is?
96|[Miałbym jedno pytanie].|I'd have a question.
97|[Miło cię] znowu widzieć.|It's nice to see you again.
98|[Dawno się nie] widzieliśmy.|We haven't seen each other in a long time.
99|[Co] ostatnio [porabiałeś]?|What have you been up to lately?
100|[Jak ci się] wiodło?|How have you been?
101|[Miło mi to słyszeć].|I'm glad to hear that.
102|[Przykro mi to słyszeć].|I'm sorry to hear that.
103|[Aha], teraz rozumiem.|Oh, I see, now I understand.
104|[To ma sens].|That makes sense.
105|[No to] ciekawe!|That's interesting!
106|[Czy to prawda, że] się przeprowadzasz?|Is it true that you're moving?
107|[Chciałem cię zapytać, czy] masz czas.|I wanted to ask you whether you have time.
108|[Nie masz nic przeciwko, jeśli] otworzę okno?|Do you mind if I open the window?
109|[Nie ma za co dziękować].|Don't mention it.
110|[Muszę lecieć].|I have to go.
111|[Niestety muszę już iść].|Unfortunately I have to go now.
112|[Bądźmy] w kontakcie.|Let's stay in touch.
113|[Odezwij się], jak będziesz miał czas.|Get in touch when you have time.
114|[Po prostu napisz mi] wiadomość.|Just send me a message.
115|[Mogę ci na chwilę przeszkodzić]?|Can I bother you for a second?
116|[Chyba nie przeszkadzam], co?|I'm not disturbing you, am I?
117|[Jak to było]?|What was that again?
118|[Zapomniałem], jak masz na imię.|I've forgotten your name.
119|[Na czym skończyliśmy]?|Where were we?
120|[Swoją drogą], mam nowiny.|By the way, I have news.
121|[À propos] urlopu, dokąd jedziesz?|Speaking of vacation, where are you going?
122|[To zależy od sytuacji].|That depends.
123|[To zależy].|It depends.
124|[Wszystko mi jedno], co będziemy robić.|I don't care what we do.
125|[Jestem ciekaw], co się stanie.|I'm curious to see what happens.
126|[Nie dosłyszałem tego].|I didn't catch that.
127|[Możesz to wyjaśnić inaczej]?|Can you explain that differently?
128|[Właściwie chodziło mi o] coś innego.|I actually meant something else.
129|[Przejęzyczyłem się].|I misspoke.
130|[To był tylko żart].|That was just a joke.
131|[Spieszę się].|I'm in a hurry.
132|[Fajnie, że jesteś].|Nice that you're here.
133|[Bezpiecznego powrotu do domu]!|Get home safely!
134|[Czuj się jak u siebie].|Make yourself at home.
135|[No cóż], takie jest życie.|Oh well, that's life.
136|[Jeśli się nie mylę], już się kiedyś spotkaliśmy.|If I'm not mistaken, we've met before.
137|[Brzmi znajomo].|That sounds familiar.
138|[Skądś cię znam].|You look familiar.
139|[Wyleciało mi to z głowy].|That slipped my mind.
140|[Mam to na końcu języka].|It's on the tip of my tongue.
141|[Zamieniam się w słuch].|I'm all ears.
142|[Jeśli mam być szczery], nie mam ochoty.|To be honest, I don't feel like it.
143|[Szczerze mówiąc], wydaje mi się to dziwne.|Honestly, I find that strange.
144|[O ile wiem], już go nie ma.|As far as I know, he's already gone.
145|[Tak czy inaczej], musimy działać dalej.|Be that as it may, we have to keep going.
146|[Krótko mówiąc]: nie wyszło.|In short: it didn't work out.
147|[Innymi słowy], zaczynamy od nowa.|In other words, we're starting over.
148|[Czyli] nie przyjdziesz?|So that means you're not coming?
149|[Jak mówiłem], dzisiaj nie mogę.|As I said, I can't today.
150|[Nie chciałem ci przerywać].|I didn't mean to interrupt you.
151|[Mogę coś szybko wtrącić]?|May I quickly add something?
152|[Daj mi skończyć]!|Let me finish!
153|[Do czego zmierzasz]?|What are you getting at?
154|[Nie o to chodzi].|That's not the point.
155|[Łatwo ci mówić].|That's easy for you to say.
156|[To dla mnie czarna magia].|It's all Greek to me.
157|[Masz rację], to był mój błąd.|You're right, that was my mistake.
158|[W tym] akurat [masz rację].|You do have a point there.
159|[Nie gniewaj się], ale muszę odwołać.|Don't take it the wrong way, but I have to cancel.
160|[Bez urazy].|No offense.
161|[Nie ma o czym mówić].|Let's forget about it.
162|[Nie to miałem na myśli].|I didn't mean it like that.
163|[No, to do dzieła]!|Well, let's get going!
164|[Zobaczymy].|We'll see.
165|[Kto wie]?|Who knows?
166|[To nie wchodzi w grę].|That's out of the question.
167|[Wchodzę w to]!|I'm in!
168|[Na szczęście] jeszcze się udało.|Luckily it still worked out.
169|[Niestety] muszę odwołać.|Unfortunately I have to cancel.
170|[Źle] cię [zrozumiałem].|I misunderstood you.
171|[O to mi właśnie chodziło].|That's what I was getting at.
172|[Trzymam za ciebie kciuki]!|I'll keep my fingers crossed for you!
173|[Połamania nóg]!|Break a leg!
174|[Nie przejmuj się tym].|Don't worry about it.
175|[Ni pióra, ni puszki]!|Break a leg! (good luck)
176|[Mówiąc między nami], projekt się nie udał.|Between you and me, the project failed.
177|[Jeśli mam być zupełnie szczery], miałem wątpliwości.|If I'm honest, I had doubts.
178|[Chyba że] masz lepszy pomysł.|Unless you have a better idea.
179|[Jedno nie wyklucza drugiego].|One doesn't rule out the other.
180|[To zupełnie inna historia].|That's a different story.
181|[To nie moja broszka].|That's not my problem.
182|[Przejdźmy wreszcie do konkretów].|Let's get to the point.
183|[Mówiąc wprost]: potrzebujemy więcej czasu.|To get to the point: we need more time.
184|[Jak to się mówi]: praktyka czyni mistrza.|As the saying goes: practice makes perfect.
185|[Że tak powiem].|So to speak.
186|[W gruncie rzeczy] masz rację.|Basically, you're right.
187|[Ściśle rzecz biorąc], to nie jest dozwolone.|Strictly speaking, that isn't allowed.
188|[Poza tym] wszystko u mnie dobrze.|Apart from that, I'm doing well.
189|[Z tego, co słyszałem], było super.|From everything I've heard, it was great.
190|[Nie chcę cię urazić], ale to było niegrzeczne.|I don't want to offend you, but that was rude.
191|[Chętnie dam się przekonać].|I'm happy to be proven wrong.
192|[Tego nie da się zaprzeczyć].|There's no denying that.
193|[To oczywiste].|That goes without saying.
194|[Jak z procy] padła odpowiedź.|The answer came like a shot.
195|[Zupełnie o tym nie pomyślałem].|That wasn't on my radar.
196|[Całkowicie się z tobą zgadzam].|I'm completely with you on that.
197|[Słowem]: przeprowadzamy się.|Long story short: we're moving.
198|[Tu mnie zagiąłeś].|You've got me there. (I don't know)
199|[To kwestia otwarta].|That remains to be seen.
200|[Brak mi słów].|I'm speechless.
201|[Pozwolę sobie się przedstawić]: jestem nowym sąsiadem.|May I briefly introduce myself? I'm the new neighbor.
202|[Chyba się jeszcze nie znamy], prawda?|We haven't met yet, have we?
203|[Chyba już się kiedyś spotkaliśmy].|I think we've met before.
204|[Skąd] właściwie [znasz] Lisę?|How do you actually know Lisa?
205|[Co cię] tu [sprowadza]?|What brings you here?
206|[Od jak dawna jesteś] w mieście?|How long have you been in the city?
207|[Często tu bywasz]?|Do you come here often?
208|[Co porabiasz], kiedy nie pracujesz?|What do you get up to when you're not working?
209|[Chciałem się tylko na chwilę odezwać].|I just wanted to check in quickly.
210|[Miło cię słyszeć]!|Nice to hear from you!
211|[Przepraszam, że odzywam się dopiero teraz].|Sorry I'm only getting back to you now.
212|[Mam nadzieję, że u ciebie wszystko dobrze].|I hope you're doing well.
213|[Mógłbyś to przeliterować]?|Could you spell that, please?
214|[Nie dosłyszałem, co mówisz].|I didn't catch what you said.
215|[Połączenie jest] dość [słabe].|The connection is pretty bad.
216|[Bardzo cię słabo słychać], możesz mówić głośniej?|You're very quiet, can you speak louder?
217|[Słyszysz mnie]?|Can you hear me?
218|[Zaraz do ciebie oddzwonię].|I'll call you right back.
219|[Słuchaj], masz dziś jakieś plany?|Say, do you have any plans today?
220|[Masz chwilkę]?|Would you have a moment?
221|[Nie chcę cię zatrzymywać].|I don't want to keep you.
222|[To nie przeszkadzam ci już w pracy].|I'll let you get back to work now.
223|[Miło się z tobą rozmawiało].|It was nice chatting with you.
224|[Odzywaj się]!|Keep in touch!
225|[Przekaż] mamie [serdeczne pozdrowienia].|Give your mother my love.
226|[Dzięki, nawzajem]!|Thanks, you too!
227|[Miło z twojej strony], dzięki.|That's kind of you, thanks.
228|[To byłoby naprawdę kochane].|That would be really sweet.
229|[Mam nadzieję, że nie przeszkadzam].|I hope I'm not interrupting.
230|[Przepraszam, że tak na ciebie spadam bez uprzedzenia].|Sorry to spring this on you.
231|[Możemy mówić sobie po imieniu]?|May I use "du" with you?
232|[Może przejdziemy na ty]?|Shall we switch to "du"?
233|[Może mi Pan śmiało mówić po imieniu].|You're welcome to call me "du".
234|[Nie chciałem być niegrzeczny].|I didn't mean to be rude.
235|[Chyba się źle zrozumieliśmy].|It seems we misunderstood each other.
236|[Dobrze rozumiem], że nie przyjdziesz?|Do I understand correctly that you're not coming?
237|[Zmierzam do tego], że...|What I'm getting at is the following.
238|[Krótko i zwięźle]: wchodzę w to.|In a nutshell: I'm in.
239|[Krótko mówiąc], udało nam się.|To make a long story short, we did it.
240|[Będę się streszczał].|I'll keep it short.
241|[Nie chcę owijać w bawełnę].|I don't want to beat around the bush.
242|[Powiedz to po prostu wprost].|Just say it straight out.
243|[Muszę ci się do czegoś przyznać].|I have to confess something to you.
244|[Tak między nami], denerwuję się.|Just between us, I'm nervous.
245|[Zachowaj to proszę dla siebie].|Please keep that to yourself.
246|[To zostaje między nami].|That stays between us.
247|[Nie chciałem, żeby to tak zabrzmiało].|I didn't mean it that way.
248|[Teraz, jak o tym mówisz], też to zauważam.|Now that you mention it, I notice it too.
249|[Ach, prawie bym zapomniał]!|Oh, I almost forgot!
250|[Skoro już o tym mowa]: masz mój klucz?|While we're at it: do you have my key?
251|[Wracając do twojego pytania]: tak, chętnie.|To come back to your question: yes, gladly.
252|[Co jeszcze chciałem powiedzieć]: dzięki za wczoraj.|What I also wanted to say: thanks for yesterday.
253|[Jak by to powiedzieć]? To skomplikowane.|How should I put it? It's complicated.
254|[Nie mogę sobie przypomnieć tego słowa].|The word escapes me right now.
255|[Jak to się znowu nazywa]?|What do you call that again?
256|[Wiesz, o co mi chodzi].|You know what I mean.
257|[Nie do końca nadążam].|I can't quite follow you.
258|[Możesz podać przykład]?|Can you give an example?
259|[Tego nie powiedziałem].|That's not what I said.
260|[Źle mnie zrozumiałeś].|You misunderstood me.
261|[Pozwól, że to wyjaśnię].|Let me clarify that.
262|[Inaczej mówiąc]: potrzebujemy pomocy.|Put differently: we need help.
263|[Łatwiej powiedzieć, niż zrobić].|That's easier said than done.
264|[No, skoro tak]!|Well, if that's the case!
265|[No dobra, przekonałeś mnie]!|Okay, you've convinced me!
266|[Niech ci będzie].|Fine by me.
267|[Jak dla mnie] możemy też wyjść później.|As far as I'm concerned, we can leave later too.
268|[Nic wielkiego].|It's no big deal.
269|[Nie ma o czym mówić].|Not worth mentioning.
270|[Nie przejmuj się tym tak].|Don't let it get to you.
271|[Głowa do góry], będzie dobrze.|Chin up, it'll be fine.
272|[Siedzę jak na szpilkach].|I'm on tenterhooks.
273|[No, jestem ciekaw].|Now I'm curious.
274|[No proszę, kto by pomyślał]!|Well, how about that!
275|[Nie do wiary]!|You're kidding!
276|[O mój Boże]!|Oh my goodness!
277|[Żartujesz], prawda?|You're joking, right?
278|[Na serio]?|Seriously?
279|[Żarty na bok]: jak się naprawdę czujesz?|Joking aside: how are you really?
280|[Jak tam leci] w pracy?|So how are things going at work?
281|[Robi się, co się da].|You do what you can.
282|[Nie narzekam].|Can't complain.
283|[Jakoś leci].|You've got to keep going.
284|[Wszystko w porządku].|Everything's fine.
285|[Mogło być gorzej].|It could be worse.
286|[Jestem nieźle zestresowany], ale poza tym dobrze.|I'm pretty stressed, but otherwise fine.
287|[Super, że się udało]!|Great that it worked out!
288|[Życzę ci wielu sukcesów]!|I wish you lots of success!
289|[Wszystkiego dobrego na przyszłość]!|All the best for the future!
290|[Szczęśliwego Nowego Roku]!|Happy New Year! (said before New Year)
291|[Wesołych Świąt Wielkanocnych] wam wszystkim!|Happy Easter to you all!
292|[Wyrazy współczucia].|My sincere condolences.
293|[Szczerze współczuję].|My heartfelt sympathy.
294|[Odezwę się, jak tylko będę mógł].|I'll get in touch as soon as I can.
295|[Do następnego razu]!|Until next time!
296|[Będziemy w kontakcie].|We'll be in touch.
297|[Do zobaczenia]!|See you around!
298|[Trzymaj się i uważaj na siebie]!|Take care and look after yourself!
299|[Wracaj bezpiecznie]!|Get home safe!
300|[Jeśli dobrze pamiętam], poznaliśmy się w Wiedniu.|If I remember rightly, we met in Vienna.
301|[To dla mnie przyjemność] Pana poznać.|It's a pleasure to meet you.
302|[Wiele o Panu słyszałem].|I've heard a lot about you.
303|[Mam nadzieję, że same dobre rzeczy]!|Only good things, I hope!
304|[Czy mogę Panu przedstawić] mojego kolegę?|May I introduce my colleague to you?
305|[Przelotnie się spotkaliśmy].|We've met briefly.
306|[Pana nazwisko coś mi mówi].|Your name rings a bell.
307|[Przepraszam, że przeszkadzam].|Forgive the interruption.
308|[Nie chciałbym Panu sprawiać kłopotu].|I don't want to be a burden to you.
309|[To bardzo uprzejme z Pana strony].|That's very obliging of you.
310|[Bardzo to doceniam].|I really appreciate that.
311|[Jestem Panu ogromnie wdzięczny].|I'm deeply indebted to you.
312|[To przecież nic takiego].|It was the least I could do.
313|[Jak Pan uważa].|As you wish.
314|[Jeśli Pan pozwoli], chciałbym coś dodać.|If you'll allow me, I'd like to add something.
315|[Za przeproszeniem], ja widzę to inaczej.|With all due respect, I see it differently.
316|[Z całym szacunkiem], to nie do końca tak.|With all due respect, that's not quite right.
317|[Nie chcę być niedyskretny], ale ile ma Pan lat?|I don't want to be indiscreet, but how old are you?
318|[Jeśli mogę zapytać]: czym się Pan zajmuje zawodowo?|If I may ask: what do you do for a living?
319|[Proszę mi nie mieć za złe], jeśli wyjdę wcześniej.|Don't hold it against me if I leave early.
320|[Głupio mi], ale zapomniałem, jak Pan się nazywa.|This is embarrassing, but I've forgotten your name.
321|[Najmocniej przepraszam].|I do apologize.
322|[Wcale nie było to moim zamiarem].|That was by no means my intention.
323|[Chyba wyraziłem się niejasno].|I seem to have expressed myself unclearly.
324|[Pozwoli Pan, że to doprecyzuję].|Let me be more precise.
325|[Ściślej mówiąc] chodziło o coś innego.|More precisely, it was about something else.
326|[Czyli: musimy] całość przełożyć.|In other words: we have to postpone the whole thing.
327|[Mówiąc wprost], to znaczy, że nie przyjdziesz.|In plain terms, that means you're not coming.
328|[Mówiąc kolokwialnie]: to była klapa.|To put it bluntly: that was a flop.
329|[Ostrożnie mówiąc], nie było to idealne.|To put it mildly, that wasn't ideal.
330|[Delikatnie mówiąc], jestem rozczarowany.|To put it mildly, I'm disappointed.
331|[Szczerze przyznam], nie miałem pojęcia.|Frankly, I had no idea.
332|[Bez ogródek]: potrzebuję twojej pomocy.|Without beating around the bush: I need your help.
333|[Zdradzę od razu]: udało się.|To give it away now: it worked.
334|[Nawiasem mówiąc], jedzenie było wyśmienite.|Incidentally, the food was excellent.
335|[Wspomniał mimochodem], że się przeprowadza.|He mentioned in passing that he's moving.
336|[To tak na marginesie].|Just as an aside.
337|[Tak czy owak], powinniśmy zaczynać.|Be that as it may, we should get started.
338|[Jak już mówiłem], jestem elastyczny.|As I said, I'm flexible there.
339|[Jak już wspomniano], spotkanie zaczyna się o dziesiątej.|As already mentioned, the meeting starts at ten.
340|[Przejdę od razu do rzeczy].|I'll get straight to the point.
341|[Dużo gadania, zero treści].|A lot of talk, no point at all.
342|[Mówię jak do ściany].|I'm talking to a brick wall.
343|[Owijasz w bawełnę].|You're beating around the bush.
344|[No i zgubiłeś wątek].|Now you've lost the thread.
345|[Na czym to ja skończyłem]?|Where was I?
346|[Odbiegam od tematu].|I'm digressing.
347|[Wróćmy do tematu].|Back to the topic.
348|[To nie ma tu nic do rzeczy].|That's beside the point here.
349|[To nie ulega wątpliwości].|That's beyond question.
350|[To się rozumie samo przez się].|That goes without saying.
351|[To oczywiste jak słońce].|That's obvious.
352|[Słucham? Chyba nie mówisz poważnie]!|Excuse me? You can't be serious!
353|[Tego już za wiele]!|That takes the cake!
354|[Aż dech zapiera].|It takes your breath away.
355|[Zaniemówiłem].|I'm speechless.
356|[Brakuje mi słów].|I'm lost for words.
357|[Nie wierzę własnym uszom].|I can't believe my ears.
358|[No, to już coś]!|That's quite something!
359|[No to pięknie się porobiło]!|Well, this is a fine mess!
360|[Nie spodziewałem się tego po tobie].|I wouldn't have thought you had it in you.
361|[Czapki z głów]!|Hats off!
362|[Szacun]!|Well done! / Respect!
363|[Jest się czym pochwalić].|That's impressive.
364|[Szacunek, dobra robota].|Respect, you did that well.
365|[Trzymam cię za słowo].|I'll hold you to that.
366|[Obietnica to obietnica].|A promise is a promise.
367|[Będę cię informować na bieżąco].|I'll keep you posted.
368|[Daj znać, gdyby coś się zmieniło].|Let me know if anything changes.
369|[Jestem do twojej dyspozycji o każdej porze].|I'm at your disposal at any time.
370|[Proszę śmiało się odzywać].|Don't hesitate to get in touch.
371|[Mam nadzieję, że wkrótce znów się zobaczymy].|I look forward to seeing you again soon.
372|[Cała przyjemność po mojej stronie].|It was my pleasure.
373|[Zapraszamy ponownie]!|Do come again soon!
374|[Proszę pozdrowić ode mnie żonę].|Give my regards to your wife.
375|[Proszę przekazać pozdrowienia] rodzinie.|Give my regards to your family.
376|[Życzę Panu miłego wieczoru].|I wish you a pleasant evening.
377|[Szczęśliwej drogi do domu].|Have a safe trip home.
378|[Wszystkiego dobrego]!|All the best!
379|[Do rychłego zobaczenia]!|See you soon!
380|[Do prędkiego]!|See you soon!
381|[Zobaczymy się najpóźniej w przyszłym tygodniu].|We'll see each other next week at the latest.
382|[Papatki]!|Bye-bye! (playful)
383|[Cześć, do zobaczenia w tych dniach]!|Bye, see you one of these days!
384|[No to pięknie, nie ma co]!|Well, that's just great! (ironic)
385|[Miłego wieczoru po pracy]!|Enjoy the rest of your evening! (after work)
386|[Smacznego]!|Hello! (greeting at lunchtime at work)
387|[Siema]!|Hi there!
388|[Hej, hej]!|Hello! (northern Germany)
389|[Siemka, jak leci, co słychać]?|Hey, how's it going?
390|[No i jak, wszystko gra]?|Hey, everything good?
391|[Wieki cię nie widziałem]!|It's been ages!
392|[Jaki ten świat mały]!|What a small world!
393|[Świat jest mały, jeszcze się spotkamy].|Our paths are bound to cross again.
394|[Co za zbieg okoliczności], że cię tu spotykam!|What a coincidence to meet you here!
395|[Trudno cię poznać]!|You're hardly recognizable!
396|[Ani trochę się nie zmieniłeś].|You haven't changed a bit.
397|[Czas leci jak szalony].|Time flies.
398|[Pamiętasz], jak się poznaliśmy?|Do you remember how we met?
399|[To były czasy]!|Those were the days!
400|[Musimy to wkrótce powtórzyć].|Let's do this again soon.
401|[To jest] moja mama.|This is my mother.
402|[To jest] mój tata.|This is my father.
403|[Mam] dwóch braci.|I have two brothers.
404|[Mam] siostrę.|I have a sister.
405|[Masz] rodzeństwo?|Do you have siblings?
406|[Jestem] jedynakiem.|I'm an only child.
407|[Jestem żonaty].|I'm married.
408|[Jestem singlem].|I'm single.
409|[Masz] dzieci?|Do you have children?
410|[Mamy] dwoje dzieci.|We have two children.
411|[Ile lat ma] twój syn?|How old is your son?
412|Moja córka [ma] pięć [lat].|My daughter is five years old.
413|Moi rodzice [mieszkają w] Berlinie.|My parents live in Berlin.
414|[To jest] moja żona.|This is my wife.
415|[To jest] mój mąż.|This is my husband.
416|[Mój najlepszy przyjaciel ma na imię] Max.|My best friend's name is Max.
417|[To jest] moja dziewczyna, Lisa.|This is my girlfriend / friend Lisa.
418|Moja babcia [ma] osiemdziesiąt lat.|My grandma is eighty.
419|[Kocham cię].|I love you.
420|[Tęsknię za tobą].|I miss you.
421|[Co słychać u] twojej rodziny?|How is your family?
422|[U mojej rodziny wszystko dobrze].|My family is doing well.
423|[Jesteśmy] dużą rodziną.|We're a big family.
424|[Mój brat jest] starszy [ode mnie].|My brother is older than me.
425|[Moja siostra jest] młodsza.|My sister is younger.
426|[On jest] bardzo miły.|He's very nice.
427|[Ona jest] moją koleżanką z pracy.|She's my colleague.
428|[Idziesz] z nami?|Are you coming along?
429|[Bawimy się] razem.|We play together.
430|[Dzwonię do] mamy.|I'm calling my mother.
431|[Jemy] dziś u moich rodziców.|We're eating at my parents' today.
432|[Mój wujek mieszka] w Hamburgu.|My uncle lives in Hamburg.
433|[Moja ciocia jest] lekarką.|My aunt is a doctor.
434|[Odwiedzam] dziadków.|I'm visiting my grandparents.
435|[Mamy] psa.|We have a dog.
436|[Nasz kot wabi się] Mia.|Our cat's name is Mia.
437|[To jest] moje dziecko.|This is my baby.
438|[Kiedy masz urodziny]?|When is your birthday?
439|[Mam urodziny] w maju.|My birthday is in May.
440|[Wszystkiego najlepszego z okazji urodzin]!|Happy birthday!
441|[Chcesz] zjeść z nami?|Do you want to eat with us?
442|[Mam] wielu przyjaciół.|I have many friends.
443|[On jest] moim sąsiadem.|He's my neighbor.
444|[Jesteśmy] przyjaciółmi.|We're friends.
445|[Gdzie są] dzieci?|Where are the kids?
446|[Spotykamy się] w weekend z przyjaciółmi.|We're meeting up with friends at the weekend.
447|[Dobrze dogaduję się z] tatą.|I get along well with my father.
448|[Masz ochotę] wpaść dziś wieczorem?|Do you feel like coming over tonight?
449|Moja babcia [ma] w przyszłym tygodniu [urodziny].|It's my grandma's birthday next week.
450|[Robimy] w sobotę imprezę.|We're having a party on Saturday.
451|[Zapraszam cię] na moją imprezę.|I'm inviting you to my party.
452|[Dzięki za zaproszenie]!|Thanks for the invitation!
453|[Chętnie przyjdę].|I'd love to come.
454|[Jak się poznaliście]?|How did you two meet?
455|[Poznaliśmy się] na studiach.|We met at university.
456|[Jesteśmy razem od] pięciu lat.|We've been together for five years.
457|[Pobraliśmy się] w zeszłym roku.|We got married last year.
458|[Ona jest w ciąży].|She's pregnant.
459|[Opiekuję się] dziś [dziećmi].|I'm looking after the kids today.
460|[Moi rodzice są rozwiedzeni].|My parents are divorced.
461|[Wciąż mieszkam z] rodzicami.|I still live with my parents.
462|[Mój syn chodzi] do szkoły.|My son goes to school.
463|[Spędzamy] święta [u] mojej rodziny.|We're spending Christmas with my family.
464|[Nie widujemy się] zbyt często.|We don't see each other that often.
465|[Rozmawiam] z mamą [przez telefon] w każdą niedzielę.|I talk on the phone with my mother every Sunday.
466|[Jest podobny do] swojego taty.|He looks like his father.
467|[Ona jest] bardzo [uczynna].|She's very helpful.
468|[On jest] czasem trochę [nieśmiały].|He's sometimes a bit shy.
469|[Mamy ze sobą wiele wspólnego].|We have a lot in common.
470|[Czym się zajmują] twoje dzieci [zawodowo]?|What do your kids do for work?
471|[Co słychać u] twojego brata?|How's your brother?
472|[Pozdrów] ją [ode mnie].|Give her my regards.
473|[Możesz] mnie [odebrać]?|Can you pick me up?
474|[Odbieram] dzieci.|I'm picking up the kids.
475|[Idziemy] razem [na spacer].|We're going for a walk together.
476|[Wpadniecie] jutro?|Are you coming by tomorrow?
477|[Przyprowadź] swojego chłopaka!|Bring your boyfriend along!
478|[Poznałem] nowego kolegę.|I met a new friend.
479|[Jest] w moim wieku.|He's my age.
480|[Moja rodzina pochodzi z] Włoch.|My family comes from Italy.
481|[Wychowałem się] u babci.|I grew up at my grandma's.
482|[Czasem się kłócimy].|We argue sometimes.
483|[Pogodziliśmy się].|We made up again.
484|[Cieszę się na] rodzinną uroczystość.|I'm looking forward to the family celebration.
485|[Nasze dzieci lubią się bawić] na dworze.|Our kids like playing outside.
486|[Mamy] dla ciebie prezent.|We have a present for you.
487|[Ale to] kochane [z twojej strony]!|That's so sweet of you!
488|[Jak ma na imię] twoja dziewczyna?|What's your girlfriend's name?
489|[Przyjaźnię się] z nią.|I'm friends with her.
490|[Mój kuzyn mieszka] za granicą.|My cousin lives abroad.
491|[Znamy się od] czasów szkolnych.|We've known each other since school.
