1|[Ahoj], jak se máš?|Hi, how's it going?
103|[Aha], teď už tomu rozumím.|Oh, I see, now I understand.
104|[To dává smysl].|That makes sense.
105|[To je ale] zajímavé!|That's interesting!
106|[Je pravda, že] se stěhuješ?|Is it true that you're moving?
107|[Chtěl jsem se tě zeptat, jestli] máš čas.|I wanted to ask you whether you have time.
108|[Vadilo by ti, kdybych] otevřel okno?|Do you mind if I open the window?
109|[Nemáš zač].|Don't mention it.
110|[Musím běžet].|I have to go.
111|[Bohužel už musím jít].|Unfortunately I have to go now.
112|[Zůstaňme] v kontaktu.|Let's stay in touch.
113|[Ozvi se], až budeš mít čas.|Get in touch when you have time.
114|[Prostě mi napiš] zprávu.|Just send me a message.
115|[Můžu tě na chvilku vyrušit]?|Can I bother you for a second?
116|[Neruším], že ne?|I'm not disturbing you, am I?
117|[Jak to bylo]?|What was that again?
118|[Zapomněl jsem] tvoje jméno.|I've forgotten your name.
119|[Kde jsme skončili]?|Where were we?
120|[Mimochodem], mám novinky.|By the way, I have news.
121|[Když už mluvíme o] dovolené, kam jedeš?|Speaking of vacation, where are you going?
122|[To záleží na okolnostech].|That depends.
123|[Jak se to vezme].|It depends.
124|[Je mi jedno], co budeme dělat.|I don't care what we do.
125|[Jsem zvědavý], co se stane.|I'm curious to see what happens.
126|[To mi nějak uteklo].|I didn't catch that.
127|[Můžeš to vysvětlit jinak]?|Can you explain that differently?
128|[Vlastně jsem myslel] něco jiného.|I actually meant something else.
129|[Přeřekl jsem se].|I misspoke.
130|[To byl jen vtip].|That was just a joke.
131|[Spěchám].|I'm in a hurry.
132|[Jsem rád, že jsi tady].|Nice that you're here.
133|[Dobře dojeď domů]!|Get home safely!
134|[Cíť se jako doma].|Make yourself at home.
135|[No jo], takový je život.|Oh well, that's life.
136|[Jestli se nepletu], už jsme se jednou potkali.|If I'm not mistaken, we've met before.
137|[To mi zní povědomě].|That sounds familiar.
138|[Připadáš mi povědomý].|You look familiar.
139|[To mi vypadlo z hlavy].|That slipped my mind.
140|[Mám to na jazyku].|It's on the tip of my tongue.
141|[Jsem jedno ucho].|I'm all ears.
142|[Abych byl upřímný], nemám na to chuť.|To be honest, I don't feel like it.
143|[Upřímně řečeno] mi to přijde divné.|Honestly, I find that strange.
144|[Pokud vím], už odešel.|As far as I know, he's already gone.
145|[Ať je to jak chce], musíme pokračovat.|Be that as it may, we have to keep going.
146|[Zkrátka]: nevyšlo to.|In short: it didn't work out.
147|[Jinými slovy], začínáme znovu.|In other words, we're starting over.
148|[Takže to znamená], že nepřijdeš?|So that means you're not coming?
149|[Jak jsem říkal], dneska nemůžu.|As I said, I can't today.
150|[Nechtěl jsem tě přerušit].|I didn't mean to interrupt you.
151|[Můžu k tomu něco rychle dodat]?|May I quickly add something?
152|[Nech mě domluvit]!|Let me finish!
153|[Kam tím míříš]?|What are you getting at?
154|[O to nejde].|That's not the point.
155|[To se ti lehko řekne].|That's easy for you to say.
156|[Je to pro mě španělská vesnice].|It's all Greek to me.
157|[Máš pravdu], to byla moje chyba.|You're right, that was my mistake.
158|[V tom máš] vlastně [pravdu].|You do have a point there.
159|[Neber to zle], ale musím to zrušit.|Don't take it the wrong way, but I have to cancel.
160|[Nic ve zlém].|No offense.
161|[Zapomeňme na to].|Let's forget about it.
162|[Tak jsem to nemyslel].|I didn't mean it like that.
163|[Tak jdeme na to]!|Well, let's get going!
164|[Uvidíme].|We'll see.
165|[Kdo ví]?|Who knows?
166|[To nepřichází v úvahu].|That's out of the question.
167|[Jdu do toho]!|I'm in!
168|[Naštěstí] to ještě vyšlo.|Luckily it still worked out.
169|[Bohužel] to musím zrušit.|Unfortunately I have to cancel.
170|[Špatně jsem] tě [pochopil].|I misunderstood you.
171|[Přesně o to mi šlo].|That's what I was getting at.
172|[Držím ti palce]!|I'll keep my fingers crossed for you!
173|[Zlom vaz]!|Break a leg!
174|[Nedělej si s tím hlavu].|Don't worry about it.
175|[Ať se daří]!|Break a leg! (good luck)
176|[Mezi námi], ten projekt zkrachoval.|Between you and me, the project failed.
177|[Když mám být upřímný], měl jsem pochybnosti.|If I'm honest, I had doubts.
178|[Leda že bys] měl lepší nápad.|Unless you have a better idea.
179|[Jedno nevylučuje druhé].|One doesn't rule out the other.
180|[To je jiná kapitola].|That's a different story.
181|[To není moje starost].|That's not my problem.
182|[Tak teď pěkně na rovinu].|Let's get to the point.
183|[Abych to shrnul]: potřebujeme víc času.|To get to the point: we need more time.
184|[Jak se říká]: opakování je matka moudrosti.|As the saying goes: practice makes perfect.
185|[Takříkajíc].|So to speak.
186|[V podstatě] máš pravdu.|Basically, you're right.
187|[Přísně vzato] to není dovolené.|Strictly speaking, that isn't allowed.
188|[Kromě toho] se mám dobře.|Apart from that, I'm doing well.
189|[Podle všeho, co jsem slyšel], to bylo skvělé.|From everything I've heard, it was great.
190|[Nechci se tě dotknout], ale tohle bylo nezdvořilé.|I don't want to offend you, but that was rude.
191|[Rád se nechám přesvědčit o opaku].|I'm happy to be proven wrong.
192|[To se nedá popřít].|There's no denying that.
193|[To je samozřejmost].|That goes without saying.
194|[Jako když střelí] přišla odpověď.|The answer came like a shot.
195|[To jsem vůbec neměl na radaru].|That wasn't on my radar.
196|[V tomhle s tebou naprosto souhlasím].|I'm completely with you on that.
197|[Stručně řečeno]: stěhujeme se.|Long story short: we're moving.
198|[Tady jsem v koncích], to nevím.|You've got me there. (I don't know)
199|[To je otázka].|That remains to be seen.
200|[Nemám slov].|I'm speechless.
201|[Můžu se krátce představit]? Jsem nový soused.|May I briefly introduce myself? I'm the new neighbor.
202|[My se ještě neznáme], že ne?|We haven't met yet, have we?
203|[Myslím, že jsme se už někdy potkali].|I think we've met before.
204|[Odkud vlastně znáš] Lisu?|How do you actually know Lisa?
205|[Co tě sem přivádí]?|What brings you here?
206|[Jak dlouho už jsi] ve městě?|How long have you been in the city?
207|[Chodíš sem často]?|Do you come here often?
208|[Co děláš], když zrovna nepracuješ?|What do you get up to when you're not working?
209|[Jen jsem se chtěl krátce ozvat].|I just wanted to check in quickly.
210|[Rád tě slyším]!|Nice to hear from you!
211|[Promiň, že se ozývám až teď].|Sorry I'm only getting back to you now.
212|[Doufám, že se máš dobře].|I hope you're doing well.
213|[Mohl bys to prosím hláskovat]?|Could you spell that, please?
214|[Neslyšel jsem, co jsi říkal].|I didn't catch what you said.
215|[Spojení je] dost [špatné].|The connection is pretty bad.
216|[Je tě hrozně slabě slyšet], můžeš mluvit hlasitěji?|You're very quiet, can you speak louder?
217|[Slyšíš mě]?|Can you hear me?
218|[Hned ti zavolám zpátky].|I'll call you right back.
219|[Hele], máš dneska něco v plánu?|Say, do you have any plans today?
220|[Měl bys chvilku čas]?|Would you have a moment?
221|[Nechci tě zdržovat].|I don't want to keep you.
222|[Tak tě nechám pracovat].|I'll let you get back to work now.
223|[Bylo fajn si s tebou pokecat].|It was nice chatting with you.
224|[Ozvi se]!|Keep in touch!
225|[Pozdravuj ode mě] mámu.|Give your mother my love.
226|[Díky, ty taky]!|Thanks, you too!
227|[To je od tebe milé], díky.|That's kind of you, thanks.
228|[To by bylo fakt hezké].|That would be really sweet.
229|[Doufám, že neruším].|I hope I'm not interrupting.
230|[Promiň, že tě s tím takhle přepadám].|Sorry to spring this on you.
231|[Můžu ti tykat]?|May I use "du" with you?
232|[Nechceme si tykat]?|Shall we switch to "du"?
233|[Klidně mi můžete tykat].|You're welcome to call me "du".
234|[Nechtěl jsem být nezdvořilý].|I didn't mean to be rude.
235|[To jsme si asi špatně porozuměli].|It seems we misunderstood each other.
236|[Chápu to správně], že nepřijdeš?|Do I understand correctly that you're not coming?
237|[Kam tím mířím], je tohle.|What I'm getting at is the following.
238|[Krátce a jasně]: jdu do toho.|In a nutshell: I'm in.
239|[Abych to zkrátil], zvládli jsme to.|To make a long story short, we did it.
240|[Budu stručný].|I'll keep it short.
241|[Nechci chodit kolem horké kaše].|I don't want to beat around the bush.
242|[Prostě to řekni na rovinu].|Just say it straight out.
243|[Musím ti něco přiznat].|I have to confess something to you.
244|[Jen mezi námi], jsem nervózní.|Just between us, I'm nervous.
245|[Nech si to prosím pro sebe].|Please keep that to yourself.
246|[Tohle zůstane mezi námi].|That stays between us.
247|[Nemyslel jsem to tak].|I didn't mean it that way.
248|[Teď, když to říkáš], taky mi to došlo.|Now that you mention it, I notice it too.
249|[Jéžiš, málem bych zapomněl]!|Oh, I almost forgot!
250|[Když už jsme u toho]: nemáš můj klíč?|While we're at it: do you have my key?
251|[Abych se vrátil k tvé otázce]: ano, rád.|To come back to your question: yes, gladly.
252|[Ještě jsem chtěl říct]: díky za včerejšek.|What I also wanted to say: thanks for yesterday.
253|[Jak bych to řekl]? Je to složité.|How should I put it? It's complicated.
254|[Teď si nemůžu vzpomenout na to slovo].|The word escapes me right now.
255|[Jak se tomu zase říká]?|What do you call that again?
256|[Víš, co myslím].|You know what I mean.
257|[Úplně ti nerozumím].|I can't quite follow you.
258|[Můžeš dát příklad]?|Can you give an example?
259|[Tohle jsem neřekl].|That's not what I said.
260|[Špatně jsi mě pochopil].|You misunderstood me.
261|[Nech mě to vyjasnit].|Let me clarify that.
262|[Jinak řečeno]: potřebujeme pomoc.|Put differently: we need help.
263|[Snadněji se to řekne, než udělá].|That's easier said than done.
264|[No, když je to tak]!|Well, if that's the case!
265|[Tak jo, přemluvils mě]!|Okay, you've convinced me!
266|[Klidně].|Fine by me.
267|[Za mě] můžeme jít i později.|As far as I'm concerned, we can leave later too.
268|[O nic nejde].|It's no big deal.
269|[To nestojí za řeč].|Not worth mentioning.
270|[Nic si z toho nedělej].|Don't let it get to you.
271|[Hlavu vzhůru], to bude dobrý.|Chin up, it'll be fine.
272|[Jsem jak na trní].|I'm on tenterhooks.
273|[Tak to jsem zvědavý].|Now I'm curious.
274|[No teda]!|Well, how about that!
275|[To snad není možný]!|You're kidding!
276|[Proboha]!|Oh my goodness!
277|[Děláš si srandu], ne?|You're joking, right?
278|[Vážně]?|Seriously?
279|[Legraci stranou]: jak se máš doopravdy?|Joking aside: how are you really?
280|[Jak to jde] v práci?|So how are things going at work?
281|[Člověk dělá, co může].|You do what you can.
282|[Nemůžu si stěžovat].|Can't complain.
283|[Musí se to vydržet].|You've got to keep going.
284|[Všechno v pohodě].|Everything's fine.
285|[Mohlo by to být horší].|It could be worse.
286|[Mám teď pěkně napilno], ale jinak dobrý.|I'm pretty stressed, but otherwise fine.
287|[Super, že to vyšlo]!|Great that it worked out!
288|[Přeju ti hodně úspěchů]!|I wish you lots of success!
289|[Všechno nejlepší do budoucna]!|All the best for the future!
290|[Přeju ti šťastný vstup do nového roku]!|Happy New Year! (said before New Year)
291|[Veselé Velikonoce] vám všem!|Happy Easter to you all!
292|[Upřímnou soustrast].|My sincere condolences.
293|[Hluboce s Vámi soucítím].|My heartfelt sympathy.
294|[Ozvu se, jakmile budu moct].|I'll get in touch as soon as I can.
295|[Tak zase příště]!|Until next time!
296|[Budeme v kontaktu].|We'll be in touch.
297|[Tak se uvidíme]!|See you around!
298|[Měj se a dávej na sebe pozor]!|Take care and look after yourself!
299|[Dojeď v pořádku domů]!|Get home safe!
300|[Jestli si dobře vzpomínám], poznali jsme se ve Vídni.|If I remember rightly, we met in Vienna.
301|[Je mi potěšením] Vás poznat.|It's a pleasure to meet you.
302|[Už jsem o Vás hodně slyšel].|I've heard a lot about you.
303|[Doufám, že jen to dobré]!|Only good things, I hope!
304|[Smím Vám představit] svého kolegu?|May I introduce my colleague to you?
305|[Letmo jsme se už potkali].|We've met briefly.
306|[Vaše jméno mi něco říká].|Your name rings a bell.
307|[Promiňte, že ruším].|Forgive the interruption.
308|[Nechci Vás obtěžovat].|I don't want to be a burden to you.
309|[To je od Vás velmi laskavé].|That's very obliging of you.
310|[Moc si toho vážím].|I really appreciate that.
311|[Jsem Vám velice zavázán].|I'm deeply indebted to you.
312|[To bylo přece samozřejmé].|It was the least I could do.
313|[Jak myslíte].|As you wish.
314|[Pokud dovolíte], rád bych něco doplnil.|If you'll allow me, I'd like to add something.
315|[S dovolením], já to vidím jinak.|With all due respect, I see it differently.
316|[Se vší úctou], tak to úplně není.|With all due respect, that's not quite right.
317|[Nechci být indiskrétní], ale kolik Vám je?|I don't want to be indiscreet, but how old are you?
318|[Jestli se smím zeptat]: čím se živíte?|If I may ask: what do you do for a living?
319|[Nezlobte se na mě], když odejdu dřív.|Don't hold it against me if I leave early.
320|[Je mi to trapné], ale zapomněl jsem Vaše jméno.|This is embarrassing, but I've forgotten your name.
321|[Velice se omlouvám].|I do apologize.
322|[To rozhodně nebylo mým úmyslem].|That was by no means my intention.
323|[Asi jsem se nevyjádřil dost jasně].|I seem to have expressed myself unclearly.
324|[Dovolte mi to upřesnit].|Let me be more precise.
325|[Přesněji řečeno] šlo o něco jiného.|More precisely, it was about something else.
326|[Čili: musíme] celou věc odložit.|In other words: we have to postpone the whole thing.
327|[Na rovinu to znamená], že nepřijdeš.|In plain terms, that means you're not coming.
328|[Hovorově řečeno]: byl to propadák.|To put it bluntly: that was a flop.
329|[Opatrně řečeno] to nebylo ideální.|To put it mildly, that wasn't ideal.
330|[Mírně řečeno] jsem zklamaný.|To put it mildly, I'm disappointed.
331|[Upřímně přiznávám], že jsem neměl tušení.|Frankly, I had no idea.
332|[Bez okolků]: potřebuju tvoji pomoc.|Without beating around the bush: I need your help.
333|[Abych to prozradil předem]: vyšlo to.|To give it away now: it worked.
334|[Mimochodem], jídlo bylo vynikající.|Incidentally, the food was excellent.
335|[Jen tak mimochodem zmínil], že se stěhuje.|He mentioned in passing that he's moving.
336|[To jen na okraj].|Just as an aside.
337|[Ať už je to jakkoli], měli bychom začít.|Be that as it may, we should get started.
338|[Jak už jsem říkal], jsem v tomhle flexibilní.|As I said, I'm flexible there.
339|[Jak už bylo zmíněno], schůzka začíná v deset.|As already mentioned, the meeting starts at ten.
340|[Přejdu rovnou k věci].|I'll get straight to the point.
341|[Hodně řečí a nic za tím].|A lot of talk, no point at all.
342|[Mluvím do zdi].|I'm talking to a brick wall.
343|[Chodíš kolem horké kaše].|You're beating around the bush.
344|[Teď jsi ztratil nit].|Now you've lost the thread.
345|[Kde jsem to přestal]?|Where was I?
346|[Odbíhám od tématu].|I'm digressing.
347|[Zpátky k tématu].|Back to the topic.
348|[To sem nepatří].|That's beside the point here.
349|[O tom není pochyb].|That's beyond question.
350|[To se rozumí samo sebou].|That goes without saying.
351|[To je nabíledni].|That's obvious.
352|[Cože? To snad nemyslíš vážně]!|Excuse me? You can't be serious!
353|[To už je vrchol]!|That takes the cake!
354|[To člověku vyrazí dech].|It takes your breath away.
355|[Jsem úplně bez řeči].|I'm speechless.
356|[Na to nemám slov].|I'm lost for words.
357|[Nevěřím vlastním uším].|I can't believe my ears.
358|[No to je teda něco]!|That's quite something!
359|[No, to je pěkná kaše]!|Well, this is a fine mess!
360|[To bych do tebe neřekl].|I wouldn't have thought you had it in you.
361|[Klobouk dolů]!|Hats off!
362|[Všechna čest]!|Well done! / Respect!
363|[To stojí za to].|That's impressive.
364|[Respekt, to se ti povedlo].|Respect, you did that well.
365|[Beru tě za slovo].|I'll hold you to that.
366|[Slib je slib].|A promise is a promise.
367|[Budu tě průběžně informovat].|I'll keep you posted.
368|[Dej vědět, kdyby se něco změnilo].|Let me know if anything changes.
369|[Jsem ti kdykoli k dispozici].|I'm at your disposal at any time.
370|[Neváhejte se ozvat].|Don't hesitate to get in touch.
371|[Těším se, že se brzy zase uvidíme].|I look forward to seeing you again soon.
372|[Bylo mi potěšením].|It was my pleasure.
373|[Poctěte nás brzy zase návštěvou]!|Do come again soon!
374|[Pozdravujte ode mě manželku].|Give my regards to your wife.
375|[Vyřiďte mé pozdravy] své rodině.|Give my regards to your family.
376|[Přeji Vám ještě příjemný večer].|I wish you a pleasant evening.
377|[Dojeďte v pořádku domů].|Have a safe trip home.
378|[Mějte se hezky]!|All the best!
379|[Zatím na viděnou]!|See you soon!
380|[Brzy na shledanou]!|See you soon!
381|[Uvidíme se nejpozději příští týden].|We'll see each other next week at the latest.
382|[Čaues]!|Bye-bye! (playful)
383|[Čau, zase někdy]!|Bye, see you one of these days!
384|[No tak to je teda nadílka]!|Well, that's just great! (ironic)
385|[Hezký zbytek večera po práci]!|Enjoy the rest of your evening! (after work)
386|[Dobrou chuť]!|Hello! (greeting at lunchtime at work)
387|[Nazdar]!|Hi there!
388|[Zdravím, zdravím]!|Hello! (northern Germany)
389|[Čau, jak se vede, jak se daří]?|Hey, how's it going?
390|[Tak co, všechno v pohodě]?|Hey, everything good?
391|[To už je let]!|It's been ages!
392|[Jak je ten svět malý]!|What a small world!
393|[Člověk se vždycky potká dvakrát].|Our paths are bound to cross again.
394|[To je náhoda], že tě tu potkávám!|What a coincidence to meet you here!
395|[Tebe by člověk skoro nepoznal]!|You're hardly recognizable!
396|[Vůbec ses nezměnil].|You haven't changed a bit.
397|[Čas letí jako voda].|Time flies.
398|[Pamatuješ si], jak jsme se poznali?|Do you remember how we met?
399|[To byly časy]!|Those were the days!
400|[Dáme si to zase brzy].|Let's do this again soon.
401|[To je] moje máma.|This is my mother.
402|[To je] můj táta.|This is my father.
403|[Mám] dva bratry.|I have two brothers.
404|[Mám] sestru.|I have a sister.
405|[Máš] sourozence?|Do you have siblings?
406|[Jsem] jedináček.|I'm an only child.
407|[Jsem ženatý].|I'm married.
408|[Jsem svobodný].|I'm single.
409|[Máš] děti?|Do you have children?
410|[Máme] dvě děti.|We have two children.
411|[Kolik je] tvému synovi?|How old is your son?
412|Mojí dceři [je] pět [let].|My daughter is five years old.
413|Moji rodiče [bydlí v] Berlíně.|My parents live in Berlin.
414|[To je] moje žena.|This is my wife.
415|[To je] můj manžel.|This is my husband.
416|[Můj nejlepší kamarád se jmenuje] Max.|My best friend's name is Max.
417|[To je] moje přítelkyně Lisa.|This is my girlfriend / friend Lisa.
418|Mojí babičce [je] osmdesát.|My grandma is eighty.
419|[Miluju tě].|I love you.
420|[Chybíš mi].|I miss you.
421|[Jak se má] tvoje rodina?|How is your family?
422|[Moje rodina se má dobře].|My family is doing well.
423|[Jsme] velká rodina.|We're a big family.
424|[Můj bratr je] starší [než já].|My brother is older than me.
425|[Moje sestra je] mladší.|My sister is younger.
426|[Je] moc milý.|He's very nice.
427|[Je to] moje kolegyně.|She's my colleague.
428|[Půjdeš] taky?|Are you coming along?
429|[Hrajeme si] spolu.|We play together.
430|[Volám] mámě.|I'm calling my mother.
431|[Dneska jíme] u rodičů.|We're eating at my parents' today.
432|[Můj strejda bydlí] v Hamburku.|My uncle lives in Hamburg.
433|[Moje teta je] doktorka.|My aunt is a doctor.
434|[Jedu navštívit] prarodiče.|I'm visiting my grandparents.
435|[Máme] psa.|We have a dog.
436|[Naše kočka se jmenuje] Mia.|Our cat's name is Mia.
437|[To je] moje miminko.|This is my baby.
438|[Kdy máš narozeniny]?|When is your birthday?
439|[Narozeniny mám] v květnu.|My birthday is in May.
440|[Všechno nejlepší k narozeninám]!|Happy birthday!
441|[Chceš] se s námi najíst?|Do you want to eat with us?
442|[Mám] hodně kamarádů.|I have many friends.
443|[Je to] můj soused.|He's my neighbor.
444|[Jsme] kamarádi.|We're friends.
445|[Kde jsou] děti?|Where are the kids?
446|[Scházíme se] o víkendu s kamarády.|We're meeting up with friends at the weekend.
447|[Rozumím si dobře s] tátou.|I get along well with my father.
448|[Nechceš] dneska večer přijít?|Do you feel like coming over tonight?
449|Moje babička [má] příští týden [narozeniny].|It's my grandma's birthday next week.
450|[V sobotu pořádáme] večírek.|We're having a party on Saturday.
451|[Zvu tě] na svůj večírek.|I'm inviting you to my party.
452|[Díky za pozvání]!|Thanks for the invitation!
453|[Rád přijdu].|I'd love to come.
454|[Jak jste se seznámili]?|How did you two meet?
455|[Seznámili jsme se] na vysoké.|We met at university.
456|[Jsme spolu] pět let.|We've been together for five years.
457|[Loni jsme se vzali].|We got married last year.
458|[Je těhotná].|She's pregnant.
459|Dneska [hlídám děti].|I'm looking after the kids today.
460|[Moji rodiče jsou rozvedení].|My parents are divorced.
461|[Pořád bydlím u] rodičů.|I still live with my parents.
462|[Můj syn chodí] do školy.|My son goes to school.
463|[Vánoce trávíme u] mojí rodiny.|We're spending Christmas with my family.
464|[Nevídáme se] moc často.|We don't see each other that often.
465|[S mámou telefonuju] každou neděli.|I talk on the phone with my mother every Sunday.
466|[Je] celý [podobný] tátovi.|He looks like his father.
467|[Je] moc [ochotná].|She's very helpful.
468|[Je] občas trochu [stydlivý].|He's sometimes a bit shy.
469|[Máme hodně společného].|We have a lot in common.
470|[Co dělají] tvoje děti [za práci]?|What do your kids do for work?
471|[Jak se má] tvůj brácha?|How's your brother?
472|[Pozdravuj] ji [ode mě].|Give her my regards.
473|[Můžeš] pro mě [přijet]?|Can you pick me up?
474|[Vyzvednu] děti.|I'm picking up the kids.
475|[Jdeme] spolu [na procházku].|We're going for a walk together.
476|[Stavíte se] zítra?|Are you coming by tomorrow?
477|[Vezmi] s sebou svého přítele!|Bring your boyfriend along!
478|[Poznal jsem] nového kamaráda.|I met a new friend.
479|[Je] stejně starý jako já.|He's my age.
480|[Moje rodina pochází z] Itálie.|My family comes from Italy.
481|[Vyrůstal jsem] u babičky.|I grew up at my grandma's.
482|[Občas se hádáme].|We argue sometimes.
483|[Zase jsme se usmířili].|We made up again.
484|[Těším se na] rodinnou oslavu.|I'm looking forward to the family celebration.
485|[Naše děti si] rády [hrají] venku.|Our kids like playing outside.
486|[Máme] pro tebe [dárek].|We have a present for you.
487|[To je od tebe] ale [milé]!|That's so sweet of you!
488|[Jak se jmenuje] tvoje přítelkyně?|What's your girlfriend's name?
489|[Kamarádím se] s ní.|I'm friends with her.
490|[Můj bratranec žije] v zahraničí.|My cousin lives abroad.
491|[Známe se od] školy.|We've known each other since school.
492|[Na] ni [se můžu vždycky spolehnout].|I can always rely on her.
493|[Záleží na tom], kdo další přijde.|It depends on who else is coming.
494|[Máme] spolu [blízký vztah].|We have a close relationship.
495|[Mám] se sestrou [dobrý vztah].|I have a good relationship with my sister.
496|[Rozešel se se] svou přítelkyní.|He broke up with his girlfriend.
497|[Dala mu kopačky].|She broke up (with him).
498|[Zamilovala jsem se do] něj.|I fell in love with him.
499|[Zasnoubili jsme se]!|We got engaged!
500|[Čekají] druhé dítě.|They're expecting their second child.
501|[Jsem na] tebe [pyšná].|I'm proud of you.
502|[Dělám si starosti o] tátu.|I'm worried about my father.
503|[Stará se o] svou nemocnou mámu.|He takes care of his sick mother.
504|[Hodně toho] spolu [podnikáme].|We do a lot together.
505|[Už jsem] ji roky [neviděl].|I haven't seen her in years.
506|[Vyrůstali jsme] spolu.|We grew up together.
507|[Připomíná mi] dědu.|He reminds me of my grandpa.
508|[Moc mi chybí] rodina.|I miss my family a lot.
509|[Stýská se mi po domově].|I'm homesick.
510|[Držíme spolu].|We stick together.
511|[Hodně mi pomohla].|She helped me a lot.
512|[Chtěl jsem ti poděkovat].|I wanted to thank you.
513|[Pozval] mě [na večeři].|He invited me to dinner.
514|[Skvěle jsme si popovídali].|We had a really good conversation.
