1|[Bok], kako si?|Hi, how's it going?
104|[To ima smisla].|That makes sense.
105|[Pa to je] zanimljivo!|That's interesting!
106|[Je li istina da] se seliš?|Is it true that you're moving?
107|[Htio sam te pitati imaš li] vremena.|I wanted to ask you whether you have time.
108|[Smeta li ti ako] otvorim prozor?|Do you mind if I open the window?
109|[Nema na čemu, zaista].|Don't mention it.
110|[Moram ići].|I have to go.
111|[Nažalost, sad moram ići].|Unfortunately I have to go now.
112|[Ostanimo] u [kontaktu].|Let's stay in touch.
113|[Javi se] kad budeš imao vremena.|Get in touch when you have time.
114|[Samo mi pošalji] poruku.|Just send me a message.
115|[Mogu li te nakratko smetati]?|Can I bother you for a second?
116|[Ne smetam valjda], zar ne?|I'm not disturbing you, am I?
117|[Kako je ono bilo]?|What was that again?
118|[Zaboravio sam] ti [ime].|I've forgotten your name.
119|[Gdje smo stali]?|Where were we?
120|[Usput], imam novosti.|By the way, I have news.
121|[Kad smo već kod] godišnjeg, kamo ideš?|Speaking of vacation, where are you going?
122|[Ovisi o tome].|That depends.
123|[Ovisi].|It depends.
124|[Svejedno mi je] što ćemo raditi.|I don't care what we do.
125|[Jedva čekam vidjeti] što će se dogoditi.|I'm curious to see what happens.
126|[To nisam čuo].|I didn't catch that.
127|[Možeš li to objasniti drugačije]?|Can you explain that differently?
128|[Zapravo sam mislio] nešto drugo.|I actually meant something else.
129|[Omaknulo mi se].|I misspoke.
130|[To je bila samo šala].|That was just a joke.
131|[Žurim se].|I'm in a hurry.
132|[Lijepo što si tu].|Nice that you're here.
133|[Sretno stigni kući]!|Get home safely!
134|[Osjećaj se kao kod kuće].|Make yourself at home.
135|[Eh, dobro], takav je život.|Oh well, that's life.
136|[Ako se ne varam], već smo se sreli.|If I'm not mistaken, we've met before.
137|[Zvuči mi poznato].|That sounds familiar.
138|[Izgledaš mi poznato].|You look familiar.
139|[To mi je ispalo iz glave].|That slipped my mind.
140|[Na vrh mi je jezika].|It's on the tip of my tongue.
141|[Sav sam se pretvorio u uho].|I'm all ears.
142|[Da budem iskren], nemam volje.|To be honest, I don't feel like it.
143|[Iskreno rečeno], to mi je čudno.|Honestly, I find that strange.
144|[Koliko ja znam], on je već otišao.|As far as I know, he's already gone.
145|[Kako god bilo], moramo nastaviti.|Be that as it may, we have to keep going.
146|[Ukratko]: nije uspjelo.|In short: it didn't work out.
147|[Drugim riječima], počinjemo ispočetka.|In other words, we're starting over.
148|[Znači], ne dolaziš?|So that means you're not coming?
149|[Kao što sam rekao], danas ne mogu.|As I said, I can't today.
150|[Nisam te htio prekinuti].|I didn't mean to interrupt you.
151|[Smijem li nešto kratko dodati]?|May I quickly add something?
152|[Pusti me da završim]!|Let me finish!
153|[Kamo ciljaš]?|What are you getting at?
154|[Nije to poanta].|That's not the point.
155|[Lako je tebi to reći].|That's easy for you to say.
156|[To mi je španjolsko selo].|It's all Greek to me.
157|[Imaš pravo], to je bila moja greška.|You're right, that was my mistake.
158|[Tu] zapravo [imaš pravo].|You do have a point there.
159|[Nemoj mi zamjeriti], ali moram otkazati.|Don't take it the wrong way, but I have to cancel.
160|[Bez uvrede].|No offense.
161|[Zaboravimo to].|Let's forget about it.
162|[Nisam to tako mislio].|I didn't mean it like that.
163|[Hajde, krenimo]!|Well, let's get going!
164|[Vidjet ćemo].|We'll see.
165|[Tko zna]?|Who knows?
166|[To ne dolazi u obzir].|That's out of the question.
167|[Ja sam za]!|I'm in!
168|[Srećom] je ipak uspjelo.|Luckily it still worked out.
169|[Nažalost] moram otkazati.|Unfortunately I have to cancel.
170|[Krivo sam] te [shvatio].|I misunderstood you.
171|[Upravo sam na to ciljao].|That's what I was getting at.
172|[Držim ti fige]!|I'll keep my fingers crossed for you!
173|[Puno sreće]!|Break a leg!
174|[Ne brini se zbog toga].|Don't worry about it.
175|[Slomi nogu]!|Break a leg! (good luck)
176|[Među nama rečeno], projekt je propao.|Between you and me, the project failed.
177|[Ako ću biti iskren], sumnjao sam.|If I'm honest, I had doubts.
178|[Osim ako] nemaš bolju ideju.|Unless you have a better idea.
179|[Jedno ne isključuje drugo].|One doesn't rule out the other.
180|[To je već druga priča].|That's a different story.
181|[To nije moja briga].|That's not my problem.
182|[Prijeđimo na stvar].|Let's get to the point.
183|[Da budem konkretan]: trebamo više vremena.|To get to the point: we need more time.
184|[Kako se lijepo kaže]: vježba čini majstora.|As the saying goes: practice makes perfect.
185|[Takoreći].|So to speak.
186|[U biti] imaš pravo.|Basically, you're right.
187|[Strogo govoreći], to nije dopušteno.|Strictly speaking, that isn't allowed.
188|[Osim toga], dobro sam.|Apart from that, I'm doing well.
189|[Prema svemu što sam čuo], bilo je super.|From everything I've heard, it was great.
190|[Ne želim te uvrijediti], ali to je bilo nepristojno.|I don't want to offend you, but that was rude.
191|[Rado ću priznati ako nisam u pravu].|I'm happy to be proven wrong.
192|[To se ne može poreći].|There's no denying that.
193|[To se podrazumijeva].|That goes without saying.
194|[Kao iz topa] stigao je odgovor.|The answer came like a shot.
195|[To mi uopće nije bilo na radaru].|That wasn't on my radar.
196|[Tu se potpuno slažem s tobom].|I'm completely with you on that.
197|[Da skratim priču]: selimo se.|Long story short: we're moving.
198|[Tu me pitaš previše].|You've got me there. (I don't know)
199|[To ćemo još vidjeti].|That remains to be seen.
200|[Ostao sam bez riječi].|I'm speechless.
201|[Smijem li se kratko predstaviti]? Ja sam novi susjed.|May I briefly introduce myself? I'm the new neighbor.
202|[Još se ne poznajemo], zar ne?|We haven't met yet, have we?
203|[Mislim da smo se već negdje sreli].|I think we've met before.
204|[Odakle ti zapravo poznaješ] Lisu?|How do you actually know Lisa?
205|[Što te dovodi] ovamo?|What brings you here?
206|[Koliko si već] u gradu?|How long have you been in the city?
207|[Dolaziš li često ovamo]?|Do you come here often?
208|[Čime se baviš] kad ne radiš?|What do you get up to when you're not working?
209|[Samo sam se htio nakratko javiti].|I just wanted to check in quickly.
210|[Lijepo te čuti]!|Nice to hear from you!
211|[Oprosti što se tek sad javljam].|Sorry I'm only getting back to you now.
212|[Nadam se da si dobro].|I hope you're doing well.
213|[Možeš li to sricati, molim te]?|Could you spell that, please?
214|[Nisam te dobro čuo].|I didn't catch what you said.
215|[Veza je] prilično [loša].|The connection is pretty bad.
216|[Jako se slabo čuješ], možeš li govoriti glasnije?|You're very quiet, can you speak louder?
217|[Čuješ li me]?|Can you hear me?
218|[Odmah ću te nazvati].|I'll call you right back.
219|[Reci mi], imaš li danas nešto u planu?|Say, do you have any plans today?
220|[Bi li imao trenutak]?|Would you have a moment?
221|[Ne želim te zadržavati].|I don't want to keep you.
222|[Pustit ću te sad da radiš dalje].|I'll let you get back to work now.
223|[Bilo je lijepo popričati s tobom].|It was nice chatting with you.
224|[Javljaj se]!|Keep in touch!
225|[Pozdravi mi] mamu [od srca].|Give your mother my love.
226|[Hvala, isto tako]!|Thanks, you too!
227|[Lijepo od tebe], hvala.|That's kind of you, thanks.
228|[To bi bilo stvarno slatko od tebe].|That would be really sweet.
229|[Nadam se da ne smetam].|I hope I'm not interrupting.
230|[Oprosti što ovako upadam].|Sorry to spring this on you.
231|[Smijem li ti govoriti ti]?|May I use "du" with you?
232|[Hoćemo li prijeći na ti]?|Shall we switch to "du"?
233|[Slobodno mi govorite ti].|You're welcome to call me "du".
234|[Nisam htio biti nepristojan].|I didn't mean to be rude.
235|[Izgleda da smo se krivo razumjeli].|It seems we misunderstood each other.
236|[Razumijem li dobro] da ne dolaziš?|Do I understand correctly that you're not coming?
237|[Ono na što ciljam] je sljedeće.|What I'm getting at is the following.
238|[Kratko i jasno]: ja sam za.|In a nutshell: I'm in.
239|[Da ne duljim], uspjeli smo.|To make a long story short, we did it.
240|[Bit ću kratak].|I'll keep it short.
241|[Ne želim okolišati].|I don't want to beat around the bush.
242|[Samo reci otvoreno].|Just say it straight out.
243|[Moram ti nešto priznati].|I have to confess something to you.
244|[Samo među nama], nervozan sam.|Just between us, I'm nervous.
245|[Molim te, zadrži to za sebe].|Please keep that to yourself.
246|[To ostaje među nama].|That stays between us.
247|[Nisam tako mislio].|I didn't mean it that way.
248|[Sad kad si to spomenuo], i ja to primjećujem.|Now that you mention it, I notice it too.
249|[Joj, skoro sam zaboravio]!|Oh, I almost forgot!
250|[Kad smo već kod toga]: imaš li moj ključ?|While we're at it: do you have my key?
251|[Da se vratim na tvoje pitanje]: da, rado.|To come back to your question: yes, gladly.
252|[Htio sam još reći]: hvala za jučer.|What I also wanted to say: thanks for yesterday.
253|[Kako da kažem]? Komplicirano je.|How should I put it? It's complicated.
254|[Ne mogu se sjetiti riječi].|The word escapes me right now.
255|[Kako se ono to zove]?|What do you call that again?
256|[Znaš na što mislim].|You know what I mean.
257|[Ne mogu te baš pratiti].|I can't quite follow you.
258|[Možeš li dati primjer]?|Can you give an example?
259|[Nisam to tako rekao].|That's not what I said.
260|[Krivo si me shvatio].|You misunderstood me.
261|[Da razjasnim].|Let me clarify that.
262|[Rečeno drugačije]: trebamo pomoć.|Put differently: we need help.
263|[Lakše je reći nego učiniti].|That's easier said than done.
264|[E, ako je tako]!|Well, if that's the case!
265|[Dobro, uvjerio si me]!|Okay, you've convinced me!
266|[Može, meni svejedno].|Fine by me.
267|[Što se mene tiče], možemo ići i kasnije.|As far as I'm concerned, we can leave later too.
268|[Nije to ništa strašno].|It's no big deal.
269|[Nije vrijedno spomena].|Not worth mentioning.
270|[Ne uzimaj to k srcu].|Don't let it get to you.
271|[Glavu gore], bit će sve u redu.|Chin up, it'll be fine.
272|[Sav sam na iglama].|I'm on tenterhooks.
273|[Baš me zanima].|Now I'm curious.
274|[Gle ti to]!|Well, how about that!
275|[Ma nemoj]!|You're kidding!
276|[Joj, Bože moj]!|Oh my goodness!
277|[Šališ se], zar ne?|You're joking, right?
278|[Ozbiljno]?|Seriously?
279|[Šalu na stranu]: kako si zapravo?|Joking aside: how are you really?
280|[Kako ide] na poslu?|So how are things going at work?
281|[Čovjek radi što može].|You do what you can.
282|[Ne mogu se žaliti].|Can't complain.
283|[Mora se].|You've got to keep going.
284|[Sve je pod kontrolom].|Everything's fine.
285|[Moglo bi biti i gore].|It could be worse.
286|[Prilično sam pod stresom], ali inače dobro.|I'm pretty stressed, but otherwise fine.
287|[Super da je uspjelo]!|Great that it worked out!
288|[Želim ti puno uspjeha]!|I wish you lots of success!
289|[Sve najbolje u budućnosti]!|All the best for the future!
290|[Sretan ti ulazak u Novu godinu]!|Happy New Year! (said before New Year)
291|[Sretan Uskrs] svima vama!|Happy Easter to you all!
292|[Iskrena sućut].|My sincere condolences.
293|[Duboko suosjećam s vama].|My heartfelt sympathy.
294|[Javit ću se čim budem mogao].|I'll get in touch as soon as I can.
295|[Do sljedećeg puta]!|Until next time!
296|[Čujemo se].|We'll be in touch.
297|[Vidimo se]!|See you around!
298|[Drži se i čuvaj se]!|Take care and look after yourself!
299|[Sretno stigni doma]!|Get home safe!
300|[Ako se dobro sjećam], upoznali smo se u Beču.|If I remember rightly, we met in Vienna.
301|[Zadovoljstvo mi je] upoznati vas.|It's a pleasure to meet you.
302|[Već sam puno čuo o vama].|I've heard a lot about you.
303|[Nadam se samo dobro]!|Only good things, I hope!
304|[Smijem li vam predstaviti] svog kolegu?|May I introduce my colleague to you?
305|[Letimično smo se sreli].|We've met briefly.
306|[Vaše mi je ime poznato].|Your name rings a bell.
307|[Oprostite na smetnji].|Forgive the interruption.
308|[Ne bih vam želio biti na teret].|I don't want to be a burden to you.
309|[To je vrlo susretljivo od vas].|That's very obliging of you.
310|[Jako to cijenim].|I really appreciate that.
311|[Duboko sam vam zahvalan].|I'm deeply indebted to you.
312|[Pa to se podrazumijevalo].|It was the least I could do.
313|[Kako želite].|As you wish.
314|[Ako dopustite], htio bih nešto dodati.|If you'll allow me, I'd like to add something.
315|[Uz dužno poštovanje], ja to vidim drugačije.|With all due respect, I see it differently.
316|[Uz sve poštovanje], to baš nije tako.|With all due respect, that's not quite right.
317|[Ne želim biti indiskretan], ali koliko imate godina?|I don't want to be indiscreet, but how old are you?
318|[Ako smijem pitati]: čime se bavite?|If I may ask: what do you do for a living?
319|[Nemojte mi zamjeriti] ako odem ranije.|Don't hold it against me if I leave early.
320|[Neugodno mi je], ali zaboravio sam vaše ime.|This is embarrassing, but I've forgotten your name.
321|[Najiskrenije se ispričavam].|I do apologize.
322|[To nipošto nije bila moja namjera].|That was by no means my intention.
323|[Izgleda da sam se nespretno izrazio].|I seem to have expressed myself unclearly.
324|[Dopustite da to preciziram].|Let me be more precise.
325|[Točnije rečeno], radilo se o nečem drugom.|More precisely, it was about something else.
326|[Drugim riječima: moramo] sve odgoditi.|In other words: we have to postpone the whole thing.
327|[Jasno rečeno], to znači da ne dolaziš.|In plain terms, that means you're not coming.
328|[Grubo rečeno]: to je bio promašaj.|To put it bluntly: that was a flop.
329|[Oprezno rečeno], to nije bilo idealno.|To put it mildly, that wasn't ideal.
330|[Blago rečeno], razočaran sam.|To put it mildly, I'm disappointed.
331|[Iskreno priznajem], nisam imao pojma.|Frankly, I had no idea.
332|[Bez okolišanja]: trebam tvoju pomoć.|Without beating around the bush: I need your help.
333|[Da odmah otkrijem]: uspjelo je.|To give it away now: it worked.
334|[Usput budi rečeno], hrana je bila izvrsna.|Incidentally, the food was excellent.
335|[Usputno je spomenuo] da se seli.|He mentioned in passing that he's moving.
336|[To samo usput].|Just as an aside.
337|[Bilo kako bilo], trebali bismo početi.|Be that as it may, we should get started.
338|[Kao što rekoh], tu sam fleksibilan.|As I said, I'm flexible there.
339|[Kao što je već spomenuto], sastanak počinje u deset.|As already mentioned, the meeting starts at ten.
340|[Prijeći ću odmah na stvar].|I'll get straight to the point.
341|[Puno priče, a nikakve poante].|A lot of talk, no point at all.
342|[Govorim zidu].|I'm talking to a brick wall.
343|[Okolišaš kao mačka oko vruće kaše].|You're beating around the bush.
344|[Sad si izgubio nit].|Now you've lost the thread.
345|[Gdje sam ono stao]?|Where was I?
346|[Skrećem s teme].|I'm digressing.
347|[Vratimo se na temu].|Back to the topic.
348|[To ovdje nije bitno].|That's beside the point here.
349|[To nije upitno].|That's beyond question.
350|[To se samo po sebi razumije].|That goes without saying.
351|[To je očito].|That's obvious.
352|[Molim? Pa ne misliš valjda ozbiljno]!|Excuse me? You can't be serious!
353|[Ovo je vrhunac svega]!|That takes the cake!
354|[Čovjeku zastane dah].|It takes your breath away.
355|[Bez riječi sam].|I'm speechless.
356|[Nedostaju mi riječi].|I'm lost for words.
357|[Ne vjerujem svojim ušima].|I can't believe my ears.
358|[Pa to je svašta]!|That's quite something!
359|[E, lijepo smo se zapetljali]!|Well, this is a fine mess!
360|[To ne bih od tebe očekivao].|I wouldn't have thought you had it in you.
361|[Kapa dolje]!|Hats off!
362|[Svaka čast]!|Well done! / Respect!
363|[To se može pokazati].|That's impressive.
364|[Respekt, to si dobro napravio].|Respect, you did that well.
365|[Držim te za riječ].|I'll hold you to that.
366|[Obećanje je obećanje].|A promise is a promise.
367|[Obavještavat ću te].|I'll keep you posted.
368|[Javi ako se nešto promijeni].|Let me know if anything changes.
369|[Uvijek sam ti na raspolaganju].|I'm at your disposal at any time.
370|[Ne ustručavajte se javiti].|Don't hesitate to get in touch.
371|[Veselim se skorom ponovnom susretu].|I look forward to seeing you again soon.
372|[Bilo mi je zadovoljstvo].|It was my pleasure.
373|[Posjetite nas opet uskoro]!|Do come again soon!
374|[Pozdravite mi suprugu].|Give my regards to your wife.
375|[Prenesite moje pozdrave] svojoj obitelji.|Give my regards to your family.
376|[Želim vam ugodnu večer].|I wish you a pleasant evening.
377|[Sretno stignite kući].|Have a safe trip home.
378|[Sve najbolje]!|All the best!
379|[Do skorog viđenja]!|See you soon!
380|[Do skora]!|See you soon!
381|[Vidimo se najkasnije idući tjedan].|We'll see each other next week at the latest.
382|[Bokić]!|Bye-bye! (playful)
383|[Ćao, vidimo se ovih dana]!|Bye, see you one of these days!
384|[E, baš krasno]!|Well, that's just great! (ironic)
385|[Ugodan ostatak večeri]!|Enjoy the rest of your evening! (after work)
386|[Dobar tek]!|Hello! (greeting at lunchtime at work)
387|[Pozdrav]!|Hi there!
388|[Bog bog]!|Hello! (northern Germany)
389|[Servus, kako si, što ima]?|Hey, how's it going?
390|[Hej, je li sve pet]?|Hey, everything good?
391|[Ima tome sto godina]!|It's been ages!
392|[Kako je svijet mali]!|What a small world!
393|[Uvijek se čovjek dvaput sretne u životu].|Our paths are bound to cross again.
394|[Koja slučajnost] da te ovdje sretnem!|What a coincidence to meet you here!
395|[Pa te skoro nisam prepoznao]!|You're hardly recognizable!
396|[Nisi se ni malo promijenio].|You haven't changed a bit.
397|[Vrijeme leti].|Time flies.
398|[Sjećaš li se] kako smo se upoznali?|Do you remember how we met?
399|[To su bila vremena]!|Those were the days!
400|[Ponovimo to uskoro].|Let's do this again soon.
401|[Ovo je] moja mama.|This is my mother.
402|[Ovo je] moj tata.|This is my father.
403|[Imam] dva brata.|I have two brothers.
404|[Imam jednu] sestru.|I have a sister.
405|[Imaš li] braće ili sestara?|Do you have siblings?
406|[Ja sam] jedinac.|I'm an only child.
407|[Oženjen sam].|I'm married.
408|[Neoženjen sam].|I'm single.
409|[Imaš li] djece?|Do you have children?
410|[Imamo] dvoje djece.|We have two children.
411|[Koliko godina ima] tvoj sin?|How old is your son?
412|Moja kći [ima] pet [godina].|My daughter is five years old.
413|Moji roditelji [žive u] Berlinu.|My parents live in Berlin.
414|[Ovo je] moja žena.|This is my wife.
415|[Ovo je] moj muž.|This is my husband.
416|[Moj najbolji prijatelj zove se] Max.|My best friend's name is Max.
417|[Ovo je] moja prijateljica Lisa.|This is my girlfriend / friend Lisa.
418|Moja baka [ima] osamdeset godina.|My grandma is eighty.
419|[Volim te].|I love you.
420|[Nedostaješ mi].|I miss you.
421|[Kako je] tvoja obitelj?|How is your family?
422|[Moja obitelj je dobro].|My family is doing well.
423|[Mi smo] velika obitelj.|We're a big family.
424|[Moj brat je] stariji [od mene].|My brother is older than me.
425|[Moja sestra je] mlađa.|My sister is younger.
426|[On je] jako drag.|He's very nice.
427|[Ona je] moja kolegica.|She's my colleague.
428|[Ideš li] s nama?|Are you coming along?
429|[Igramo se] zajedno.|We play together.
430|[Zovem] mamu [telefonom].|I'm calling my mother.
431|[Danas jedemo] kod mojih roditelja.|We're eating at my parents' today.
432|[Moj ujak živi] u Hamburgu.|My uncle lives in Hamburg.
433|[Moja teta je] liječnica.|My aunt is a doctor.
434|[Posjećujem] baku i djeda.|I'm visiting my grandparents.
435|[Imamo] psa.|We have a dog.
436|[Naša mačka zove se] Mia.|Our cat's name is Mia.
437|[Ovo je] moja beba.|This is my baby.
438|[Kad ti je rođendan]?|When is your birthday?
439|[Rođendan mi je] u svibnju.|My birthday is in May.
440|[Sretan rođendan]!|Happy birthday!
441|[Hoćeš li] jesti s nama?|Do you want to eat with us?
442|[Imam] puno prijatelja.|I have many friends.
443|[On je] moj susjed.|He's my neighbor.
444|[Mi smo] prijatelji.|We're friends.
445|[Gdje su] djeca?|Where are the kids?
446|[Nalazimo se] s prijateljima za vikend.|We're meeting up with friends at the weekend.
447|[Dobro se slažem s] tatom.|I get along well with my father.
448|[Imaš li volje] svratiti večeras?|Do you feel like coming over tonight?
449|Moja baka [ima rođendan] idući tjedan.|It's my grandma's birthday next week.
450|[Radimo] tulum u subotu.|We're having a party on Saturday.
451|[Pozivam te] na svoj tulum.|I'm inviting you to my party.
452|[Hvala na pozivu]!|Thanks for the invitation!
453|[Rado ću doći].|I'd love to come.
454|[Kako ste se upoznali]?|How did you two meet?
455|[Upoznali smo se] na faksu.|We met at university.
456|[Zajedno smo već] pet godina.|We've been together for five years.
457|[Vjenčali smo se] prošle godine.|We got married last year.
458|[Trudna je].|She's pregnant.
459|Danas [čuvam djecu].|I'm looking after the kids today.
460|[Moji roditelji su rastavljeni].|My parents are divorced.
461|[Još živim s] roditeljima.|I still live with my parents.
462|[Moj sin ide] u školu.|My son goes to school.
463|[Božić provodimo kod] moje obitelji.|We're spending Christmas with my family.
464|[Ne viđamo se] baš često.|We don't see each other that often.
465|Svake nedjelje [čujem se s] mamom [telefonom].|I talk on the phone with my mother every Sunday.
466|[Sliči] na svog oca.|He looks like his father.
467|[Ona je] jako [susretljiva].|She's very helpful.
468|[On je] ponekad malo [sramežljiv].|He's sometimes a bit shy.
469|[Imamo puno toga zajedničkog].|We have a lot in common.
470|[Čime se] tvoja djeca [bave]?|What do your kids do for work?
471|[Kako je] tvoj brat?|How's your brother?
472|[Pozdravi] je [od mene].|Give her my regards.
473|[Možeš li] doći [po] mene?|Can you pick me up?
474|[Idem po] djecu.|I'm picking up the kids.
475|[Idemo] zajedno [u šetnju].|We're going for a walk together.
476|[Hoćete li] sutra [svratiti]?|Are you coming by tomorrow?
477|[Povedi] i svog dečka!|Bring your boyfriend along!
478|[Upoznao sam] novog prijatelja.|I met a new friend.
479|[On je] mojih godina.|He's my age.
480|[Moja obitelj je iz] Italije.|My family comes from Italy.
481|[Odrastao sam] kod bake.|I grew up at my grandma's.
482|[Ponekad se svađamo].|We argue sometimes.
483|[Opet smo se pomirili].|We made up again.
484|[Veselim se] obiteljskom slavlju.|I'm looking forward to the family celebration.
485|[Naša se djeca vole igrati] vani.|Our kids like playing outside.
486|[Imamo] poklon [za tebe].|We have a present for you.
487|[Pa to je] baš [lijepo od tebe]!|That's so sweet of you!
488|[Kako se zove] tvoja cura?|What's your girlfriend's name?
489|[Prijatelj sam] s njom.|I'm friends with her.
490|[Moj bratić živi] u inozemstvu.|My cousin lives abroad.
491|[Poznajemo se još od] škole.|We've known each other since school.
492|[Uvijek se mogu osloniti na] nju.|I can always rely on her.
493|[Ovisi o tome] tko će još doći.|It depends on who else is coming.
494|[Imamo] vrlo [blizak odnos].|We have a close relationship.
495|[Imam dobar odnos sa] sestrom.|I have a good relationship with my sister.
496|[Prekinuo je sa] svojom curom.|He broke up with his girlfriend.
497|[Ona je prekinula].|She broke up (with him).
498|[Zaljubila sam se u] njega.|I fell in love with him.
499|[Zaručili smo se]!|We got engaged!
500|[Očekuju] svoje drugo dijete.|They're expecting their second child.
501|[Ponosan sam na] tebe.|I'm proud of you.
502|[Brinem se za] tatu.|I'm worried about my father.
503|[Brine se za] svoju bolesnu majku.|He takes care of his sick mother.
504|[Puno toga radimo zajedno].|We do a lot together.
505|[Nisam] je [vidio] godinama.|I haven't seen her in years.
506|[Odrasli smo] zajedno.|We grew up together.
507|[Podsjeća me na] mog djeda.|He reminds me of my grandpa.
508|Obitelj mi [jako nedostaje].|I miss my family a lot.
509|[Čeznem za domom].|I'm homesick.
510|[Držimo se zajedno].|We stick together.
511|[Puno mi je pomogla].|She helped me a lot.
512|[Htio sam ti se zahvaliti].|I wanted to thank you.
513|[Pozvao me] na večeru.|He invited me to dinner.
514|[Baš smo se lijepo ispričali].|We had a really good conversation.
515|[Posvađan sam] s njom.|I'm fighting with her.
516|[Žao mi je što] sam bio tako glasan.|I'm sorry I was so loud.
517|[Oprostio sam ti].|I've forgiven you.
518|[Trebali bismo] opet nešto [raditi zajedno].|We should do something together again.
