1|[Hej], hvordan går det?|Hi, how's it going?
187|[Strengt taget] er det ikke tilladt.|Strictly speaking, that isn't allowed.
188|[Bortset fra det] har jeg det godt.|Apart from that, I'm doing well.
189|[Efter alt, hvad jeg har hørt], var det fantastisk.|From everything I've heard, it was great.
190|[Jeg vil ikke træde dig over tæerne], men det var uhøfligt.|I don't want to offend you, but that was rude.
191|[Jeg lader mig gerne belære].|I'm happy to be proven wrong.
192|[Det kan ikke benægtes].|There's no denying that.
193|[Det siger sig selv].|That goes without saying.
194|[Som skudt ud af en kanon] kom svaret.|The answer came like a shot.
195|[Det havde jeg slet ikke på radaren].|That wasn't on my radar.
196|[Jeg er helt enig med dig der].|I'm completely with you on that.
197|[Lang historie kort]: Vi flytter.|Long story short: we're moving.
198|[Der må jeg melde pas].|You've got me there. (I don't know)
199|[Det må stå hen i det uvisse].|That remains to be seen.
200|[Jeg mangler ord].|I'm speechless.
201|[Må jeg lige præsentere mig]? Jeg er den nye nabo.|May I briefly introduce myself? I'm the new neighbor.
202|[Vi kender vist ikke hinanden], vel?|We haven't met yet, have we?
203|[Jeg tror, vi har mødt hinanden før].|I think we've met before.
204|[Hvordan kender du] egentlig Lisa?|How do you actually know Lisa?
205|[Hvad bringer dig] hertil?|What brings you here?
206|[Hvor længe har du været] i byen?|How long have you been in the city?
207|[Kommer du her tit]?|Do you come here often?
208|[Hvad laver du], når du ikke arbejder?|What do you get up to when you're not working?
209|[Jeg ville bare lige høre, hvordan det går].|I just wanted to check in quickly.
210|[Dejligt at høre fra dig]!|Nice to hear from you!
211|[Undskyld, at jeg først vender tilbage nu].|Sorry I'm only getting back to you now.
212|[Jeg håber, du har det godt].|I hope you're doing well.
213|[Kunne du stave det]?|Could you spell that, please?
214|[Jeg kunne ikke høre, hvad du sagde].|I didn't catch what you said.
215|[Forbindelsen er] ret [dårlig].|The connection is pretty bad.
216|[Du er meget svær at høre], kan du tale højere?|You're very quiet, can you speak louder?
217|[Kan du høre mig]?|Can you hear me?
218|[Jeg ringer lige tilbage].|I'll call you right back.
219|[Sig mig], har du planer i dag?|Say, do you have any plans today?
220|[Har du lige et øjeblik]?|Would you have a moment?
221|[Jeg vil ikke holde dig hen].|I don't want to keep you.
222|[Jeg lader dig lige arbejde videre].|I'll let you get back to work now.
223|[Det var hyggeligt at snakke med dig].|It was nice chatting with you.
224|[Lad høre fra dig]!|Keep in touch!
225|[Hils] din mor [mange gange].|Give your mother my love.
226|[Tak, i lige måde]!|Thanks, you too!
227|[Det er sødt af dig], tak.|That's kind of you, thanks.
228|[Det ville være rigtig sødt].|That would be really sweet.
229|[Jeg håber ikke, jeg forstyrrer].|I hope I'm not interrupting.
230|[Undskyld, at jeg kommer så pludseligt].|Sorry to spring this on you.
231|[Må jeg sige du til dig]?|May I use "du" with you?
232|[Skal vi ikke bare sige du]?|Shall we switch to "du"?
233|[Du må gerne sige du til mig].|You're welcome to call me "du".
234|[Jeg ville ikke være uhøflig].|I didn't mean to be rude.
235|[Så har vi vist misforstået hinanden].|It seems we misunderstood each other.
236|[Forstår jeg dig ret], at du ikke kommer?|Do I understand correctly that you're not coming?
237|[Det, jeg vil frem til], er følgende.|What I'm getting at is the following.
238|[Kort og godt]: Jeg er med.|In a nutshell: I'm in.
239|[For at gøre en lang historie kort], vi klarede det.|To make a long story short, we did it.
240|[Jeg skal gøre det kort].|I'll keep it short.
241|[Jeg vil ikke gå som katten om den varme grød].|I don't want to beat around the bush.
242|[Bare sig det lige ud].|Just say it straight out.
243|[Jeg må indrømme noget over for dig].|I have to confess something to you.
244|[Helt mellem os], jeg er nervøs.|Just between us, I'm nervous.
245|[Hold det lige for dig selv].|Please keep that to yourself.
246|[Det bliver mellem os].|That stays between us.
247|[Jeg mente det ikke sådan].|I didn't mean it that way.
248|[Nu hvor du siger det], lægger jeg også mærke til det.|Now that you mention it, I notice it too.
249|[Åh, det havde jeg nær glemt]!|Oh, I almost forgot!
250|[Nu vi er ved det]: Har du min nøgle?|While we're at it: do you have my key?
251|[For at vende tilbage til dit spørgsmål]: Ja, gerne.|To come back to your question: yes, gladly.
252|[Det, jeg også ville sige]: Tak for i går.|What I also wanted to say: thanks for yesterday.
253|[Hvordan skal jeg sige det]? Det er kompliceret.|How should I put it? It's complicated.
254|[Jeg kan ikke lige komme på ordet].|The word escapes me right now.
255|[Hvad er det nu, det hedder]?|What do you call that again?
256|[Du ved godt, hvad jeg mener].|You know what I mean.
257|[Jeg kan ikke helt følge dig].|I can't quite follow you.
258|[Kan du give et eksempel]?|Can you give an example?
259|[Det er ikke det, jeg sagde].|That's not what I said.
260|[Du har misforstået mig].|You misunderstood me.
261|[Lad mig lige gøre det klart].|Let me clarify that.
262|[Sagt på en anden måde]: Vi har brug for hjælp.|Put differently: we need help.
263|[Det er lettere sagt end gjort].|That's easier said than done.
264|[Nå, hvis det er sådan]!|Well, if that's the case!
265|[Okay, du har overtalt mig]!|Okay, you've convinced me!
266|[For mig er det fint].|Fine by me.
267|[For min skyld] kan vi også gå senere.|As far as I'm concerned, we can leave later too.
268|[Det er ikke så slemt].|It's no big deal.
269|[Det er ikke noget at snakke om].|Not worth mentioning.
270|[Tag dig ikke af det].|Don't let it get to you.
271|[Op med humøret], det skal nok gå.|Chin up, it'll be fine.
272|[Jeg sidder helt på nåle].|I'm on tenterhooks.
273|[Det bliver spændende at se].|Now I'm curious.
274|[Det var som bare pokker]!|Well, how about that!
275|[Det er løgn]!|You're kidding!
276|[Du godeste]!|Oh my goodness!
277|[Du laver sjov], ikke?|You're joking, right?
278|[Mener du det]?|Seriously?
279|[Spøg til side]: Hvordan har du det egentlig?|Joking aside: how are you really?
280|[Hvordan går det så] på arbejdet?|So how are things going at work?
281|[Man gør, hvad man kan].|You do what you can.
282|[Kan ikke klage].|Can't complain.
283|[Man må jo videre].|You've got to keep going.
284|[Alt er fint].|Everything's fine.
285|[Det kunne være værre].|It could be worse.
286|[Jeg er ret stresset], men ellers godt.|I'm pretty stressed, but otherwise fine.
287|[Dejligt, at det lykkedes]!|Great that it worked out!
288|[Jeg ønsker dig held og lykke]!|I wish you lots of success!
289|[Alt godt fremover]!|All the best for the future!
290|[Godt nytår]!|Happy New Year! (said before New Year)
291|[God påske] til jer alle!|Happy Easter to you all!
292|[Mine dybeste kondolencer].|My sincere condolences.
293|[Min dybeste medfølelse].|My heartfelt sympathy.
294|[Jeg vender tilbage, så snart jeg kan].|I'll get in touch as soon as I can.
295|[Til næste gang]!|Until next time!
296|[Vi høres ved].|We'll be in touch.
297|[Vi ses derude]!|See you around!
298|[Hav det godt, og pas på dig selv]!|Take care and look after yourself!
299|[Kom sikkert hjem]!|Get home safe!
300|[Hvis jeg husker rigtigt], mødte vi hinanden i Wien.|If I remember rightly, we met in Vienna.
301|[Det er en fornøjelse] at møde dig.|It's a pleasure to meet you.
302|[Jeg har hørt meget om dig].|I've heard a lot about you.
303|[Forhåbentlig kun godt]!|Only good things, I hope!
304|[Må jeg præsentere] dig for min kollega?|May I introduce my colleague to you?
305|[Vi har mødt hinanden flygtigt].|We've met briefly.
306|[Dit navn siger mig noget].|Your name rings a bell.
307|[Undskyld forstyrrelsen].|Forgive the interruption.
308|[Jeg vil ikke være til besvær].|I don't want to be a burden to you.
309|[Det er meget imødekommende af dig].|That's very obliging of you.
310|[Det sætter jeg stor pris på].|I really appreciate that.
311|[Jeg står i stor taknemmelighedsgæld til dig].|I'm deeply indebted to you.
312|[Det var da en selvfølge].|It was the least I could do.
313|[Som du vil].|As you wish.
314|[Hvis du tillader], vil jeg gerne tilføje noget.|If you'll allow me, I'd like to add something.
315|[Med al respekt], det ser jeg anderledes.|With all due respect, I see it differently.
316|[Med al mulig respekt], det er ikke helt rigtigt.|With all due respect, that's not quite right.
317|[Jeg vil ikke være indiskret], men hvor gammel er du?|I don't want to be indiscreet, but how old are you?
318|[Hvis jeg må spørge]: Hvad laver du til daglig?|If I may ask: what do you do for a living?
319|[Tag det ikke ilde op], hvis jeg går tidligt.|Don't hold it against me if I leave early.
320|[Det er lidt pinligt], men jeg har glemt dit navn.|This is embarrassing, but I've forgotten your name.
321|[Jeg beder mange gange om undskyldning].|I do apologize.
322|[Det var på ingen måde min hensigt].|That was by no means my intention.
323|[Jeg har vist udtrykt mig uklart].|I seem to have expressed myself unclearly.
324|[Lad mig præcisere det].|Let me be more precise.
325|[Mere præcist] handlede det om noget andet.|More precisely, it was about something else.
326|[Det vil sige: Vi må] udskyde det hele.|In other words: we have to postpone the whole thing.
327|[Sagt ligeud betyder det], at du ikke kommer.|In plain terms, that means you're not coming.
328|[Sagt lige ud af posen]: Det var en fiasko.|To put it bluntly: that was a flop.
329|[Forsigtigt sagt] var det ikke ideelt.|To put it mildly, that wasn't ideal.
330|[Mildest talt] er jeg skuffet.|To put it mildly, I'm disappointed.
331|[Ærligt talt] havde jeg ingen anelse.|Frankly, I had no idea.
332|[Uden omsvøb]: Jeg har brug for din hjælp.|Without beating around the bush: I need your help.
333|[For at løfte sløret med det samme]: Det lykkedes.|To give it away now: it worked.
334|[I øvrigt] var maden fremragende.|Incidentally, the food was excellent.
335|[I en bisætning nævnte han], at han flytter.|He mentioned in passing that he's moving.
336|[Det bare som en sidebemærkning].|Just as an aside.
337|[Hvordan det end forholder sig], bør vi gå i gang.|Be that as it may, we should get started.
338|[Som sagt] er jeg fleksibel der.|As I said, I'm flexible there.
339|[Som allerede nævnt] begynder mødet klokken ti.|As already mentioned, the meeting starts at ten.
340|[Jeg går direkte til sagen].|I'll get straight to the point.
341|[Meget snak og ingen pointe].|A lot of talk, no point at all.
342|[Det er som at tale til en væg].|I'm talking to a brick wall.
343|[Du går som katten om den varme grød].|You're beating around the bush.
344|[Nu har du tabt tråden].|Now you've lost the thread.
345|[Hvor var jeg nået til]?|Where was I?
346|[Jeg kommer på afveje].|I'm digressing.
347|[Tilbage til emnet].|Back to the topic.
348|[Det er ikke relevant her].|That's beside the point here.
349|[Det er hævet over enhver tvivl].|That's beyond question.
350|[Det giver sig selv].|That goes without saying.
351|[Det ligger lige for].|That's obvious.
352|[Hvad? Det kan du ikke mene]!|Excuse me? You can't be serious!
353|[Nu går det altså for vidt]!|That takes the cake!
354|[Det tager pusten fra en].|It takes your breath away.
355|[Jeg er målløs].|I'm speechless.
356|[Der mangler jeg ord].|I'm lost for words.
357|[Jeg tror ikke mine egne ører].|I can't believe my ears.
358|[Det er da noget af en omgang]!|That's quite something!
359|[Nå, det var en køn historie]!|Well, this is a fine mess!
360|[Det havde jeg ikke troet, du kunne].|I wouldn't have thought you had it in you.
361|[Hatten af]!|Hats off!
362|[Al respekt]!|Well done! / Respect!
363|[Det kan godt ses].|That's impressive.
364|[Respekt, det gjorde du godt].|Respect, you did that well.
365|[Jeg tager dig på ordet].|I'll hold you to that.
366|[Et løfte er et løfte].|A promise is a promise.
367|[Jeg holder dig opdateret].|I'll keep you posted.
368|[Sig til, hvis der ændrer sig noget].|Let me know if anything changes.
369|[Jeg står altid til rådighed].|I'm at your disposal at any time.
370|[Tøv ikke med at kontakte mig].|Don't hesitate to get in touch.
371|[Jeg glæder mig til at ses igen snart].|I look forward to seeing you again soon.
372|[Det var mig en fornøjelse].|It was my pleasure.
373|[Kom snart igen]!|Do come again soon!
374|[Hils din kone fra mig].|Give my regards to your wife.
375|[Hils] din familie [fra mig].|Give my regards to your family.
376|[Jeg ønsker dig en rigtig god aften].|I wish you a pleasant evening.
377|[Kom godt hjem].|Have a safe trip home.
378|[Alt godt]!|All the best!
379|[Vi ses snart]!|See you soon!
380|[På gensyn]!|See you soon!
381|[Vi ses senest i næste uge].|We'll see each other next week at the latest.
382|[Hej hejsa]!|Bye-bye! (playful)
383|[Ciao, vi ses en af dagene]!|Bye, see you one of these days!
384|[Nå, det var jo bare dejligt]!|Well, that's just great! (ironic)
385|[God fyraften]!|Enjoy the rest of your evening! (after work)
386|[Velbekomme]!|Hello! (greeting at lunchtime at work)
387|[Hejsa]!|Hi there!
388|[Mojn]!|Hello! (northern Germany)
389|[Hej, hvordan går det så]?|Hey, how's it going?
390|[Nå, alt vel]?|Hey, everything good?
391|[Det er evigheder siden]!|It's been ages!
392|[Hvor er verden dog lille]!|What a small world!
393|[Man mødes altid to gange i livet].|Our paths are bound to cross again.
394|[Sikke et tilfælde] at møde dig her!|What a coincidence to meet you here!
395|[Du er næsten ikke til at kende]!|You're hardly recognizable!
396|[Du har ikke forandret dig spor].|You haven't changed a bit.
397|[Tiden flyver].|Time flies.
398|[Kan du huske], hvordan vi mødte hinanden?|Do you remember how we met?
399|[Det var dengang]!|Those were the days!
400|[Lad os gøre det igen snart].|Let's do this again soon.
401|[Det her er] min mor.|This is my mother.
402|[Det her er] min far.|This is my father.
403|[Jeg har] to brødre.|I have two brothers.
404|[Jeg har en] søster.|I have a sister.
405|[Har du] søskende?|Do you have siblings?
406|[Jeg er] enebarn.|I'm an only child.
407|[Jeg er gift].|I'm married.
408|[Jeg er single].|I'm single.
409|[Har du] børn?|Do you have children?
410|[Vi har] to børn.|We have two children.
411|[Hvor gammel er] din søn?|How old is your son?
412|Min datter [er] fem [år gammel].|My daughter is five years old.
413|Mine forældre [bor i] Berlin.|My parents live in Berlin.
414|[Det her er] min kone.|This is my wife.
415|[Det her er] min mand.|This is my husband.
416|[Min bedste ven hedder] Max.|My best friend's name is Max.
417|[Det her er] min kæreste Lisa.|This is my girlfriend / friend Lisa.
418|Min mormor [er] firs.|My grandma is eighty.
419|[Jeg elsker dig].|I love you.
420|[Jeg savner dig].|I miss you.
421|[Hvordan har] din familie [det]?|How is your family?
422|[Min familie har det godt].|My family is doing well.
423|[Vi er] en stor familie.|We're a big family.
424|[Min bror er] ældre [end mig].|My brother is older than me.
425|[Min søster er] yngre.|My sister is younger.
426|[Han er] meget sød.|He's very nice.
427|[Hun er] min kollega.|She's my colleague.
428|[Kommer du] med?|Are you coming along?
429|[Vi leger] sammen.|We play together.
430|[Jeg ringer til] min mor.|I'm calling my mother.
431|[Vi spiser] hos mine forældre i dag.|We're eating at my parents' today.
432|[Min onkel bor] i Hamborg.|My uncle lives in Hamburg.
433|[Min tante er] læge.|My aunt is a doctor.
434|[Jeg besøger] mine bedsteforældre.|I'm visiting my grandparents.
435|[Vi har] en hund.|We have a dog.
436|[Vores kat hedder] Mia.|Our cat's name is Mia.
437|[Det her er] min baby.|This is my baby.
438|[Hvornår har du fødselsdag]?|When is your birthday?
439|[Jeg har fødselsdag] i maj.|My birthday is in May.
440|[Tillykke med fødselsdagen]!|Happy birthday!
441|[Vil du] spise med os?|Do you want to eat with us?
442|[Jeg har] mange venner.|I have many friends.
443|[Han er] min nabo.|He's my neighbor.
444|[Vi er] venner.|We're friends.
445|[Hvor er] børnene?|Where are the kids?
446|[Vi mødes] med venner i weekenden.|We're meeting up with friends at the weekend.
447|[Jeg har det godt med] min far.|I get along well with my father.
448|[Har du lyst] til at kigge forbi i aften?|Do you feel like coming over tonight?
449|Min mormor [har fødselsdag] i næste uge.|It's my grandma's birthday next week.
450|[Vi holder] fest på lørdag.|We're having a party on Saturday.
451|[Jeg inviterer dig] til min fest.|I'm inviting you to my party.
452|[Tak for invitationen]!|Thanks for the invitation!
453|[Jeg kommer gerne].|I'd love to come.
454|[Hvordan mødte I hinanden]?|How did you two meet?
455|[Vi mødte hinanden] på universitetet.|We met at university.
456|[Vi har været sammen i] fem år.|We've been together for five years.
457|[Vi blev gift] sidste år.|We got married last year.
458|[Hun er gravid].|She's pregnant.
459|[Jeg passer børnene] i dag.|I'm looking after the kids today.
460|[Mine forældre er skilt].|My parents are divorced.
461|[Jeg bor stadig hjemme hos] mine forældre.|I still live with my parents.
462|[Min søn går] i skole.|My son goes to school.
463|[Vi holder] jul [hos] min familie.|We're spending Christmas with my family.
464|[Vi ses] ikke så tit.|We don't see each other that often.
465|[Jeg taler i telefon med] min mor hver søndag.|I talk on the phone with my mother every Sunday.
466|[Han ligner] sin far.|He looks like his father.
467|[Hun er] meget [hjælpsom].|She's very helpful.
468|[Han er] nogle gange lidt [genert].|He's sometimes a bit shy.
469|[Vi har meget til fælles].|We have a lot in common.
470|[Hvad arbejder] dine børn [med]?|What do your kids do for work?
471|[Hvordan går det med] din bror?|How's your brother?
472|[Hils] hende [mange gange].|Give her my regards.
473|[Kan du hente] mig?|Can you pick me up?
474|[Jeg henter] børnene.|I'm picking up the kids.
475|[Vi går en tur] sammen.|We're going for a walk together.
476|[Kommer I forbi] i morgen?|Are you coming by tomorrow?
477|[Tag] din kæreste [med]!|Bring your boyfriend along!
478|[Jeg har mødt] en ny ven.|I met a new friend.
479|[Han er] på min alder.|He's my age.
480|[Min familie kommer fra] Italien.|My family comes from Italy.
481|[Jeg voksede op] hos min mormor.|I grew up at my grandma's.
482|[Vi skændes] nogle gange.|We argue sometimes.
483|[Vi er blevet gode venner igen].|We made up again.
484|[Jeg glæder mig til] familiefesten.|I'm looking forward to the family celebration.
485|[Vores børn leger] gerne udenfor.|Our kids like playing outside.
486|[Vi har] en gave [til dig].|We have a present for you.
487|[Det er] da [sødt af dig]!|That's so sweet of you!
488|[Hvad hedder] din kæreste?|What's your girlfriend's name?
489|[Jeg er venner] med hende.|I'm friends with her.
490|[Min fætter bor] i udlandet.|My cousin lives abroad.
491|[Vi har kendt hinanden siden] skoletiden.|We've known each other since school.
492|[Jeg kan altid stole på] hende.|I can always rely on her.
493|[Det kommer an på], hvem der ellers kommer.|It depends on who else is coming.
494|[Vi har] et [tæt forhold].|We have a close relationship.
495|[Jeg har] et [godt forhold til] min søster.|I have a good relationship with my sister.
496|[Han har slået op med] sin kæreste.|He broke up with his girlfriend.
497|[Hun har slået op].|She broke up (with him).
498|[Jeg er blevet forelsket i] ham.|I fell in love with him.
499|[Vi er blevet forlovet]!|We got engaged!
500|[De venter] deres andet barn.|They're expecting their second child.
501|[Jeg er stolt af] dig.|I'm proud of you.
502|[Jeg er bekymret for] min far.|I'm worried about my father.
503|[Han tager sig af] sin syge mor.|He takes care of his sick mother.
504|[Vi laver] mange ting [sammen].|We do a lot together.
505|[Jeg har ikke set] hende i årevis.|I haven't seen her in years.
506|[Vi er vokset op] sammen.|We grew up together.
507|[Han minder mig om] min morfar.|He reminds me of my grandpa.
508|[Jeg savner] min familie [meget].|I miss my family a lot.
509|[Jeg har hjemve].|I'm homesick.
510|[Vi holder sammen].|We stick together.
