1|[Hallo], wie geht's?|Hi, how's it going?
47|[Wie sagt man] „thank you" auf Deutsch?|How do you say "thank you" in German?
48|[Wie schreibt man] das?|How do you spell that?
49|[Könntest du] bitte langsamer sprechen?|Could you speak more slowly, please?
50|[Kannst du das] bitte [wiederholen]?|Can you repeat that, please?
51|[Was machst du] hier?|What are you doing here?
52|[Was machst du gern] in deiner Freizeit?|What do you like to do in your free time?
53|[Seit wann] lernst du Deutsch?|How long have you been learning German?
54|[Ich lerne seit] einem Jahr Deutsch.|I've been learning German for a year.
55|[Darf ich] dich etwas [fragen]?|May I ask you something?
56|[Ich habe eine Frage].|I have a question.
57|[Keine Ahnung].|No idea.
58|[Das macht nichts].|That doesn't matter.
59|[Gern geschehen].|My pleasure.
60|[Vielen Dank für] deine Hilfe.|Thanks a lot for your help.
61|[Ich freue mich], dich zu sehen.|I'm happy to see you.
62|[Lange nicht gesehen]!|Long time no see!
63|[Was gibt's Neues]?|What's new?
64|[Nicht viel], und bei dir?|Not much, and with you?
65|[Wie war] dein Tag?|How was your day?
66|[Es geht].|So-so.
67|[Nicht so gut], ehrlich gesagt.|Not so good, to be honest.
68|[Das klingt gut].|That sounds good.
69|[Das stimmt].|That's true.
70|[Das stimmt nicht].|That's not true.
71|[Genau]!|Exactly!
72|[Echt]?|Really?
73|[Wirklich]? Das wusste ich nicht.|Really? I didn't know that.
74|[Ich glaube schon].|I think so.
75|[Ich glaube nicht].|I don't think so.
76|[Moment mal]!|Wait a moment!
77|[Einen Augenblick], bitte.|One moment, please.
78|[Pass auf]!|Watch out!
79|[Viel Glück]!|Good luck!
80|[Viel Spaß]!|Have fun!
81|[Gute Reise]!|Have a good trip!
82|[Grüß] deine Familie [von mir].|Say hi to your family for me.
83|[Wie spricht man] das [aus]?|How do you pronounce that?
84|[Ich bin mir nicht sicher].|I'm not sure.
85|[Kannst du mir helfen]?|Can you help me?
86|[Was ist los]?|What's wrong? / What's going on?
87|[Nichts Besonderes].|Nothing special.
88|[Mach's gut]!|Take care!
89|[Pass auf dich auf]!|Take care of yourself!
90|[Bis dann]!|See you then!
91|[Ich bin mir nicht sicher, ob] ich das richtig verstanden habe.|I'm not sure whether I understood that correctly.
92|[Was meinst du damit]?|What do you mean by that?
93|[Wie meinst du das]?|How do you mean that?
94|[Ich wollte nur sagen, dass] ich mich freue.|I just wanted to say that I'm happy.
95|[Könnten Sie mir sagen], wo der Bahnhof ist?|Could you tell me where the train station is?
96|[Ich hätte da eine Frage].|I'd have a question.
97|[Es ist schön, dich] wiederzusehen.|It's nice to see you again.
98|[Wir haben uns lange nicht] gesehen.|We haven't seen each other in a long time.
99|[Was hast du] in letzter Zeit [so gemacht]?|What have you been up to lately?
100|[Wie ist es dir] ergangen?|How have you been?
101|[Das freut mich zu hören].|I'm glad to hear that.
102|[Das tut mir leid zu hören].|I'm sorry to hear that.
103|[Ach so], jetzt verstehe ich.|Oh, I see, now I understand.
104|[Das ergibt Sinn].|That makes sense.
105|[Das ist ja] interessant!|That's interesting!
106|[Stimmt es, dass] du umziehst?|Is it true that you're moving?
107|[Ich wollte dich fragen, ob] du Zeit hast.|I wanted to ask you whether you have time.
108|[Macht es dir etwas aus, wenn] ich das Fenster öffne?|Do you mind if I open the window?
109|[Nichts zu danken].|Don't mention it.
110|[Ich muss los].|I have to go.
111|[Ich muss jetzt leider gehen].|Unfortunately I have to go now.
112|[Lass uns] in Kontakt [bleiben].|Let's stay in touch.
113|[Melde dich], wenn du Zeit hast.|Get in touch when you have time.
114|[Schreib mir einfach] eine Nachricht.|Just send me a message.
115|[Kann ich dich kurz stören]?|Can I bother you for a second?
116|[Ich störe doch nicht], oder?|I'm not disturbing you, am I?
117|[Wie war das noch mal]?|What was that again?
118|[Ich habe] deinen Namen [vergessen].|I've forgotten your name.
119|[Wo waren wir stehen geblieben]?|Where were we?
120|[Übrigens], ich habe Neuigkeiten.|By the way, I have news.
121|[Apropos] Urlaub, wohin fährst du?|Speaking of vacation, where are you going?
122|[Das hängt davon ab].|That depends.
123|[Es kommt darauf an].|It depends.
124|[Mir ist egal], was wir machen.|I don't care what we do.
125|[Ich bin gespannt], was passiert.|I'm curious to see what happens.
126|[Das habe ich nicht mitbekommen].|I didn't catch that.
127|[Kannst du das anders erklären]?|Can you explain that differently?
128|[Ich meinte eigentlich] etwas anderes.|I actually meant something else.
129|[Ich habe mich versprochen].|I misspoke.
130|[Das war nur ein Witz].|That was just a joke.
131|[Ich hab's eilig].|I'm in a hurry.
132|[Schön, dass du da bist].|Nice that you're here.
133|[Komm gut nach Hause]!|Get home safely!
134|[Fühl dich wie zu Hause].|Make yourself at home.
135|[Na ja], so ist das Leben.|Oh well, that's life.
136|[Wenn ich mich nicht irre], haben wir uns schon mal getroffen.|If I'm not mistaken, we've met before.
137|[Kommt mir bekannt vor].|That sounds familiar.
138|[Du kommst mir bekannt vor].|You look familiar.
139|[Das ist mir entfallen].|That slipped my mind.
140|[Es liegt mir auf der Zunge].|It's on the tip of my tongue.
141|[Ich bin ganz Ohr].|I'm all ears.
142|[Um ehrlich zu sein], habe ich keine Lust.|To be honest, I don't feel like it.
143|[Ehrlich gesagt] finde ich das komisch.|Honestly, I find that strange.
144|[Soweit ich weiß], ist er schon weg.|As far as I know, he's already gone.
145|[Wie dem auch sei], wir müssen weitermachen.|Be that as it may, we have to keep going.
146|[Kurz gesagt]: Es hat nicht geklappt.|In short: it didn't work out.
147|[Mit anderen Worten], wir fangen neu an.|In other words, we're starting over.
148|[Das heißt also], du kommst nicht?|So that means you're not coming?
149|[Wie gesagt], ich kann heute nicht.|As I said, I can't today.
150|[Ich wollte dich nicht unterbrechen].|I didn't mean to interrupt you.
151|[Darf ich kurz etwas einwerfen]?|May I quickly add something?
152|[Lass mich ausreden]!|Let me finish!
153|[Worauf willst du hinaus]?|What are you getting at?
154|[Das ist nicht der Punkt].|That's not the point.
155|[Das sagst du so leicht].|That's easy for you to say.
156|[Ich verstehe nur Bahnhof].|It's all Greek to me.
157|[Du hast recht], das war mein Fehler.|You're right, that was my mistake.
158|[Da hast du] schon [recht].|You do have a point there.
159|[Nimm's mir nicht übel], aber ich muss absagen.|Don't take it the wrong way, but I have to cancel.
160|[Nichts für ungut].|No offense.
161|[Schwamm drüber].|Let's forget about it.
162|[Es war nicht so gemeint].|I didn't mean it like that.
163|[Na, dann mal los]!|Well, let's get going!
164|[Mal sehen].|We'll see.
165|[Wer weiß]?|Who knows?
166|[Das kommt nicht in Frage].|That's out of the question.
167|[Ich bin dabei]!|I'm in!
168|[Zum Glück] hat es noch geklappt.|Luckily it still worked out.
169|[Leider] muss ich absagen.|Unfortunately I have to cancel.
170|[Ich habe] dich [missverstanden].|I misunderstood you.
171|[Darauf wollte ich hinaus].|That's what I was getting at.
172|[Ich drücke dir die Daumen]!|I'll keep my fingers crossed for you!
173|[Toi, toi, toi]!|Break a leg!
174|[Mach dir keine Gedanken].|Don't worry about it.
175|[Hals- und Beinbruch]!|Break a leg! (good luck)
176|[Unter uns gesagt], das Projekt ist gescheitert.|Between you and me, the project failed.
177|[Wenn ich ehrlich bin], hatte ich Zweifel.|If I'm honest, I had doubts.
178|[Es sei denn], du hast eine bessere Idee.|Unless you have a better idea.
179|[Das eine schließt das andere nicht aus].|One doesn't rule out the other.
180|[Das steht auf einem anderen Blatt].|That's a different story.
181|[Das ist nicht mein Bier].|That's not my problem.
182|[Jetzt mal Butter bei die Fische].|Let's get to the point.
183|[Um es auf den Punkt zu bringen]: Wir brauchen mehr Zeit.|To get to the point: we need more time.
184|[Wie man so schön sagt]: Übung macht den Meister.|As the saying goes: practice makes perfect.
185|[Sozusagen].|So to speak.
186|[Im Grunde genommen] hast du recht.|Basically, you're right.
187|[Streng genommen] ist das nicht erlaubt.|Strictly speaking, that isn't allowed.
188|[Abgesehen davon] geht es mir gut.|Apart from that, I'm doing well.
189|[Nach allem, was ich gehört habe], war es toll.|From everything I've heard, it was great.
190|[Ich will dir nicht zu nahe treten], aber das war unhöflich.|I don't want to offend you, but that was rude.
191|[Ich lasse mich gern eines Besseren belehren].|I'm happy to be proven wrong.
192|[Das lässt sich nicht leugnen].|There's no denying that.
193|[Das versteht sich von selbst].|That goes without saying.
194|[Wie aus der Pistole geschossen] kam die Antwort.|The answer came like a shot.
195|[Das habe ich nicht auf dem Schirm gehabt].|That wasn't on my radar.
196|[Ich bin da ganz bei dir].|I'm completely with you on that.
197|[Lange Rede, kurzer Sinn]: Wir ziehen um.|Long story short: we're moving.
198|[Da bin ich überfragt].|You've got me there. (I don't know)
199|[Das sei dahingestellt].|That remains to be seen.
200|[Mir fehlen die Worte].|I'm speechless.
201|[Darf ich mich kurz vorstellen]? Ich bin der neue Nachbar.|May I briefly introduce myself? I'm the new neighbor.
202|[Wir kennen uns noch nicht], oder?|We haven't met yet, have we?
203|[Ich glaube, wir sind uns schon mal begegnet].|I think we've met before.
204|[Woher kennst du] eigentlich Lisa?|How do you actually know Lisa?
205|[Was führt dich] hierher?|What brings you here?
206|[Wie lange bist du schon] in der Stadt?|How long have you been in the city?
207|[Bist du öfter hier]?|Do you come here often?
208|[Was machst du so], wenn du nicht arbeitest?|What do you get up to when you're not working?
209|[Ich wollte mich nur kurz melden].|I just wanted to check in quickly.
210|[Schön, von dir zu hören]!|Nice to hear from you!
211|[Tut mir leid, dass ich mich erst jetzt melde].|Sorry I'm only getting back to you now.
212|[Ich hoffe, es geht dir gut].|I hope you're doing well.
213|[Könntest du das bitte buchstabieren]?|Could you spell that, please?
214|[Ich habe dich akustisch nicht verstanden].|I didn't catch what you said.
215|[Die Verbindung ist] ziemlich [schlecht].|The connection is pretty bad.
216|[Du bist ganz leise], kannst du lauter sprechen?|You're very quiet, can you speak louder?
217|[Hörst du mich]?|Can you hear me?
218|[Ich rufe dich gleich zurück].|I'll call you right back.
219|[Sag mal], hast du heute schon was vor?|Say, do you have any plans today?
220|[Hättest du kurz Zeit]?|Would you have a moment?
221|[Ich will dich nicht aufhalten].|I don't want to keep you.
222|[Ich lasse dich jetzt mal weiterarbeiten].|I'll let you get back to work now.
223|[War schön, mit dir zu plaudern].|It was nice chatting with you.
224|[Lass von dir hören]!|Keep in touch!
225|[Richte] deiner Mutter [liebe Grüße aus].|Give your mother my love.
226|[Danke, gleichfalls]!|Thanks, you too!
227|[Das ist nett von dir], danke.|That's kind of you, thanks.
228|[Das wäre wirklich lieb].|That would be really sweet.
229|[Ich hoffe, ich störe nicht].|I hope I'm not interrupting.
230|[Entschuldige, dass ich dich so überfalle].|Sorry to spring this on you.
231|[Darf ich dich duzen]?|May I use "du" with you?
232|[Wollen wir uns duzen]?|Shall we switch to "du"?
233|[Sie können mich gern duzen].|You're welcome to call me "du".
234|[Ich wollte nicht unhöflich sein].|I didn't mean to be rude.
235|[Da haben wir uns wohl missverstanden].|It seems we misunderstood each other.
236|[Verstehe ich dich richtig], dass du nicht kommst?|Do I understand correctly that you're not coming?
237|[Worauf ich hinauswill], ist Folgendes.|What I'm getting at is the following.
238|[Kurz und knapp]: Ich bin dabei.|In a nutshell: I'm in.
239|[Um es kurz zu machen], wir haben es geschafft.|To make a long story short, we did it.
240|[Ich fasse mich kurz].|I'll keep it short.
241|[Ich will nicht lange drum herumreden].|I don't want to beat around the bush.
242|[Sag's einfach frei heraus].|Just say it straight out.
243|[Ich muss dir etwas gestehen].|I have to confess something to you.
244|[Ganz unter uns], ich bin nervös.|Just between us, I'm nervous.
245|[Behalt das bitte für dich].|Please keep that to yourself.
246|[Das bleibt unter uns].|That stays between us.
247|[Ich hab's nicht so gemeint].|I didn't mean it that way.
248|[Jetzt, wo du es sagst], fällt es mir auch auf.|Now that you mention it, I notice it too.
249|[Ach, das hätte ich fast vergessen]!|Oh, I almost forgot!
250|[Wo wir gerade dabei sind]: Hast du meinen Schlüssel?|While we're at it: do you have my key?
251|[Um auf deine Frage zurückzukommen]: Ja, gern.|To come back to your question: yes, gladly.
252|[Was ich noch sagen wollte]: Danke für gestern.|What I also wanted to say: thanks for yesterday.
253|[Wie soll ich sagen]? Es ist kompliziert.|How should I put it? It's complicated.
254|[Mir fällt gerade das Wort nicht ein].|The word escapes me right now.
255|[Wie nennt man das noch mal]?|What do you call that again?
256|[Du weißt schon, was ich meine].|You know what I mean.
257|[Ich kann dir nicht ganz folgen].|I can't quite follow you.
258|[Kannst du ein Beispiel geben]?|Can you give an example?
259|[Das habe ich so nicht gesagt].|That's not what I said.
260|[Du hast mich falsch verstanden].|You misunderstood me.
261|[Lass mich das klarstellen].|Let me clarify that.
262|[Anders ausgedrückt]: Wir brauchen Hilfe.|Put differently: we need help.
263|[Das ist leichter gesagt als getan].|That's easier said than done.
264|[Na, wenn das so ist]!|Well, if that's the case!
265|[Na gut, überredet]!|Okay, you've convinced me!
266|[Meinetwegen].|Fine by me.
267|[Von mir aus] können wir auch später gehen.|As far as I'm concerned, we can leave later too.
268|[Halb so wild].|It's no big deal.
269|[Nicht der Rede wert].|Not worth mentioning.
270|[Mach dir nichts draus].|Don't let it get to you.
271|[Kopf hoch], das wird schon.|Chin up, it'll be fine.
272|[Ich bin gespannt wie ein Flitzebogen].|I'm on tenterhooks.
273|[Da bin ich ja mal gespannt].|Now I'm curious.
274|[Das ist ja ein Ding]!|Well, how about that!
275|[Das gibt's ja nicht]!|You're kidding!
276|[Ach du meine Güte]!|Oh my goodness!
277|[Du machst Witze], oder?|You're joking, right?
278|[Im Ernst]?|Seriously?
279|[Spaß beiseite]: Wie geht es dir wirklich?|Joking aside: how are you really?
280|[Wie läuft's denn so] bei der Arbeit?|So how are things going at work?
281|[Man tut, was man kann].|You do what you can.
282|[Kann nicht klagen].|Can't complain.
283|[Muss ja].|You've got to keep going.
284|[Alles im grünen Bereich].|Everything's fine.
285|[Es könnte schlimmer sein].|It could be worse.
286|[Ich bin ganz schön im Stress], aber sonst gut.|I'm pretty stressed, but otherwise fine.
287|[Schön, dass es geklappt hat]!|Great that it worked out!
288|[Ich wünsche dir viel Erfolg]!|I wish you lots of success!
289|[Alles Gute für die Zukunft]!|All the best for the future!
290|[Ich wünsche dir einen guten Rutsch]!|Happy New Year! (said before New Year)
291|[Frohe Ostern] euch allen!|Happy Easter to you all!
292|[Herzliches Beileid].|My sincere condolences.
293|[Mein aufrichtiges Mitgefühl].|My heartfelt sympathy.
294|[Ich melde mich, sobald ich kann].|I'll get in touch as soon as I can.
295|[Bis zum nächsten Mal]!|Until next time!
296|[Wir hören voneinander].|We'll be in touch.
297|[Man sieht sich]!|See you around!
298|[Mach's gut und pass auf dich auf]!|Take care and look after yourself!
299|[Komm gut heim]!|Get home safe!
300|[Wenn ich mich recht entsinne], haben wir uns in Wien kennengelernt.|If I remember rightly, we met in Vienna.
301|[Es ist mir eine Freude], Sie kennenzulernen.|It's a pleasure to meet you.
302|[Ich habe schon viel von Ihnen gehört].|I've heard a lot about you.
303|[Hoffentlich nur Gutes]!|Only good things, I hope!
304|[Darf ich Ihnen] meinen Kollegen [vorstellen]?|May I introduce my colleague to you?
305|[Wir sind uns flüchtig begegnet].|We've met briefly.
306|[Ihr Name ist mir ein Begriff].|Your name rings a bell.
307|[Verzeihen Sie die Störung].|Forgive the interruption.
308|[Ich möchte Ihnen nicht zur Last fallen].|I don't want to be a burden to you.
309|[Das ist sehr zuvorkommend von Ihnen].|That's very obliging of you.
310|[Ich weiß das sehr zu schätzen].|I really appreciate that.
311|[Ich bin Ihnen zu großem Dank verpflichtet].|I'm deeply indebted to you.
312|[Das war doch selbstverständlich].|It was the least I could do.
313|[Wie Sie meinen].|As you wish.
314|[Wenn Sie gestatten], würde ich gern etwas ergänzen.|If you'll allow me, I'd like to add something.
315|[Mit Verlaub], das sehe ich anders.|With all due respect, I see it differently.
316|[Bei allem Respekt], das stimmt so nicht.|With all due respect, that's not quite right.
317|[Ich möchte nicht indiskret sein], aber wie alt sind Sie?|I don't want to be indiscreet, but how old are you?
318|[Wenn ich fragen darf]: Was machen Sie beruflich?|If I may ask: what do you do for a living?
319|[Nehmen Sie es mir nicht übel], wenn ich früher gehe.|Don't hold it against me if I leave early.
320|[Das ist mir unangenehm], aber ich habe Ihren Namen vergessen.|This is embarrassing, but I've forgotten your name.
321|[Ich bitte vielmals um Entschuldigung].|I do apologize.
322|[Das war keineswegs meine Absicht].|That was by no means my intention.
323|[Ich habe mich wohl missverständlich ausgedrückt].|I seem to have expressed myself unclearly.
324|[Lassen Sie mich das präzisieren].|Let me be more precise.
325|[Genauer gesagt] ging es um etwas anderes.|More precisely, it was about something else.
326|[Sprich: Wir müssen] das Ganze verschieben.|In other words: we have to postpone the whole thing.
327|[Das heißt im Klartext], dass du nicht kommst.|In plain terms, that means you're not coming.
328|[Salopp formuliert]: Das war ein Reinfall.|To put it bluntly: that was a flop.
329|[Vorsichtig ausgedrückt] war das nicht ideal.|To put it mildly, that wasn't ideal.
330|[Gelinde gesagt] bin ich enttäuscht.|To put it mildly, I'm disappointed.
331|[Offen gestanden] hatte ich keine Ahnung.|Frankly, I had no idea.
332|[Ohne Umschweife]: Ich brauche deine Hilfe.|Without beating around the bush: I need your help.
333|[Um es vorwegzunehmen]: Es hat geklappt.|To give it away now: it worked.
334|[Nebenbei bemerkt] war das Essen hervorragend.|Incidentally, the food was excellent.
335|[Beiläufig erwähnte er], dass er umzieht.|He mentioned in passing that he's moving.
336|[Das nur am Rande].|Just as an aside.
337|[Wie dem auch immer sei], wir sollten anfangen.|Be that as it may, we should get started.
338|[Wie gesagt], ich bin da flexibel.|As I said, I'm flexible there.
339|[Wie bereits erwähnt], beginnt das Treffen um zehn.|As already mentioned, the meeting starts at ten.
340|[Ich komme gleich zur Sache].|I'll get straight to the point.
341|[Lange Rede, gar kein Sinn].|A lot of talk, no point at all.
342|[Ich rede gegen eine Wand].|I'm talking to a brick wall.
343|[Du redest um den heißen Brei herum].|You're beating around the bush.
344|[Jetzt hast du den Faden verloren].|Now you've lost the thread.
345|[Wo war ich stehen geblieben]?|Where was I?
346|[Ich schweife ab].|I'm digressing.
347|[Zurück zum Thema].|Back to the topic.
348|[Das tut hier nichts zur Sache].|That's beside the point here.
349|[Das steht außer Frage].|That's beyond question.
350|[Das versteht sich von allein].|That goes without saying.
351|[Das liegt auf der Hand].|That's obvious.
352|[Wie bitte? Das kann doch nicht dein Ernst sein]!|Excuse me? You can't be serious!
353|[Das schlägt dem Fass den Boden aus]!|That takes the cake!
354|[Da bleibt einem die Luft weg].|It takes your breath away.
355|[Ich bin sprachlos].|I'm speechless.
356|[Da fehlen mir die Worte].|I'm lost for words.
357|[Ich traue meinen Ohren nicht].|I can't believe my ears.
358|[Das ist ja allerhand]!|That's quite something!
359|[Na, das ist ja eine schöne Bescherung]!|Well, this is a fine mess!
360|[Das hätte ich dir nicht zugetraut].|I wouldn't have thought you had it in you.
361|[Hut ab]!|Hats off!
362|[Alle Achtung]!|Well done! / Respect!
363|[Das kann sich sehen lassen].|That's impressive.
364|[Respekt, das hast du gut gemacht].|Respect, you did that well.
365|[Ich nehme dich beim Wort].|I'll hold you to that.
366|[Versprochen ist versprochen].|A promise is a promise.
367|[Ich halte dich auf dem Laufenden].|I'll keep you posted.
368|[Sag Bescheid, falls sich etwas ändert].|Let me know if anything changes.
369|[Ich stehe dir jederzeit zur Verfügung].|I'm at your disposal at any time.
370|[Zögern Sie nicht, sich zu melden].|Don't hesitate to get in touch.
371|[Ich freue mich auf ein baldiges Wiedersehen].|I look forward to seeing you again soon.
372|[Es war mir ein Vergnügen].|It was my pleasure.
373|[Beehren Sie uns bald wieder]!|Do come again soon!
374|[Grüßen Sie Ihre Frau von mir].|Give my regards to your wife.
375|[Empfehlen Sie mich] Ihrer Familie.|Give my regards to your family.
376|[Ich wünsche Ihnen noch einen angenehmen Abend].|I wish you a pleasant evening.
377|[Kommen Sie gut nach Hause].|Have a safe trip home.
378|[Machen Sie's gut]!|All the best!
379|[Bis demnächst]!|See you soon!
380|[Auf bald]!|See you soon!
381|[Wir sehen uns spätestens nächste Woche].|We'll see each other next week at the latest.
382|[Tschüssikowski]!|Bye-bye! (playful)
383|[Ciao, bis die Tage]!|Bye, see you one of these days!
384|[Na denn, prost Mahlzeit]!|Well, that's just great! (ironic)
385|[Schönen Feierabend noch]!|Enjoy the rest of your evening! (after work)
386|[Mahlzeit]!|Hello! (greeting at lunchtime at work)
387|[Grüß dich]!|Hi there!
388|[Moin moin]!|Hello! (northern Germany)
389|[Servus, wie geht's, wie steht's]?|Hey, how's it going?
390|[Na, alles fit]?|Hey, everything good?
391|[Lang ist's her]!|It's been ages!
392|[Wie klein die Welt doch ist]!|What a small world!
393|[Man trifft sich immer zweimal im Leben].|Our paths are bound to cross again.
394|[Was für ein Zufall], dich hier zu treffen!|What a coincidence to meet you here!
395|[Du bist ja kaum wiederzuerkennen]!|You're hardly recognizable!
396|[Du hast dich kein bisschen verändert].|You haven't changed a bit.
397|[Die Zeit vergeht wie im Flug].|Time flies.
398|[Weißt du noch], wie wir uns kennengelernt haben?|Do you remember how we met?
399|[Das waren noch Zeiten]!|Those were the days!
400|[Lass uns das bald wiederholen].|Let's do this again soon.
401|[Das ist] meine Mutter.|This is my mother.
402|[Das ist] mein Vater.|This is my father.
403|[Ich habe] zwei Brüder.|I have two brothers.
404|[Ich habe eine] Schwester.|I have a sister.
405|[Hast du] Geschwister?|Do you have siblings?
406|[Ich bin] Einzelkind.|I'm an only child.
407|[Ich bin verheiratet].|I'm married.
408|[Ich bin ledig].|I'm single.
409|[Hast du] Kinder?|Do you have children?
410|[Wir haben] zwei Kinder.|We have two children.
411|[Wie alt ist] dein Sohn?|How old is your son?
412|Meine Tochter [ist] fünf [Jahre alt].|My daughter is five years old.
413|Meine Eltern [wohnen in] Berlin.|My parents live in Berlin.
414|[Das ist] meine Frau.|This is my wife.
415|[Das ist] mein Mann.|This is my husband.
416|[Mein bester Freund heißt] Max.|My best friend's name is Max.
417|[Das ist] meine Freundin Lisa.|This is my girlfriend / friend Lisa.
418|Meine Oma [ist] achtzig.|My grandma is eighty.
419|[Ich liebe dich].|I love you.
420|[Ich vermisse dich].|I miss you.
421|[Wie geht es] deiner Familie?|How is your family?
422|[Meiner Familie geht es gut].|My family is doing well.
423|[Wir sind] eine große Familie.|We're a big family.
424|[Mein Bruder ist] älter [als ich].|My brother is older than me.
425|[Meine Schwester ist] jünger.|My sister is younger.
426|[Er ist] sehr nett.|He's very nice.
427|[Sie ist] meine Kollegin.|She's my colleague.
428|[Kommst du] mit?|Are you coming along?
429|[Wir spielen] zusammen.|We play together.
430|[Ich rufe] meine Mutter [an].|I'm calling my mother.
431|[Wir essen] heute bei meinen Eltern.|We're eating at my parents' today.
432|[Mein Onkel wohnt] in Hamburg.|My uncle lives in Hamburg.
433|[Meine Tante ist] Ärztin.|My aunt is a doctor.
434|[Ich besuche] meine Großeltern.|I'm visiting my grandparents.
435|[Wir haben] einen Hund.|We have a dog.
436|[Unsere Katze heißt] Mia.|Our cat's name is Mia.
437|[Das ist] mein Baby.|This is my baby.
438|[Wann hast du Geburtstag]?|When is your birthday?
439|[Ich habe] im Mai [Geburtstag].|My birthday is in May.
440|[Alles Gute zum Geburtstag]!|Happy birthday!
441|[Willst du] mit uns essen?|Do you want to eat with us?
442|[Ich habe] viele Freunde.|I have many friends.
443|[Er ist] mein Nachbar.|He's my neighbor.
444|[Wir sind] Freunde.|We're friends.
445|[Wo sind] die Kinder?|Where are the kids?
446|[Wir treffen uns] am Wochenende mit Freunden.|We're meeting up with friends at the weekend.
447|[Ich verstehe mich gut mit] meinem Vater.|I get along well with my father.
448|[Hast du Lust], heute Abend vorbeizukommen?|Do you feel like coming over tonight?
449|Meine Oma [hat] nächste Woche [Geburtstag].|It's my grandma's birthday next week.
450|[Wir feiern] am Samstag eine Party.|We're having a party on Saturday.
451|[Ich lade dich] zu meiner Party [ein].|I'm inviting you to my party.
452|[Danke für die Einladung]!|Thanks for the invitation!
453|[Ich komme gern].|I'd love to come.
454|[Wie habt ihr euch kennengelernt]?|How did you two meet?
455|[Wir haben uns] an der Uni [kennengelernt].|We met at university.
456|[Wir sind seit] fünf Jahren [zusammen].|We've been together for five years.
457|[Wir haben] letztes Jahr [geheiratet].|We got married last year.
458|[Sie ist schwanger].|She's pregnant.
459|[Ich passe] heute [auf die Kinder auf].|I'm looking after the kids today.
460|[Meine Eltern sind geschieden].|My parents are divorced.
461|[Ich wohne noch bei] meinen Eltern.|I still live with my parents.
462|[Mein Sohn geht] in die Schule.|My son goes to school.
463|[Wir verbringen] Weihnachten [bei] meiner Familie.|We're spending Christmas with my family.
464|[Wir sehen uns] nicht so oft.|We don't see each other that often.
465|[Ich telefoniere] jeden Sonntag [mit] meiner Mutter.|I talk on the phone with my mother every Sunday.
466|[Er sieht] seinem Vater [ähnlich].|He looks like his father.
467|[Sie ist] sehr [hilfsbereit].|She's very helpful.
468|[Er ist] manchmal ein bisschen [schüchtern].|He's sometimes a bit shy.
469|[Wir haben viel gemeinsam].|We have a lot in common.
470|[Was machen] deine Kinder [beruflich]?|What do your kids do for work?
471|[Wie geht's] deinem Bruder?|How's your brother?
472|[Sag] ihr [schöne Grüße].|Give her my regards.
473|[Kannst du] mich [abholen]?|Can you pick me up?
474|[Ich hole] die Kinder [ab].|I'm picking up the kids.
475|[Wir gehen] zusammen [spazieren].|We're going for a walk together.
476|[Kommt ihr] morgen [vorbei]?|Are you coming by tomorrow?
477|[Bring] deinen Freund [mit]!|Bring your boyfriend along!
478|[Ich habe] einen neuen Freund [kennengelernt].|I met a new friend.
479|[Er ist] in meinem Alter.|He's my age.
480|[Meine Familie kommt aus] Italien.|My family comes from Italy.
481|[Ich bin] bei meiner Oma [aufgewachsen].|I grew up at my grandma's.
