1|[Salut], ce mai faci?|Hi, how's it going?
70|[Nu e adevărat].|That's not true.
71|[Exact]!|Exactly!
72|[Serios]?|Really?
73|[Chiar așa]? Nu știam.|Really? I didn't know that.
74|[Cred că da].|I think so.
75|[Nu cred].|I don't think so.
76|[Stai puțin]!|Wait a moment!
77|[O clipă], vă rog.|One moment, please.
78|[Ai grijă]!|Watch out!
79|[Baftă]!|Good luck!
80|[Distracție plăcută]!|Have fun!
81|[Drum bun]!|Have a good trip!
82|[Salută-mi] familia [din partea mea].|Say hi to your family for me.
83|[Cum se pronunță] asta?|How do you pronounce that?
84|[Nu sunt sigur].|I'm not sure.
85|[Mă poți ajuta]?|Can you help me?
86|[Ce s-a întâmplat]?|What's wrong? / What's going on?
87|[Nimic special].|Nothing special.
88|[Toate bune]!|Take care!
89|[Ai grijă de tine]!|Take care of yourself!
90|[Ne vedem atunci]!|See you then!
91|[Nu sunt sigur dacă] am înțeles bine.|I'm not sure whether I understood that correctly.
92|[Ce vrei să spui cu asta]?|What do you mean by that?
93|[Cum adică]?|How do you mean that?
94|[Voiam doar să-ți spun că] mă bucur.|I just wanted to say that I'm happy.
95|[Ați putea să-mi spuneți] unde e gara?|Could you tell me where the train station is?
96|[Aș avea o întrebare].|I'd have a question.
97|[Ce bine că te] revăd.|It's nice to see you again.
98|[Nu ne-am mai] văzut [de mult].|We haven't seen each other in a long time.
99|[Ce ai mai făcut] în ultima vreme?|What have you been up to lately?
100|[Cum ți-a] mers?|How have you been?
101|[Mă bucur să aud asta].|I'm glad to hear that.
102|[Îmi pare rău să aud asta].|I'm sorry to hear that.
103|[A, deci așa], acum înțeleg.|Oh, I see, now I understand.
104|[Are sens].|That makes sense.
105|[Ce] interesant!|That's interesting!
106|[E adevărat că] te muți?|Is it true that you're moving?
107|[Voiam să te întreb dacă] ai timp.|I wanted to ask you whether you have time.
108|[Te deranjează dacă] deschid geamul?|Do you mind if I open the window?
109|[Nu ai de ce].|Don't mention it.
110|[Trebuie să plec].|I have to go.
111|[Din păcate, trebuie să plec acum].|Unfortunately I have to go now.
112|[Hai să ținem legătura].|Let's stay in touch.
113|[Dă-mi de știre] când ai timp.|Get in touch when you have time.
114|[Scrie-mi pur și simplu] un mesaj.|Just send me a message.
115|[Te pot deranja puțin]?|Can I bother you for a second?
116|[Nu te deranjez], nu?|I'm not disturbing you, am I?
117|[Cum era]?|What was that again?
118|[Am uitat] cum te cheamă.|I've forgotten your name.
119|[Unde rămăsesem]?|Where were we?
120|[Apropo], am noutăți.|By the way, I have news.
121|[Apropo de] concediu, unde pleci?|Speaking of vacation, where are you going?
122|[Depinde de situație].|That depends.
123|[Depinde].|It depends.
124|[Mi-e indiferent] ce facem.|I don't care what we do.
125|[Sunt curios] ce se va întâmpla.|I'm curious to see what happens.
126|[N-am prins asta].|I didn't catch that.
127|[Poți să explici altfel]?|Can you explain that differently?
128|[De fapt, mă refeream la] altceva.|I actually meant something else.
129|[Am greșit cuvântul].|I misspoke.
130|[A fost doar o glumă].|That was just a joke.
131|[Mă grăbesc].|I'm in a hurry.
132|[Ce bine că ai venit].|Nice that you're here.
133|[Să ajungi cu bine acasă]!|Get home safely!
134|[Simte-te ca acasă].|Make yourself at home.
135|[Na], asta e viața.|Oh well, that's life.
136|[Dacă nu mă înșel], ne-am mai întâlnit.|If I'm not mistaken, we've met before.
137|[Îmi sună cunoscut].|That sounds familiar.
138|[Îmi pari cunoscut].|You look familiar.
139|[Mi-a ieșit din minte].|That slipped my mind.
140|[Îl am pe vârful limbii].|It's on the tip of my tongue.
141|[Sunt numai urechi].|I'm all ears.
142|[Ca să fiu sincer], n-am chef.|To be honest, I don't feel like it.
143|[Sincer să fiu], mi se pare ciudat.|Honestly, I find that strange.
144|[Din câte știu], a plecat deja.|As far as I know, he's already gone.
145|[Oricum ar fi], trebuie să mergem mai departe.|Be that as it may, we have to keep going.
146|[Pe scurt]: n-a mers.|In short: it didn't work out.
147|[Cu alte cuvinte], o luăm de la capăt.|In other words, we're starting over.
148|[Adică] nu vii?|So that means you're not coming?
149|[Cum am spus], azi nu pot.|As I said, I can't today.
150|[Nu voiam să te întrerup].|I didn't mean to interrupt you.
151|[Pot să adaug ceva]?|May I quickly add something?
152|[Lasă-mă să termin]!|Let me finish!
153|[Unde vrei să ajungi]?|What are you getting at?
154|[Nu asta e ideea].|That's not the point.
155|[Ție îți e ușor să spui].|That's easy for you to say.
156|[Pentru mine e chineză curată].|It's all Greek to me.
157|[Ai dreptate], a fost greșeala mea.|You're right, that was my mistake.
158|[Aici ai] totuși [dreptate].|You do have a point there.
159|[Nu te supăra], dar trebuie să anulez.|Don't take it the wrong way, but I have to cancel.
160|[Fără supărare].|No offense.
161|[Hai să uităm].|Let's forget about it.
162|[N-am vrut să sune așa].|I didn't mean it like that.
163|[Hai, să mergem]!|Well, let's get going!
164|[Vedem].|We'll see.
165|[Cine știe]?|Who knows?
166|[Nici nu se pune problema].|That's out of the question.
167|[Sunt și eu]!|I'm in!
168|[Din fericire], până la urmă a mers.|Luckily it still worked out.
169|[Din păcate], trebuie să anulez.|Unfortunately I have to cancel.
170|[Te-am înțeles greșit].|I misunderstood you.
171|[La asta voiam să ajung].|That's what I was getting at.
172|[Îți țin pumnii]!|I'll keep my fingers crossed for you!
173|[Multă baftă]!|Break a leg!
174|[Nu-ți face griji].|Don't worry about it.
175|[Baftă multă și merde]!|Break a leg! (good luck)
176|[Între noi fie vorba], proiectul a eșuat.|Between you and me, the project failed.
177|[Dacă sunt sincer], am avut îndoieli.|If I'm honest, I had doubts.
178|[Doar dacă nu] ai o idee mai bună.|Unless you have a better idea.
179|[Una nu o exclude pe cealaltă].|One doesn't rule out the other.
180|[Asta e altă poveste].|That's a different story.
181|[Nu e treaba mea].|That's not my problem.
182|[Hai să trecem la subiect].|Let's get to the point.
183|[Ca să fiu direct]: avem nevoie de mai mult timp.|To get to the point: we need more time.
184|[Cum se spune]: exercițiul îl face pe maestru.|As the saying goes: practice makes perfect.
185|[Ca să zic așa].|So to speak.
186|[În fond], ai dreptate.|Basically, you're right.
187|[Strict vorbind], asta nu e permis.|Strictly speaking, that isn't allowed.
188|[În afară de asta], sunt bine.|Apart from that, I'm doing well.
189|[Din tot ce am auzit], a fost grozav.|From everything I've heard, it was great.
190|[Nu vreau să te jignesc], dar a fost nepoliticos.|I don't want to offend you, but that was rude.
191|[Accept bucuros să mi se arate că greșesc].|I'm happy to be proven wrong.
192|[Asta nu se poate nega].|There's no denying that.
193|[Asta se înțelege de la sine].|That goes without saying.
194|[Ca din pușcă] a venit răspunsul.|The answer came like a shot.
195|[Nu mi-a trecut prin cap].|That wasn't on my radar.
196|[Sunt total de acord cu tine].|I'm completely with you on that.
197|[Pe scurt, ca să nu lungesc vorba]: ne mutăm.|Long story short: we're moving.
198|[Aici m-ai prins].|You've got me there. (I don't know)
199|[Rămâne de văzut].|That remains to be seen.
200|[Nu am cuvinte].|I'm speechless.
201|[Pot să mă prezint]? Sunt noul vecin.|May I briefly introduce myself? I'm the new neighbor.
202|[Nu ne cunoaștem încă], nu?|We haven't met yet, have we?
203|[Cred că ne-am mai întâlnit].|I think we've met before.
204|[De unde o cunoști] de fapt pe Lisa?|How do you actually know Lisa?
205|[Ce te aduce] pe aici?|What brings you here?
206|[De cât timp ești] în oraș?|How long have you been in the city?
207|[Vii des pe aici]?|Do you come here often?
208|[Ce mai faci] când nu lucrezi?|What do you get up to when you're not working?
209|[Voiam doar să dau un semn de viață].|I just wanted to check in quickly.
210|[Ce bine să aud de tine]!|Nice to hear from you!
211|[Scuze că îți răspund abia acum].|Sorry I'm only getting back to you now.
212|[Sper că ești bine].|I hope you're doing well.
213|[Ai putea să-l spui pe litere], te rog?|Could you spell that, please?
214|[N-am auzit ce ai spus].|I didn't catch what you said.
215|[Legătura e] destul de [proastă].|The connection is pretty bad.
216|[Te aud foarte încet], poți vorbi mai tare?|You're very quiet, can you speak louder?
217|[Mă auzi]?|Can you hear me?
218|[Te sun imediat înapoi].|I'll call you right back.
219|[Ia zi], ai ceva planuri azi?|Say, do you have any plans today?
220|[Ai un minut]?|Would you have a moment?
221|[Nu vreau să te rețin].|I don't want to keep you.
222|[Te las să lucrezi în continuare].|I'll let you get back to work now.
223|[Mi-a făcut plăcere să stăm de vorbă].|It was nice chatting with you.
224|[Să mai dai de veste]!|Keep in touch!
225|[Transmite-i] mamei tale [toate cele bune].|Give your mother my love.
226|[Mulțumesc, la fel]!|Thanks, you too!
227|[Drăguț din partea ta], mersi.|That's kind of you, thanks.
228|[Ar fi chiar drăguț].|That would be really sweet.
229|[Sper că nu deranjez].|I hope I'm not interrupting.
230|[Scuze că dau buzna așa].|Sorry to spring this on you.
231|[Pot să-ți spun pe tu]?|May I use "du" with you?
232|[Hai să ne tutuim]?|Shall we switch to "du"?
233|[Puteți să-mi spuneți liniștit pe tu].|You're welcome to call me "du".
234|[Nu voiam să fiu nepoliticos].|I didn't mean to be rude.
235|[Se pare că ne-am înțeles greșit].|It seems we misunderstood each other.
236|[Am înțeles bine] că nu vii?|Do I understand correctly that you're not coming?
237|[Ce vreau să spun] este următorul lucru.|What I'm getting at is the following.
238|[Scurt și la obiect]: sunt și eu.|In a nutshell: I'm in.
239|[Ca să scurtez povestea], am reușit.|To make a long story short, we did it.
240|[Voi fi scurt].|I'll keep it short.
241|[Nu vreau să mă învârt în jurul cozii].|I don't want to beat around the bush.
242|[Spune-o direct].|Just say it straight out.
243|[Trebuie să-ți mărturisesc ceva].|I have to confess something to you.
244|[Strict între noi], sunt emoționat.|Just between us, I'm nervous.
245|[Te rog, păstrează asta pentru tine].|Please keep that to yourself.
246|[Rămâne între noi].|That stays between us.
247|[N-am vrut să zic așa].|I didn't mean it that way.
248|[Acum că zici], observ și eu.|Now that you mention it, I notice it too.
249|[A, era să uit]!|Oh, I almost forgot!
250|[Dacă tot suntem la asta]: ai cheia mea?|While we're at it: do you have my key?
251|[Ca să revin la întrebarea ta]: da, cu plăcere.|To come back to your question: yes, gladly.
252|[Ce mai voiam să spun]: mersi pentru ieri.|What I also wanted to say: thanks for yesterday.
253|[Cum să zic]? E complicat.|How should I put it? It's complicated.
254|[Nu-mi vine cuvântul acum].|The word escapes me right now.
255|[Cum se numește asta]?|What do you call that again?
256|[Știi tu ce vreau să zic].|You know what I mean.
257|[Nu prea te pot urmări].|I can't quite follow you.
258|[Poți să dai un exemplu]?|Can you give an example?
259|[N-am spus asta].|That's not what I said.
260|[M-ai înțeles greșit].|You misunderstood me.
261|[Lasă-mă să clarific].|Let me clarify that.
262|[Altfel spus]: avem nevoie de ajutor.|Put differently: we need help.
263|[E mai ușor de zis decât de făcut].|That's easier said than done.
264|[Păi, dacă e așa]!|Well, if that's the case!
265|[Bine, m-ai convins]!|Okay, you've convinced me!
266|[N-am nimic împotrivă].|Fine by me.
267|[Din partea mea], putem pleca și mai târziu.|As far as I'm concerned, we can leave later too.
268|[Nu e mare scofală].|It's no big deal.
269|[Nu merită menționat].|Not worth mentioning.
270|[Nu pune la suflet].|Don't let it get to you.
271|[Capul sus], o să fie bine.|Chin up, it'll be fine.
272|[Stau ca pe ghimpi].|I'm on tenterhooks.
273|[Abia aștept să văd].|Now I'm curious.
274|[Asta da surpriză]!|Well, how about that!
275|[Nu se poate]!|You're kidding!
276|[Doamne, Dumnezeule]!|Oh my goodness!
277|[Glumești], nu?|You're joking, right?
278|[Pe bune]?|Seriously?
279|[Lăsând gluma la o parte]: cum ești de fapt?|Joking aside: how are you really?
280|[Cum merge] la muncă?|So how are things going at work?
281|[Faci ce poți].|You do what you can.
282|[Nu mă pot plânge].|Can't complain.
283|[Trebuie să mergem înainte].|You've got to keep going.
284|[Totul e în regulă].|Everything's fine.
285|[Putea fi și mai rău].|It could be worse.
286|[Sunt destul de stresat], dar în rest bine.|I'm pretty stressed, but otherwise fine.
287|[Ce bine că a mers]!|Great that it worked out!
288|[Îți urez mult succes]!|I wish you lots of success!
289|[Toate cele bune pe viitor]!|All the best for the future!
290|[La mulți ani și un an nou fericit]!|Happy New Year! (said before New Year)
291|[Paște fericit] tuturor!|Happy Easter to you all!
292|[Sincere condoleanțe].|My sincere condolences.
293|[Toată compasiunea mea].|My heartfelt sympathy.
294|[Îți dau de veste cât pot de repede].|I'll get in touch as soon as I can.
295|[Până data viitoare]!|Until next time!
296|[Mai vorbim].|We'll be in touch.
297|[Ne mai vedem]!|See you around!
298|[Toate bune și ai grijă de tine]!|Take care and look after yourself!
299|[Să ajungi cu bine]!|Get home safe!
300|[Dacă îmi amintesc bine], ne-am cunoscut la Viena.|If I remember rightly, we met in Vienna.
301|[Este o plăcere] să vă cunosc.|It's a pleasure to meet you.
302|[Am auzit multe despre dumneavoastră].|I've heard a lot about you.
303|[Sper că numai lucruri bune]!|Only good things, I hope!
304|[Permiteți-mi să vi-l prezint] pe colegul meu?|May I introduce my colleague to you?
305|[Ne-am întâlnit în treacăt].|We've met briefly.
306|[Numele dumneavoastră îmi spune ceva].|Your name rings a bell.
307|[Iertați-mă că vă deranjez].|Forgive the interruption.
308|[Nu aș vrea să vă fiu o povară].|I don't want to be a burden to you.
309|[Este foarte amabil din partea dumneavoastră].|That's very obliging of you.
310|[Apreciez foarte mult].|I really appreciate that.
311|[Vă sunt profund recunoscător].|I'm deeply indebted to you.
312|[Era de la sine înțeles].|It was the least I could do.
313|[Cum doriți].|As you wish.
314|[Dacă îmi permiteți], aș dori să adaug ceva.|If you'll allow me, I'd like to add something.
315|[Cu permisiunea dumneavoastră], eu văd lucrurile altfel.|With all due respect, I see it differently.
316|[Cu tot respectul], nu e chiar așa.|With all due respect, that's not quite right.
317|[Nu vreau să fiu indiscret], dar câți ani aveți?|I don't want to be indiscreet, but how old are you?
318|[Dacă îmi permiteți să întreb]: cu ce vă ocupați?|If I may ask: what do you do for a living?
319|[Nu vă supărați pe mine] dacă plec mai devreme.|Don't hold it against me if I leave early.
320|[Mă simt stânjenit], dar am uitat cum vă numiți.|This is embarrassing, but I've forgotten your name.
321|[Vă cer mii de scuze].|I do apologize.
322|[Nu a fost deloc intenția mea].|That was by no means my intention.
323|[Se pare că nu m-am exprimat clar].|I seem to have expressed myself unclearly.
324|[Permiteți-mi să fiu mai precis].|Let me be more precise.
325|[Mai exact], era vorba de altceva.|More precisely, it was about something else.
326|[Pe scurt: trebuie să] amânăm totul.|In other words: we have to postpone the whole thing.
327|[Spus pe șleau], asta înseamnă că nu vii.|In plain terms, that means you're not coming.
328|[Ca să o spun pe românește]: a fost un fiasco.|To put it bluntly: that was a flop.
329|[Ca să mă exprim cu blândețe], n-a fost ideal.|To put it mildly, that wasn't ideal.
330|[Ca să nu zic mai mult], sunt dezamăgit.|To put it mildly, I'm disappointed.
331|[Sincer vorbind], habar n-aveam.|Frankly, I had no idea.
332|[Fără ocolișuri]: am nevoie de ajutorul tău.|Without beating around the bush: I need your help.
333|[Ca să vă spun de pe acum]: a mers.|To give it away now: it worked.
334|[Fie vorba între paranteze], mâncarea a fost excelentă.|Incidentally, the food was excellent.
335|[A menționat în treacăt] că se mută.|He mentioned in passing that he's moving.
336|[Asta doar ca o paranteză].|Just as an aside.
337|[Oricum ar sta lucrurile], ar trebui să începem.|Be that as it may, we should get started.
338|[Precum am spus], sunt flexibil în privința asta.|As I said, I'm flexible there.
339|[Așa cum am menționat deja], ședința începe la zece.|As already mentioned, the meeting starts at ten.
340|[Trec direct la subiect].|I'll get straight to the point.
341|[Multă vorbă, niciun rost].|A lot of talk, no point at all.
342|[Vorbesc cu pereții].|I'm talking to a brick wall.
343|[Te învârți în jurul cozii].|You're beating around the bush.
344|[Acum ai pierdut firul].|Now you've lost the thread.
345|[Unde rămăsesem eu]?|Where was I?
346|[Mă abat de la subiect].|I'm digressing.
347|[Să revenim la subiect].|Back to the topic.
348|[Asta n-are nicio legătură aici].|That's beside the point here.
349|[Asta nici nu se discută].|That's beyond question.
350|[E de la sine înțeles].|That goes without saying.
351|[E evident].|That's obvious.
352|[Poftim? Nu vorbești serios]!|Excuse me? You can't be serious!
353|[Asta întrece orice măsură]!|That takes the cake!
354|[Îți taie respirația].|It takes your breath away.
355|[Am rămas fără grai].|I'm speechless.
356|[Nu găsesc cuvinte].|I'm lost for words.
357|[Nu-mi cred urechilor].|I can't believe my ears.
358|[Asta chiar e ceva]!|That's quite something!
359|[Ei, frumoasă belea]!|Well, this is a fine mess!
360|[Nu te credeam în stare de asta].|I wouldn't have thought you had it in you.
361|[Jos pălăria]!|Hats off!
362|[Chapeau]!|Well done! / Respect!
363|[Arată impresionant].|That's impressive.
364|[Respect, ai făcut treabă bună].|Respect, you did that well.
365|[Te iau pe cuvânt].|I'll hold you to that.
366|[Ce-i promis e promis].|A promise is a promise.
367|[Te țin la curent].|I'll keep you posted.
368|[Anunță-mă dacă se schimbă ceva].|Let me know if anything changes.
369|[Sunt oricând la dispoziția ta].|I'm at your disposal at any time.
370|[Nu ezitați să mă contactați].|Don't hesitate to get in touch.
371|[Abia aștept să ne revedem curând].|I look forward to seeing you again soon.
372|[A fost o plăcere].|It was my pleasure.
373|[Vă mai așteptăm cu drag]!|Do come again soon!
374|[Transmiteți-i salutări soției dumneavoastră din partea mea].|Give my regards to your wife.
375|[Transmiteți-mi salutările] familiei dumneavoastră.|Give my regards to your family.
376|[Vă doresc o seară plăcută în continuare].|I wish you a pleasant evening.
377|[Să ajungeți cu bine acasă].|Have a safe trip home.
378|[Numai bine]!|All the best!
379|[Pe curând, deci]!|See you soon!
380|[Pe în curând]!|See you soon!
381|[Ne vedem cel târziu săptămâna viitoare].|We'll see each other next week at the latest.
382|[Păpa]!|Bye-bye! (playful)
383|[Ciao, ne mai vedem zilele astea]!|Bye, see you one of these days!
384|[Ei, asta-i bună acum]!|Well, that's just great! (ironic)
385|[Seară plăcută după muncă]!|Enjoy the rest of your evening! (after work)
386|[Poftă bună]!|Hello! (greeting at lunchtime at work)
387|[Salutare]!|Hi there!
388|[Salut, salut]!|Hello! (northern Germany)
389|[Salut, ce mai faci, cum o mai duci]?|Hey, how's it going?
390|[Ei, totul bine]?|Hey, everything good?
391|[A trecut o veșnicie]!|It's been ages!
392|[Ce mică e lumea]!|What a small world!
393|[Drumurile noastre se vor mai întâlni].|Our paths are bound to cross again.
394|[Ce coincidență] să te întâlnesc aici!|What a coincidence to meet you here!
395|[Aproape că nu te-am recunoscut]!|You're hardly recognizable!
396|[Nu te-ai schimbat deloc].|You haven't changed a bit.
397|[Timpul zboară].|Time flies.
398|[Îți mai amintești] cum ne-am cunoscut?|Do you remember how we met?
399|[Ce vremuri erau]!|Those were the days!
400|[Hai să mai facem asta curând].|Let's do this again soon.
401|[Ea este] mama mea.|This is my mother.
402|[El este] tatăl meu.|This is my father.
403|[Am] doi frați.|I have two brothers.
404|[Am o] soră.|I have a sister.
405|[Ai] frați?|Do you have siblings?
406|[Sunt] copil unic.|I'm an only child.
407|[Sunt căsătorit].|I'm married.
408|[Sunt necăsătorit].|I'm single.
409|[Ai] copii?|Do you have children?
410|[Avem] doi copii.|We have two children.
411|[Câți ani are] fiul tău?|How old is your son?
412|Fiica mea [are] cinci [ani].|My daughter is five years old.
413|Părinții mei [locuiesc în] Berlin.|My parents live in Berlin.
414|[Ea este] soția mea.|This is my wife.
415|[El este] soțul meu.|This is my husband.
416|[Cel mai bun prieten al meu se numește] Max.|My best friend's name is Max.
417|[Ea este] prietena mea, Lisa.|This is my girlfriend / friend Lisa.
418|Bunica mea [are] optzeci de ani.|My grandma is eighty.
419|[Te iubesc].|I love you.
420|[Mi-e dor de tine].|I miss you.
421|[Ce mai face] familia ta?|How is your family?
422|[Familia mea e bine].|My family is doing well.
423|[Suntem] o familie mare.|We're a big family.
424|[Fratele meu e] mai mare [decât mine].|My brother is older than me.
425|[Sora mea e] mai mică.|My sister is younger.
426|[E] foarte drăguț.|He's very nice.
427|[Ea e] colega mea.|She's my colleague.
428|[Vii] și tu?|Are you coming along?
429|[Ne jucăm] împreună.|We play together.
430|[O sun] pe mama.|I'm calling my mother.
431|[Mâncăm] azi la părinții mei.|We're eating at my parents' today.
432|[Unchiul meu locuiește] în Hamburg.|My uncle lives in Hamburg.
433|[Mătușa mea e] medic.|My aunt is a doctor.
434|[Îi vizitez] pe bunicii mei.|I'm visiting my grandparents.
435|[Avem] un câine.|We have a dog.
436|[Pisica noastră se numește] Mia.|Our cat's name is Mia.
437|[Acesta e] bebelușul meu.|This is my baby.
438|[Când e ziua ta]?|When is your birthday?
439|[Ziua mea e] în mai.|My birthday is in May.
440|[La mulți ani]!|Happy birthday!
441|[Vrei să] mănânci cu noi?|Do you want to eat with us?
442|[Am] mulți prieteni.|I have many friends.
443|[El e] vecinul meu.|He's my neighbor.
444|[Suntem] prieteni.|We're friends.
445|[Unde sunt] copiii?|Where are the kids?
446|[Ne vedem] în weekend cu prietenii.|We're meeting up with friends at the weekend.
447|[Mă înțeleg bine cu] tata.|I get along well with my father.
448|[Ai chef] să treci pe la mine diseară?|Do you feel like coming over tonight?
449|Bunica mea [își serbează ziua] săptămâna viitoare.|It's my grandma's birthday next week.
450|[Dăm] o petrecere sâmbătă.|We're having a party on Saturday.
451|[Te invit] la petrecerea mea.|I'm inviting you to my party.
452|[Mulțumesc pentru invitație]!|Thanks for the invitation!
453|[Vin cu plăcere].|I'd love to come.
454|[Cum v-ați cunoscut]?|How did you two meet?
455|[Ne-am cunoscut] la facultate.|We met at university.
456|[Suntem împreună de] cinci ani.|We've been together for five years.
457|[Ne-am căsătorit] anul trecut.|We got married last year.
458|[E însărcinată].|She's pregnant.
459|[Am grijă de copii] azi.|I'm looking after the kids today.
460|[Părinții mei sunt divorțați].|My parents are divorced.
461|[Încă locuiesc cu] părinții mei.|I still live with my parents.
462|[Fiul meu merge] la școală.|My son goes to school.
463|[Petrecem] Crăciunul [cu] familia mea.|We're spending Christmas with my family.
464|[Nu ne vedem] chiar așa des.|We don't see each other that often.
465|[Vorbesc la telefon] în fiecare duminică [cu] mama.|I talk on the phone with my mother every Sunday.
466|[Seamănă cu] tatăl lui.|He looks like his father.
467|[E] foarte [săritoare].|She's very helpful.
468|[E] uneori puțin [timid].|He's sometimes a bit shy.
469|[Avem multe în comun].|We have a lot in common.
470|[Cu ce se ocupă] copiii tăi?|What do your kids do for work?
471|[Ce mai face] fratele tău?|How's your brother?
472|[Transmite-i salutări din partea mea].|Give her my regards.
473|[Poți să mă iei]?|Can you pick me up?
474|[Iau copiii].|I'm picking up the kids.
475|[Mergem] împreună [la plimbare].|We're going for a walk together.
476|[Treceți] mâine [pe la noi]?|Are you coming by tomorrow?
477|[Adu-l] și pe prietenul tău!|Bring your boyfriend along!
478|[Mi-am făcut] un prieten [nou].|I met a new friend.
479|[Are] vârsta mea.|He's my age.
480|[Familia mea e din] Italia.|My family comes from Italy.
481|[Am crescut] la bunica.|I grew up at my grandma's.
482|[Ne certăm] uneori.|We argue sometimes.
483|[Ne-am împăcat].|We made up again.
484|[Abia aștept] petrecerea în familie.|I'm looking forward to the family celebration.
485|[Copiilor noștri le place să se joace] afară.|Our kids like playing outside.
486|[Avem] un cadou [pentru tine].|We have a present for you.
487|[Ce drăguț din partea ta]!|That's so sweet of you!
488|[Cum o cheamă] pe prietena ta?|What's your girlfriend's name?
489|[Sunt prietenă] cu ea.|I'm friends with her.
490|[Vărul meu locuiește] în străinătate.|My cousin lives abroad.
491|[Ne cunoaștem din] școală.|We've known each other since school.
492|[Mă pot baza] mereu [pe] ea.|I can always rely on her.
493|[Depinde] cine mai vine.|It depends on who else is coming.
494|[Avem] o [relație apropiată].|We have a close relationship.
495|[Am] o [relație bună cu] sora mea.|I have a good relationship with my sister.
496|[S-a despărțit de] prietena lui.|He broke up with his girlfriend.
497|[Ea a pus capăt relației].|She broke up (with him).
498|[M-am îndrăgostit de] el.|I fell in love with him.
499|[Ne-am logodit]!|We got engaged!
500|[Așteaptă] al doilea copil.|They're expecting their second child.
501|[Sunt mândru de] tine.|I'm proud of you.
502|[Îmi fac griji pentru] tatăl meu.|I'm worried about my father.
503|[Are grijă de] mama lui bolnavă.|He takes care of his sick mother.
504|[Facem] multe lucruri [împreună].|We do a lot together.
505|[N-am mai văzut-o] de ani de zile.|I haven't seen her in years.
506|[Am crescut] împreună.|We grew up together.
507|[Îmi amintește de] bunicul meu.|He reminds me of my grandpa.
508|[Mi-e foarte dor de] familia mea.|I miss my family a lot.
509|[Mi-e dor de casă].|I'm homesick.
510|[Ne ținem unul de altul].|We stick together.
511|[M-a ajutat] foarte mult.|She helped me a lot.
512|[Voiam să-ți mulțumesc].|I wanted to thank you.
513|[M-a invitat] la cină.|He invited me to dinner.
