1|[Hoi], hoe gaat het?|Hi, how's it going?
258|[Kun je een voorbeeld geven]?|Can you give an example?
259|[Zo heb ik het niet gezegd].|That's not what I said.
260|[Je hebt me verkeerd begrepen].|You misunderstood me.
261|[Laat me dat even verduidelijken].|Let me clarify that.
262|[Anders gezegd]: we hebben hulp nodig.|Put differently: we need help.
263|[Dat is makkelijker gezegd dan gedaan].|That's easier said than done.
264|[Nou, als dat zo is]!|Well, if that's the case!
265|[Oké, je hebt me overgehaald]!|Okay, you've convinced me!
266|[Wat mij betreft prima].|Fine by me.
267|[Van mij mag het], we kunnen ook later gaan.|As far as I'm concerned, we can leave later too.
268|[Valt wel mee].|It's no big deal.
269|[Niet de moeite waard om over te praten].|Not worth mentioning.
270|[Trek het je niet aan].|Don't let it get to you.
271|[Kop op], het komt wel goed.|Chin up, it'll be fine.
272|[Ik zit op het puntje van mijn stoel].|I'm on tenterhooks.
273|[Nou ben ik benieuwd].|Now I'm curious.
274|[Nou breekt mijn klomp]!|Well, how about that!
275|[Dat meen je niet]!|You're kidding!
276|[O jee]!|Oh my goodness!
277|[Je maakt een grapje], toch?|You're joking, right?
278|[Serieus]?|Seriously?
279|[Even zonder gekheid]: hoe gaat het nou echt met je?|Joking aside: how are you really?
280|[Hoe gaat het eigenlijk] op je werk?|So how are things going at work?
281|[Je doet wat je kan].|You do what you can.
282|[Mag niet klagen].|Can't complain.
283|[Het moet].|You've got to keep going.
284|[Alles onder controle].|Everything's fine.
285|[Het had erger gekund].|It could be worse.
286|[Ik heb het behoorlijk druk], maar verder gaat het goed.|I'm pretty stressed, but otherwise fine.
287|[Fijn dat het gelukt is]!|Great that it worked out!
288|[Ik wens je veel succes]!|I wish you lots of success!
289|[Het beste voor de toekomst]!|All the best for the future!
290|[Ik wens je een goede jaarwisseling]!|Happy New Year! (said before New Year)
291|[Fijne Pasen] allemaal!|Happy Easter to you all!
292|[Gecondoleerd].|My sincere condolences.
293|[Mijn oprechte deelneming].|My heartfelt sympathy.
294|[Ik laat van me horen zodra ik kan].|I'll get in touch as soon as I can.
295|[Tot de volgende keer]!|Until next time!
296|[We houden contact].|We'll be in touch.
297|[We zien elkaar nog wel]!|See you around!
298|[Het ga je goed en pas op jezelf]!|Take care and look after yourself!
299|[Kom veilig thuis]!|Get home safe!
300|[Als ik het me goed herinner], hebben we elkaar in Wenen leren kennen.|If I remember rightly, we met in Vienna.
301|[Het is me een genoegen] kennis met u te maken.|It's a pleasure to meet you.
302|[Ik heb al veel over u gehoord].|I've heard a lot about you.
303|[Hopelijk alleen maar goeds]!|Only good things, I hope!
304|[Mag ik u] mijn collega [voorstellen]?|May I introduce my colleague to you?
305|[We hebben elkaar vluchtig ontmoet].|We've met briefly.
306|[Uw naam komt me bekend voor].|Your name rings a bell.
307|[Neemt u me de storing niet kwalijk].|Forgive the interruption.
308|[Ik wil u niet tot last zijn].|I don't want to be a burden to you.
309|[Dat is erg attent van u].|That's very obliging of you.
310|[Dat waardeer ik zeer].|I really appreciate that.
311|[Ik ben u zeer veel dank verschuldigd].|I'm deeply indebted to you.
312|[Dat spreekt toch vanzelf].|It was the least I could do.
313|[Zoals u wilt].|As you wish.
314|[Als u het goedvindt], wil ik graag iets aanvullen.|If you'll allow me, I'd like to add something.
315|[Met alle respect], ik zie dat anders.|With all due respect, I see it differently.
316|[Met alle respect], zo klopt het niet helemaal.|With all due respect, that's not quite right.
317|[Ik wil niet indiscreet zijn], maar hoe oud bent u?|I don't want to be indiscreet, but how old are you?
318|[Als ik vragen mag]: wat doet u voor werk?|If I may ask: what do you do for a living?
319|[Neemt u het me niet kwalijk] als ik eerder vertrek.|Don't hold it against me if I leave early.
320|[Dit is een beetje gênant], maar ik ben uw naam vergeten.|This is embarrassing, but I've forgotten your name.
321|[Mijn welgemeende excuses].|I do apologize.
322|[Dat was allerminst mijn bedoeling].|That was by no means my intention.
323|[Ik heb me blijkbaar onduidelijk uitgedrukt].|I seem to have expressed myself unclearly.
324|[Laat me dat preciezer zeggen].|Let me be more precise.
325|[Om precies te zijn] ging het om iets anders.|More precisely, it was about something else.
326|[Oftewel: we moeten] het hele gebeuren uitstellen.|In other words: we have to postpone the whole thing.
327|[Dat betekent in gewone taal] dat je niet komt.|In plain terms, that means you're not coming.
328|[Plat gezegd]: dat was een flop.|To put it bluntly: that was a flop.
329|[Voorzichtig uitgedrukt] was dat niet ideaal.|To put it mildly, that wasn't ideal.
330|[Zacht gezegd] ben ik teleurgesteld.|To put it mildly, I'm disappointed.
331|[Eerlijk gezegd] had ik geen idee.|Frankly, I had no idea.
332|[Zonder omwegen]: ik heb je hulp nodig.|Without beating around the bush: I need your help.
333|[Om maar meteen met de deur in huis te vallen]: het is gelukt.|To give it away now: it worked.
334|[Terzijde] was het eten uitstekend.|Incidentally, the food was excellent.
335|[Terloops vertelde hij] dat hij gaat verhuizen.|He mentioned in passing that he's moving.
336|[Dat even terzijde].|Just as an aside.
337|[Hoe het ook zij], we moeten beginnen.|Be that as it may, we should get started.
338|[Zoals ik al zei], ik ben daar flexibel in.|As I said, I'm flexible there.
339|[Zoals al vermeld] begint de vergadering om tien uur.|As already mentioned, the meeting starts at ten.
340|[Ik kom meteen ter zake].|I'll get straight to the point.
341|[Veel woorden, geen inhoud].|A lot of talk, no point at all.
342|[Het is praten tegen een muur].|I'm talking to a brick wall.
343|[Je draait eromheen].|You're beating around the bush.
344|[Nu ben je de draad kwijt].|Now you've lost the thread.
345|[Waar was ik gebleven]?|Where was I?
346|[Ik dwaal af].|I'm digressing.
347|[Terug naar het onderwerp].|Back to the topic.
348|[Dat doet hier niet ter zake].|That's beside the point here.
349|[Daar bestaat geen twijfel over].|That's beyond question.
350|[Dat spreekt vanzelf].|That goes without saying.
351|[Dat ligt voor de hand].|That's obvious.
352|[Pardon? Dat meen je toch niet]!|Excuse me? You can't be serious!
353|[Dat slaat alles]!|That takes the cake!
354|[Daar word je stil van].|It takes your breath away.
355|[Ik sta met mijn mond vol tanden].|I'm speechless.
356|[Daar heb ik geen woorden voor].|I'm lost for words.
357|[Ik geloof mijn oren niet].|I can't believe my ears.
358|[Dat is me nogal wat]!|That's quite something!
359|[Nou, dat is een mooie boel]!|Well, this is a fine mess!
360|[Dat had ik niet achter je gezocht].|I wouldn't have thought you had it in you.
361|[Petje af]!|Hats off!
362|[Alle respect]!|Well done! / Respect!
363|[Dat mag gezien worden].|That's impressive.
364|[Respect, dat heb je goed gedaan].|Respect, you did that well.
365|[Ik hou je eraan].|I'll hold you to that.
366|[Belofte maakt schuld].|A promise is a promise.
367|[Ik hou je op de hoogte].|I'll keep you posted.
368|[Laat het weten als er iets verandert].|Let me know if anything changes.
369|[Ik sta altijd voor je klaar].|I'm at your disposal at any time.
370|[Aarzelt u niet om contact op te nemen].|Don't hesitate to get in touch.
371|[Ik hoop u snel weer te zien].|I look forward to seeing you again soon.
372|[Het was me een genoegen].|It was my pleasure.
373|[Komt u gauw weer eens langs]!|Do come again soon!
374|[Doet u de groeten aan uw vrouw].|Give my regards to your wife.
375|[Wilt u mij aanbevelen bij] uw familie.|Give my regards to your family.
376|[Ik wens u nog een prettige avond].|I wish you a pleasant evening.
377|[Komt u goed thuis].|Have a safe trip home.
378|[Het beste]!|All the best!
379|[Tot binnenkort]!|See you soon!
380|[Tot gauw]!|See you soon!
381|[We zien elkaar uiterlijk volgende week].|We'll see each other next week at the latest.
382|[Doeidoei]!|Bye-bye! (playful)
383|[Ciao, tot een van de komende dagen]!|Bye, see you one of these days!
384|[Nou, dat wordt wat]!|Well, that's just great! (ironic)
385|[Fijne avond nog]!|Enjoy the rest of your evening! (after work)
386|[Smakelijk eten]!|Hello! (greeting at lunchtime at work)
387|[Hé, hallo]!|Hi there!
388|[Moi]!|Hello! (northern Germany)
389|[Hé, hoe is het, hoe staat het ervoor]?|Hey, how's it going?
390|[Hé, alles goed]?|Hey, everything good?
391|[Dat is lang geleden]!|It's been ages!
392|[Wat is de wereld toch klein]!|What a small world!
393|[Je komt elkaar altijd weer tegen].|Our paths are bound to cross again.
394|[Wat toevallig] dat ik jou hier tegenkom!|What a coincidence to meet you here!
395|[Je bent bijna niet meer te herkennen]!|You're hardly recognizable!
396|[Je bent geen spat veranderd].|You haven't changed a bit.
397|[De tijd vliegt].|Time flies.
398|[Weet je nog] hoe we elkaar hebben leren kennen?|Do you remember how we met?
399|[Dat waren nog eens tijden]!|Those were the days!
400|[Laten we dit snel nog eens doen].|Let's do this again soon.
401|[Dit is] mijn moeder.|This is my mother.
402|[Dit is] mijn vader.|This is my father.
403|[Ik heb] twee broers.|I have two brothers.
404|[Ik heb een] zus.|I have a sister.
405|[Heb je] broers of zussen?|Do you have siblings?
406|[Ik ben] enig kind.|I'm an only child.
407|[Ik ben getrouwd].|I'm married.
408|[Ik ben vrijgezel].|I'm single.
409|[Heb je] kinderen?|Do you have children?
410|[We hebben] twee kinderen.|We have two children.
411|[Hoe oud is] je zoon?|How old is your son?
412|Mijn dochter [is] vijf [jaar oud].|My daughter is five years old.
413|Mijn ouders [wonen in] Berlijn.|My parents live in Berlin.
414|[Dit is] mijn vrouw.|This is my wife.
415|[Dit is] mijn man.|This is my husband.
416|[Mijn beste vriend heet] Max.|My best friend's name is Max.
417|[Dit is] mijn vriendin Lisa.|This is my girlfriend / friend Lisa.
418|Mijn oma [is] tachtig.|My grandma is eighty.
419|[Ik hou van je].|I love you.
420|[Ik mis je].|I miss you.
421|[Hoe gaat het met] je familie?|How is your family?
422|[Met mijn familie gaat het goed].|My family is doing well.
423|[We zijn] een grote familie.|We're a big family.
424|[Mijn broer is] ouder [dan ik].|My brother is older than me.
425|[Mijn zus is] jonger.|My sister is younger.
426|[Hij is] heel aardig.|He's very nice.
427|[Zij is] mijn collega.|She's my colleague.
428|[Ga je] mee?|Are you coming along?
429|[We spelen] samen.|We play together.
430|[Ik bel] mijn moeder [op].|I'm calling my mother.
431|[We eten] vandaag bij mijn ouders.|We're eating at my parents' today.
432|[Mijn oom woont] in Hamburg.|My uncle lives in Hamburg.
433|[Mijn tante is] arts.|My aunt is a doctor.
434|[Ik ga op bezoek bij] mijn opa en oma.|I'm visiting my grandparents.
435|[We hebben] een hond.|We have a dog.
436|[Onze kat heet] Mia.|Our cat's name is Mia.
437|[Dit is] mijn baby.|This is my baby.
438|[Wanneer ben je jarig]?|When is your birthday?
439|[Ik ben] in mei [jarig].|My birthday is in May.
440|[Gefeliciteerd met je verjaardag]!|Happy birthday!
441|[Wil je] met ons mee-eten?|Do you want to eat with us?
442|[Ik heb] veel vrienden.|I have many friends.
443|[Hij is] mijn buurman.|He's my neighbor.
444|[We zijn] vrienden.|We're friends.
445|[Waar zijn] de kinderen?|Where are the kids?
446|[We spreken] in het weekend [af] met vrienden.|We're meeting up with friends at the weekend.
447|[Ik kan goed opschieten met] mijn vader.|I get along well with my father.
448|[Heb je zin] om vanavond langs te komen?|Do you feel like coming over tonight?
449|Mijn oma [is] volgende week [jarig].|It's my grandma's birthday next week.
450|[We geven] zaterdag een feestje.|We're having a party on Saturday.
451|[Ik nodig je] uit voor mijn feestje.|I'm inviting you to my party.
452|[Bedankt voor de uitnodiging]!|Thanks for the invitation!
453|[Ik kom graag].|I'd love to come.
454|[Hoe hebben jullie elkaar leren kennen]?|How did you two meet?
455|[We hebben elkaar] op de universiteit [leren kennen].|We met at university.
456|[We zijn al] vijf jaar [samen].|We've been together for five years.
457|[We zijn] vorig jaar [getrouwd].|We got married last year.
458|[Ze is zwanger].|She's pregnant.
459|[Ik pas] vandaag [op de kinderen].|I'm looking after the kids today.
460|[Mijn ouders zijn gescheiden].|My parents are divorced.
461|[Ik woon nog bij] mijn ouders.|I still live with my parents.
462|[Mijn zoon gaat] naar school.|My son goes to school.
463|[We vieren] kerst [bij] mijn familie.|We're spending Christmas with my family.
464|[We zien elkaar] niet zo vaak.|We don't see each other that often.
465|[Ik bel] elke zondag [met] mijn moeder.|I talk on the phone with my mother every Sunday.
466|[Hij lijkt op] zijn vader.|He looks like his father.
467|[Ze is] heel [behulpzaam].|She's very helpful.
468|[Hij is] soms een beetje [verlegen].|He's sometimes a bit shy.
469|[We hebben veel gemeen].|We have a lot in common.
470|[Wat doen] je kinderen [voor werk]?|What do your kids do for work?
471|[Hoe gaat het met] je broer?|How's your brother?
472|[Doe] haar [de groeten].|Give her my regards.
473|[Kun je] me [ophalen]?|Can you pick me up?
474|[Ik haal] de kinderen [op].|I'm picking up the kids.
475|[We gaan] samen [wandelen].|We're going for a walk together.
476|[Komen jullie] morgen [langs]?|Are you coming by tomorrow?
477|[Neem] je vriend [mee]!|Bring your boyfriend along!
478|[Ik heb] een nieuwe vriend [leren kennen].|I met a new friend.
479|[Hij is] van mijn leeftijd.|He's my age.
480|[Mijn familie komt uit] Italië.|My family comes from Italy.
481|[Ik ben] bij mijn oma [opgegroeid].|I grew up at my grandma's.
482|[We hebben] soms [ruzie].|We argue sometimes.
483|[We hebben het weer goedgemaakt].|We made up again.
484|[Ik verheug me op] het familiefeest.|I'm looking forward to the family celebration.
485|[Onze kinderen spelen] graag buiten.|Our kids like playing outside.
486|[We hebben] een cadeautje [voor je].|We have a present for you.
487|[Wat] ontzettend [lief van je]!|That's so sweet of you!
488|[Hoe heet] je vriendin?|What's your girlfriend's name?
489|[Ik ben] met haar [bevriend].|I'm friends with her.
490|[Mijn neef woont] in het buitenland.|My cousin lives abroad.
491|[We kennen elkaar al sinds] de middelbare school.|We've known each other since school.
492|[Ik kan altijd op] haar [rekenen].|I can always rely on her.
493|[Het hangt ervan af] wie er verder nog komt.|It depends on who else is coming.
494|[We hebben] een [hechte band].|We have a close relationship.
