1|[Hola], ¿qué tal?|Hi, how's it going?
51|¿[Qué haces] aquí?|What are you doing here?
52|¿[Qué te gusta hacer] en tu tiempo libre?|What do you like to do in your free time?
53|¿[Desde cuándo] estudias español?|How long have you been learning German?
54|[Estudio español desde hace] un año.|I've been learning German for a year.
55|¿[Puedo preguntarte] una cosa?|May I ask you something?
56|[Tengo una pregunta].|I have a question.
57|[Ni idea].|No idea.
58|[No importa].|That doesn't matter.
59|[No hay de qué].|My pleasure.
60|[Muchas gracias por] tu ayuda.|Thanks a lot for your help.
61|[Me alegro] de verte.|I'm happy to see you.
62|¡[Cuánto tiempo sin verte]!|Long time no see!
63|¿[Qué hay de nuevo]?|What's new?
64|[No mucho], ¿y tú qué tal?|Not much, and with you?
65|¿[Qué tal] tu día?|How was your day?
66|[Regular].|So-so.
67|[No muy bien], la verdad.|Not so good, to be honest.
68|[Suena bien].|That sounds good.
69|[Es verdad].|That's true.
70|[Eso no es verdad].|That's not true.
71|¡[Exacto]!|Exactly!
72|¿[En serio]?|Really?
73|¿[De verdad]? No lo sabía.|Really? I didn't know that.
74|[Creo que sí].|I think so.
75|[Creo que no].|I don't think so.
76|¡[Espera un momento]!|Wait a moment!
77|[Un momento], por favor.|One moment, please.
78|¡[Cuidado]!|Watch out!
79|¡[Mucha suerte]!|Good luck!
80|¡[Que te diviertas]!|Have fun!
81|¡[Buen viaje]!|Have a good trip!
82|[Dale recuerdos] a tu familia [de mi parte].|Say hi to your family for me.
83|¿[Cómo se pronuncia] eso?|How do you pronounce that?
84|[No estoy seguro].|I'm not sure.
85|¿[Puedes ayudarme]?|Can you help me?
86|¿[Qué pasa]?|What's wrong? / What's going on?
87|[Nada especial].|Nothing special.
88|¡[Cuídate]!|Take care!
89|¡[Cuídate mucho], eh!|Take care of yourself!
90|¡[Hasta entonces]!|See you then!
91|[No estoy seguro de si] lo he entendido bien.|I'm not sure whether I understood that correctly.
92|¿[Qué quieres decir con eso]?|What do you mean by that?
93|¿[En qué sentido lo dices]?|How do you mean that?
94|[Solo quería decirte que] estoy contento.|I just wanted to say that I'm happy.
95|¿[Podría decirme] dónde está la estación?|Could you tell me where the train station is?
96|[Tendría una pregunta].|I'd have a question.
97|[Qué alegría volver a] verte.|It's nice to see you again.
98|[Hacía mucho que no nos] veíamos.|We haven't seen each other in a long time.
99|¿[Qué has estado haciendo] últimamente?|What have you been up to lately?
100|¿[Cómo te ha ido]?|How have you been?
101|[Me alegra oír eso].|I'm glad to hear that.
102|[Siento oír eso].|I'm sorry to hear that.
103|[Ah, vale], ahora lo entiendo.|Oh, I see, now I understand.
104|[Tiene sentido].|That makes sense.
105|¡[Qué] interesante!|That's interesting!
106|¿[Es verdad que] te mudas?|Is it true that you're moving?
107|[Quería preguntarte si] tienes tiempo.|I wanted to ask you whether you have time.
108|¿[Te importa si] abro la ventana?|Do you mind if I open the window?
109|[No hay nada que agradecer].|Don't mention it.
110|[Me tengo que ir].|I have to go.
111|[Lo siento, pero ahora me tengo que ir].|Unfortunately I have to go now.
112|[Sigamos] en contacto.|Let's stay in touch.
113|[Escríbeme] cuando tengas tiempo.|Get in touch when you have time.
114|[Mándame] un mensaje [y ya está].|Just send me a message.
115|¿[Te puedo molestar un momento]?|Can I bother you for a second?
116|[No te molesto], ¿verdad?|I'm not disturbing you, am I?
117|¿[Cómo era eso]?|What was that again?
118|[Se me ha olvidado] tu nombre.|I've forgotten your name.
119|¿[Por dónde íbamos]?|Where were we?
120|[Por cierto], tengo novedades.|By the way, I have news.
121|[Hablando de] vacaciones, ¿adónde vas?|Speaking of vacation, where are you going?
122|[Eso depende].|That depends.
123|[Depende].|It depends.
124|[Me da igual] lo que hagamos.|I don't care what we do.
125|[Tengo curiosidad por ver] qué pasa.|I'm curious to see what happens.
126|[No me he enterado].|I didn't catch that.
127|¿[Puedes explicarlo de otra manera]?|Can you explain that differently?
128|[En realidad me refería a] otra cosa.|I actually meant something else.
129|[Me he equivocado al hablar].|I misspoke.
130|[Solo era una broma].|That was just a joke.
131|[Tengo prisa].|I'm in a hurry.
132|[Qué bien que estés aquí].|Nice that you're here.
133|¡[Que llegues bien a casa]!|Get home safely!
134|[Estás en tu casa].|Make yourself at home.
135|[Bueno], así es la vida.|Oh well, that's life.
136|[Si no me equivoco], ya nos conocemos.|If I'm not mistaken, we've met before.
137|[Me suena].|That sounds familiar.
138|[Tu cara me suena].|You look familiar.
139|[Se me ha ido de la cabeza].|That slipped my mind.
140|[Lo tengo en la punta de la lengua].|It's on the tip of my tongue.
141|[Soy todo oídos].|I'm all ears.
142|[Para ser sincero], no me apetece.|To be honest, I don't feel like it.
143|[La verdad es que] me parece raro.|Honestly, I find that strange.
144|[Que yo sepa], ya se ha ido.|As far as I know, he's already gone.
145|[Sea como sea], tenemos que seguir.|Be that as it may, we have to keep going.
146|[En resumen]: no ha salido bien.|In short: it didn't work out.
147|[En otras palabras], empezamos de nuevo.|In other words, we're starting over.
148|[Entonces eso significa que] no vienes, ¿no?|So that means you're not coming?
149|[Como te he dicho], hoy no puedo.|As I said, I can't today.
150|[No quería interrumpirte].|I didn't mean to interrupt you.
151|¿[Puedo añadir algo rápido]?|May I quickly add something?
152|¡[Déjame terminar]!|Let me finish!
153|¿[Adónde quieres llegar]?|What are you getting at?
154|[Esa no es la cuestión].|That's not the point.
155|[Qué fácil es decirlo].|That's easy for you to say.
156|[Me suena a chino].|It's all Greek to me.
157|[Tienes razón], ha sido culpa mía.|You're right, that was my mistake.
158|[En eso tienes razón].|You do have a point there.
159|[No te lo tomes a mal], pero tengo que cancelar.|Don't take it the wrong way, but I have to cancel.
160|[Sin ánimo de ofender].|No offense.
161|[Borrón y cuenta nueva].|Let's forget about it.
162|[No lo decía con esa intención].|I didn't mean it like that.
163|¡[Venga, vamos allá]!|Well, let's get going!
164|[Ya veremos].|We'll see.
165|¿[Quién sabe]?|Who knows?
166|[Ni hablar].|That's out of the question.
167|¡[Me apunto]!|I'm in!
168|[Por suerte] al final salió bien.|Luckily it still worked out.
169|[Por desgracia] tengo que cancelar.|Unfortunately I have to cancel.
170|[Te he entendido mal].|I misunderstood you.
171|[A eso me refería].|That's what I was getting at.
172|¡[Cruzo los dedos por ti]!|I'll keep my fingers crossed for you!
173|¡[Mucha mierda]!|Break a leg!
174|[No te preocupes por eso].|Don't worry about it.
175|¡[Suerte], que te vaya genial!|Break a leg! (good luck)
176|[Entre tú y yo], el proyecto ha fracasado.|Between you and me, the project failed.
177|[Si te soy sincero], tenía mis dudas.|If I'm honest, I had doubts.
178|[A no ser que] tengas una idea mejor.|Unless you have a better idea.
179|[Una cosa no quita la otra].|One doesn't rule out the other.
180|[Eso es harina de otro costal].|That's a different story.
181|[Eso no es asunto mío].|That's not my problem.
182|[Vamos al grano].|Let's get to the point.
183|[Para ir al grano]: necesitamos más tiempo.|To get to the point: we need more time.
184|[Como bien dice el refrán]: la práctica hace al maestro.|As the saying goes: practice makes perfect.
185|[Por así decirlo].|So to speak.
186|[En el fondo] tienes razón.|Basically, you're right.
187|[En sentido estricto] eso no está permitido.|Strictly speaking, that isn't allowed.
188|[Aparte de eso], estoy bien.|Apart from that, I'm doing well.
189|[Por lo que he oído], estuvo genial.|From everything I've heard, it was great.
190|[No quiero ofenderte], pero eso ha sido una grosería.|I don't want to offend you, but that was rude.
191|[Estoy dispuesto a que me demuestren lo contrario].|I'm happy to be proven wrong.
192|[Eso no se puede negar].|There's no denying that.
193|[Eso ni se dice].|That goes without saying.
194|La respuesta llegó [como un rayo].|The answer came like a shot.
195|[No lo tenía en el radar].|That wasn't on my radar.
196|[En eso estoy totalmente de acuerdo contigo].|I'm completely with you on that.
197|[En pocas palabras]: nos mudamos.|Long story short: we're moving.
198|[Ahí me has pillado].|You've got me there. (I don't know)
199|[Eso está por ver].|That remains to be seen.
200|[Me he quedado sin palabras].|I'm speechless.
201|¿[Me presento un momento]? Soy el nuevo vecino.|May I briefly introduce myself? I'm the new neighbor.
202|[Todavía no nos conocemos], ¿verdad?|We haven't met yet, have we?
203|[Creo que ya nos hemos visto antes].|I think we've met before.
204|¿[De qué conoces] a Lisa, por cierto?|How do you actually know Lisa?
205|¿[Qué te trae] por aquí?|What brings you here?
206|¿[Cuánto tiempo llevas] en la ciudad?|How long have you been in the city?
207|¿[Vienes mucho por aquí]?|Do you come here often?
208|¿[Qué sueles hacer] cuando no trabajas?|What do you get up to when you're not working?
209|[Solo quería saludarte un momento].|I just wanted to check in quickly.
210|¡[Qué alegría saber de ti]!|Nice to hear from you!
211|[Perdona por no haberte contestado antes].|Sorry I'm only getting back to you now.
212|[Espero que estés bien].|I hope you're doing well.
213|¿[Me lo podrías deletrear], por favor?|Could you spell that, please?
214|[No te he oído bien].|I didn't catch what you said.
215|[La conexión es] bastante [mala].|The connection is pretty bad.
216|[Te oigo muy bajo], ¿puedes hablar más alto?|You're very quiet, can you speak louder?
217|¿[Me oyes]?|Can you hear me?
218|[Te llamo ahora mismo].|I'll call you right back.
219|[Oye], ¿tienes algún plan para hoy?|Say, do you have any plans today?
220|¿[Tendrías un momento]?|Would you have a moment?
221|[No quiero entretenerte].|I don't want to keep you.
222|[Te dejo seguir trabajando].|I'll let you get back to work now.
223|[Me ha encantado charlar contigo].|It was nice chatting with you.
224|¡[No te pierdas]!|Keep in touch!
225|[Dale] a tu madre [un beso de mi parte].|Give your mother my love.
226|¡[Gracias, igualmente]!|Thanks, you too!
227|[Qué amable], gracias.|That's kind of you, thanks.
228|[Sería todo un detalle].|That would be really sweet.
229|[Espero no molestar].|I hope I'm not interrupting.
230|[Perdona que te pille así, por sorpresa].|Sorry to spring this on you.
231|¿[Puedo tutearte]?|May I use "du" with you?
232|¿[Nos tuteamos]?|Shall we switch to "du"?
233|[Puede tutearme, si quiere].|You're welcome to call me "du".
234|[No quería ser maleducado].|I didn't mean to be rude.
235|[Parece que no nos hemos entendido].|It seems we misunderstood each other.
236|¿[Te he entendido bien], que no vienes?|Do I understand correctly that you're not coming?
237|[Lo que quiero decir] es lo siguiente.|What I'm getting at is the following.
238|[En pocas palabras]: me apunto.|In a nutshell: I'm in.
239|[Para no enrollarme], lo hemos conseguido.|To make a long story short, we did it.
240|[Seré breve].|I'll keep it short.
241|[No quiero andarme con rodeos].|I don't want to beat around the bush.
242|[Dilo sin más].|Just say it straight out.
243|[Tengo que confesarte algo].|I have to confess something to you.
244|[Aquí entre nosotros], estoy nervioso.|Just between us, I'm nervous.
245|[Guárdatelo para ti], por favor.|Please keep that to yourself.
246|[Esto queda entre nosotros].|That stays between us.
247|[No lo decía en ese sentido].|I didn't mean it that way.
248|[Ahora que lo dices], yo también me doy cuenta.|Now that you mention it, I notice it too.
249|¡[Ay, casi se me olvida]!|Oh, I almost forgot!
250|[Ya que estamos]: ¿tienes mi llave?|While we're at it: do you have my key?
251|[Volviendo a tu pregunta]: sí, con gusto.|To come back to your question: yes, gladly.
252|[Otra cosa que quería decirte]: gracias por lo de ayer.|What I also wanted to say: thanks for yesterday.
253|¿[Cómo te lo diría]? Es complicado.|How should I put it? It's complicated.
254|[Ahora mismo no me sale la palabra].|The word escapes me right now.
255|¿[Cómo se llamaba eso]?|What do you call that again?
256|[Ya sabes a qué me refiero].|You know what I mean.
257|[No te sigo del todo].|I can't quite follow you.
258|¿[Puedes poner un ejemplo]?|Can you give an example?
259|[Yo no he dicho eso].|That's not what I said.
260|[Me has entendido mal].|You misunderstood me.
261|[Déjame aclarar esto].|Let me clarify that.
262|[Dicho de otro modo]: necesitamos ayuda.|Put differently: we need help.
263|[Del dicho al hecho hay mucho trecho].|That's easier said than done.
264|¡[Bueno, si es así]!|Well, if that's the case!
265|¡[Vale, me has convencido]!|Okay, you've convinced me!
266|[Por mí, vale].|Fine by me.
267|[Por mí] podemos irnos más tarde también.|As far as I'm concerned, we can leave later too.
268|[No es para tanto].|It's no big deal.
269|[No tiene importancia].|Not worth mentioning.
270|[No te lo tomes a pecho].|Don't let it get to you.
271|[Ánimo], todo saldrá bien.|Chin up, it'll be fine.
272|[Estoy en ascuas].|I'm on tenterhooks.
273|[Tengo muchas ganas de ver qué pasa].|Now I'm curious.
274|¡[Mira tú por dónde]!|Well, how about that!
275|¡[No me lo puedo creer]!|You're kidding!
276|¡[Madre mía]!|Oh my goodness!
277|[Estás de broma], ¿no?|You're joking, right?
278|¿[En serio]?|Seriously?
279|[Bromas aparte]: ¿cómo estás de verdad?|Joking aside: how are you really?
280|¿[Qué tal te va] en el trabajo?|So how are things going at work?
281|[Uno hace lo que puede].|You do what you can.
282|[No me puedo quejar].|Can't complain.
283|[Aquí, tirando].|You've got to keep going.
284|[Todo en orden].|Everything's fine.
285|[Podría ser peor].|It could be worse.
286|[Estoy bastante estresado], pero por lo demás bien.|I'm pretty stressed, but otherwise fine.
287|¡[Qué bien que haya salido bien]!|Great that it worked out!
288|¡[Te deseo mucho éxito]!|I wish you lots of success!
289|¡[Todo lo mejor para el futuro]!|All the best for the future!
290|¡[Que entres con buen pie en el año nuevo]!|Happy New Year! (said before New Year)
291|¡[Felices Pascuas] a todos!|Happy Easter to you all!
292|[Mi más sentido pésame].|My sincere condolences.
293|[Te acompaño en el sentimiento].|My heartfelt sympathy.
294|[Te escribo en cuanto pueda].|I'll get in touch as soon as I can.
295|¡[Hasta la próxima]!|Until next time!
296|[Ya hablamos].|We'll be in touch.
297|¡[Nos vemos]!|See you around!
298|¡[Que te vaya bien y cuídate]!|Take care and look after yourself!
299|¡[Que llegues bien]!|Get home safe!
300|[Si mal no recuerdo], nos conocimos en Viena.|If I remember rightly, we met in Vienna.
301|[Es un placer] conocerle.|It's a pleasure to meet you.
302|[He oído hablar mucho de usted].|I've heard a lot about you.
303|¡[Espero que solo cosas buenas]!|Only good things, I hope!
304|¿[Me permite presentarle] a mi compañero?|May I introduce my colleague to you?
305|[Nos vimos brevemente una vez].|We've met briefly.
306|[Su nombre me suena].|Your name rings a bell.
307|[Disculpe que le moleste].|Forgive the interruption.
308|[No quisiera ser una molestia].|I don't want to be a burden to you.
309|[Es usted muy atento].|That's very obliging of you.
310|[Se lo agradezco mucho].|I really appreciate that.
311|[Le estoy enormemente agradecido].|I'm deeply indebted to you.
312|[Faltaría más].|It was the least I could do.
313|[Como usted diga].|As you wish.
314|[Si me lo permite], me gustaría añadir algo.|If you'll allow me, I'd like to add something.
315|[Con todos mis respetos], yo lo veo de otra manera.|With all due respect, I see it differently.
316|[Con el debido respeto], eso no es del todo así.|With all due respect, that's not quite right.
317|[No quisiera ser indiscreto], pero ¿cuántos años tiene?|I don't want to be indiscreet, but how old are you?
318|[Si no es indiscreción]: ¿a qué se dedica?|If I may ask: what do you do for a living?
319|[No me lo tome a mal] si me voy antes.|Don't hold it against me if I leave early.
320|[Me da un poco de vergüenza], pero he olvidado su nombre.|This is embarrassing, but I've forgotten your name.
321|[Le pido mil disculpas].|I do apologize.
322|[No era en absoluto mi intención].|That was by no means my intention.
323|[Creo que no me he expresado bien].|I seem to have expressed myself unclearly.
324|[Permítame precisarlo].|Let me be more precise.
325|[Más concretamente], se trataba de otra cosa.|More precisely, it was about something else.
326|[O sea: tenemos que] aplazarlo todo.|In other words: we have to postpone the whole thing.
327|[Dicho claramente], eso significa que no vienes.|In plain terms, that means you're not coming.
328|[Hablando en plata]: fue un fiasco.|To put it bluntly: that was a flop.
329|[Por decirlo con delicadeza], no fue lo ideal.|To put it mildly, that wasn't ideal.
330|[Por decirlo suavemente], estoy decepcionado.|To put it mildly, I'm disappointed.
331|[Francamente], no tenía ni idea.|Frankly, I had no idea.
332|[Sin rodeos]: necesito tu ayuda.|Without beating around the bush: I need your help.
333|[Adelantando el final]: salió bien.|To give it away now: it worked.
334|[Dicho sea de paso], la comida estaba buenísima.|Incidentally, the food was excellent.
335|[Comentó de pasada] que se muda.|He mentioned in passing that he's moving.
336|[Lo digo solo de pasada].|Just as an aside.
337|[En cualquier caso], deberíamos empezar.|Be that as it may, we should get started.
338|[Como ya he dicho], yo en eso soy flexible.|As I said, I'm flexible there.
339|[Como ya se ha mencionado], la reunión empieza a las diez.|As already mentioned, the meeting starts at ten.
340|[Voy directamente al grano].|I'll get straight to the point.
341|[Mucho ruido y pocas nueces].|A lot of talk, no point at all.
342|[Es como hablar con la pared].|I'm talking to a brick wall.
343|[Te estás yendo por las ramas].|You're beating around the bush.
344|[Ahora has perdido el hilo].|Now you've lost the thread.
345|¿[Dónde me había quedado]?|Where was I?
346|[Me estoy desviando del tema].|I'm digressing.
347|[Volvamos al tema].|Back to the topic.
348|[Eso no viene al caso].|That's beside the point here.
349|[Eso está fuera de toda duda].|That's beyond question.
350|[Eso cae por su propio peso].|That goes without saying.
351|[Salta a la vista].|That's obvious.
352|¿[Cómo? ¡No lo dirás en serio]!|Excuse me? You can't be serious!
353|¡[Esto es el colmo]!|That takes the cake!
354|[Te deja sin aliento].|It takes your breath away.
355|[Me he quedado mudo].|I'm speechless.
356|[No tengo palabras].|I'm lost for words.
357|[No doy crédito a lo que oigo].|I can't believe my ears.
358|¡[Esto ya es demasiado]!|That's quite something!
359|¡[Vaya, menudo lío]!|Well, this is a fine mess!
360|[No te creía capaz de algo así].|I wouldn't have thought you had it in you.
361|¡[Me quito el sombrero]!|Hats off!
362|¡[Chapó]!|Well done! / Respect!
363|[No está nada mal].|That's impressive.
364|[Enhorabuena, lo has hecho muy bien].|Respect, you did that well.
365|[Te tomo la palabra].|I'll hold you to that.
366|[Lo prometido es deuda].|A promise is a promise.
367|[Te mantengo al tanto].|I'll keep you posted.
368|[Avísame si cambia algo].|Let me know if anything changes.
369|[Estoy a tu disposición para lo que necesites].|I'm at your disposal at any time.
370|[No dude en ponerse en contacto].|Don't hesitate to get in touch.
371|[Espero que nos veamos pronto].|I look forward to seeing you again soon.
372|[Ha sido un placer].|It was my pleasure.
373|¡[Esperamos volver a verle pronto]!|Do come again soon!
374|[Salude a su mujer de mi parte].|Give my regards to your wife.
375|[Dé recuerdos de mi parte] a su familia.|Give my regards to your family.
376|[Le deseo que pase una buena noche].|I wish you a pleasant evening.
377|[Que llegue bien a casa].|Have a safe trip home.
378|¡[Que le vaya bien]!|All the best!
379|¡[Hasta dentro de poco]!|See you soon!
380|¡[Hasta la vista]!|See you soon!
381|[Nos vemos la semana que viene como muy tarde].|We'll see each other next week at the latest.
382|¡[Chao, pescao]!|Bye-bye! (playful)
383|¡[Venga, hasta otro día]!|Bye, see you one of these days!
384|¡[Pues vaya, lo que faltaba]!|Well, that's just great! (ironic)
385|¡[Que disfrutes del resto de la tarde]!|Enjoy the rest of your evening! (after work)
386|¡[Buen provecho]!|Hello! (greeting at lunchtime at work)
387|¡[Hola, qué tal]!|Hi there!
388|¡[Buenas]!|Hello! (northern Germany)
389|¿[Qué pasa, cómo va todo]?|Hey, how's it going?
390|¿[Qué, todo bien]?|Hey, everything good?
391|¡[Cuánto tiempo]!|It's been ages!
392|¡[Qué pequeño es el mundo]!|What a small world!
393|[El mundo es un pañuelo].|Our paths are bound to cross again.
394|¡[Qué casualidad] encontrarte aquí!|What a coincidence to meet you here!
395|¡[Estás irreconocible]!|You're hardly recognizable!
396|[No has cambiado nada].|You haven't changed a bit.
397|[El tiempo vuela].|Time flies.
398|¿[Te acuerdas de] cómo nos conocimos?|Do you remember how we met?
399|¡[Qué tiempos aquellos]!|Those were the days!
400|[A ver si lo repetimos pronto].|Let's do this again soon.
401|[Esta es] mi madre.|This is my mother.
402|[Este es] mi padre.|This is my father.
403|[Tengo] dos hermanos.|I have two brothers.
404|[Tengo una] hermana.|I have a sister.
405|¿[Tienes] hermanos?|Do you have siblings?
406|[Soy] hijo único.|I'm an only child.
407|[Estoy casado].|I'm married.
408|[Estoy soltero].|I'm single.
409|¿[Tienes] hijos?|Do you have children?
410|[Tenemos] dos hijos.|We have two children.
411|¿[Cuántos años tiene] tu hijo?|How old is your son?
412|Mi hija [tiene] cinco [años].|My daughter is five years old.
413|Mis padres [viven en] Berlín.|My parents live in Berlin.
414|[Esta es] mi mujer.|This is my wife.
415|[Este es] mi marido.|This is my husband.
416|[Mi mejor amigo se llama] Max.|My best friend's name is Max.
417|[Esta es] mi novia, Lisa.|This is my girlfriend / friend Lisa.
418|Mi abuela [tiene] ochenta años.|My grandma is eighty.
419|[Te quiero].|I love you.
420|[Te echo de menos].|I miss you.
421|¿[Qué tal está] tu familia?|How is your family?
422|[Mi familia está bien].|My family is doing well.
423|[Somos] una familia grande.|We're a big family.
424|[Mi hermano es] mayor [que yo].|My brother is older than me.
425|[Mi hermana es] más pequeña.|My sister is younger.
426|[Es] muy majo.|He's very nice.
427|[Es] mi compañera de trabajo.|She's my colleague.
428|¿[Te vienes]?|Are you coming along?
429|[Jugamos] juntos.|We play together.
430|[Llamo] a mi madre.|I'm calling my mother.
431|[Hoy comemos] en casa de mis padres.|We're eating at my parents' today.
432|[Mi tío vive] en Hamburgo.|My uncle lives in Hamburg.
433|[Mi tía es] médica.|My aunt is a doctor.
434|[Voy a ver a] mis abuelos.|I'm visiting my grandparents.
435|[Tenemos] un perro.|We have a dog.
436|[Nuestra gata se llama] Mia.|Our cat's name is Mia.
437|[Este es] mi bebé.|This is my baby.
438|¿[Cuándo es tu cumpleaños]?|When is your birthday?
439|[Mi cumpleaños es] en mayo.|My birthday is in May.
440|¡[Feliz cumpleaños]!|Happy birthday!
441|¿[Quieres] comer con nosotros?|Do you want to eat with us?
442|[Tengo] muchos amigos.|I have many friends.
443|[Es] mi vecino.|He's my neighbor.
444|[Somos] amigos.|We're friends.
445|¿[Dónde están] los niños?|Where are the kids?
446|[Quedamos] con unos amigos el fin de semana.|We're meeting up with friends at the weekend.
447|[Me llevo bien con] mi padre.|I get along well with my father.
448|¿[Te apetece] pasarte esta noche?|Do you feel like coming over tonight?
449|[Es el cumpleaños de] mi abuela la semana que viene.|It's my grandma's birthday next week.
450|[Hacemos] una fiesta el sábado.|We're having a party on Saturday.
451|[Te invito] a mi fiesta.|I'm inviting you to my party.
452|¡[Gracias por la invitación]!|Thanks for the invitation!
453|[Iré encantado].|I'd love to come.
454|¿[Cómo os conocisteis]?|How did you two meet?
455|[Nos conocimos] en la universidad.|We met at university.
456|[Llevamos] cinco años [juntos].|We've been together for five years.
457|[Nos casamos] el año pasado.|We got married last year.
458|[Está embarazada].|She's pregnant.
459|Hoy [cuido de los niños].|I'm looking after the kids today.
460|[Mis padres están divorciados].|My parents are divorced.
461|[Todavía vivo con] mis padres.|I still live with my parents.
462|[Mi hijo va] al colegio.|My son goes to school.
463|[Pasamos] la Navidad [con] mi familia.|We're spending Christmas with my family.
464|[No nos vemos] muy a menudo.|We don't see each other that often.
465|[Hablo por teléfono con] mi madre todos los domingos.|I talk on the phone with my mother every Sunday.
466|[Se parece a] su padre.|He looks like his father.
467|[Es] muy [servicial].|She's very helpful.
468|A veces [es] un poco [tímido].|He's sometimes a bit shy.
469|[Tenemos mucho en común].|We have a lot in common.
470|¿[A qué se dedican] tus hijos?|What do your kids do for work?
471|¿[Qué tal está] tu hermano?|How's your brother?
472|[Dale recuerdos] de mi parte.|Give her my regards.
473|¿[Puedes recogerme]?|Can you pick me up?
474|[Voy a recoger] a los niños.|I'm picking up the kids.
475|[Vamos a dar un paseo] juntos.|We're going for a walk together.
476|¿[Os pasáis] mañana?|Are you coming by tomorrow?
477|¡[Tráete] a tu novio!|Bring your boyfriend along!
478|[He conocido] a un amigo nuevo.|I met a new friend.
479|[Tiene] mi edad.|He's my age.
480|[Mi familia es de] Italia.|My family comes from Italy.
481|[Me crie] con mi abuela.|I grew up at my grandma's.
482|A veces [discutimos].|We argue sometimes.
483|[Ya hemos hecho las paces].|We made up again.
484|[Tengo ganas de] la fiesta familiar.|I'm looking forward to the family celebration.
485|[A nuestros hijos les gusta jugar] fuera.|Our kids like playing outside.
486|[Tenemos] un regalo [para ti].|We have a present for you.
487|¡[Qué detalle por tu parte]!|That's so sweet of you!
488|¿[Cómo se llama] tu novia?|What's your girlfriend's name?
489|[Soy amigo] suyo.|I'm friends with her.
490|[Mi primo vive] en el extranjero.|My cousin lives abroad.
491|[Nos conocemos desde] el colegio.|We've known each other since school.
492|[Siempre puedo contar con] ella.|I can always rely on her.
493|[Depende de] quién más venga.|It depends on who else is coming.
494|[Tenemos] una [relación muy estrecha].|We have a close relationship.
495|[Me llevo muy bien con] mi hermana.|I have a good relationship with my sister.
496|[Ha cortado con] su novia.|He broke up with his girlfriend.
497|[Ella lo ha dejado].|She broke up (with him).
498|[Me he enamorado de] él.|I fell in love with him.
499|¡[Nos hemos prometido]!|We got engaged!
500|[Están esperando] su segundo hijo.|They're expecting their second child.
501|[Estoy orgulloso de] ti.|I'm proud of you.
502|[Estoy preocupado por] mi padre.|I'm worried about my father.
503|[Cuida de] su madre enferma.|He takes care of his sick mother.
504|[Hacemos] muchas cosas [juntos].|We do a lot together.
505|[Hace años que no] la [veo].|I haven't seen her in years.
506|[Nos criamos] juntos.|We grew up together.
507|[Me recuerda a] mi abuelo.|He reminds me of my grandpa.
508|[Echo mucho de menos] a mi familia.|I miss my family a lot.
509|[Echo de menos mi casa].|I'm homesick.
510|[Nos apoyamos unos a otros].|We stick together.
511|[Me ha ayudado] mucho.|She helped me a lot.
512|[Quería darte las gracias].|I wanted to thank you.
513|[Me invitó] a cenar.|He invited me to dinner.
514|[Hemos tenido una charla] genial.|We had a really good conversation.
515|[Estoy peleado] con ella.|I'm fighting with her.
516|[Siento] haber hecho tanto ruido.|I'm sorry I was so loud.
