1|[Hi], how's it going?|Hola, ¿qué tal?
119|[Where were we]?|¿Por dónde íbamos?
120|[By the way], I have some news.|Por cierto, tengo novedades.
121|[Speaking of] vacation, where are you going?|Hablando de vacaciones, ¿adónde vas?
122|[That depends].|Eso depende.
123|[It depends].|Depende.
124|[I don't care] what we do.|Me da igual lo que hagamos.
125|[I can't wait to see] what happens.|Tengo curiosidad por ver qué pasa.
126|[I didn't catch that].|No me he enterado.
127|[Can you explain that another way]?|¿Puedes explicarlo de otra manera?
128|[Actually, I meant] something else.|En realidad me refería a otra cosa.
129|[That came out wrong].|Me he equivocado al hablar.
130|[I was just kidding].|Solo era una broma.
131|[I'm in a hurry].|Tengo prisa.
132|[I'm so glad you're here].|Qué bien que estés aquí.
133|[Get home safe]!|¡Que llegues bien a casa!
134|[Make yourself at home].|Estás en tu casa.
135|[Oh well], that's life.|Bueno, así es la vida.
136|[If I'm not mistaken], we've met before.|Si no me equivoco, ya nos conocemos.
137|[That rings a bell].|Me suena.
138|[You look familiar].|Tu cara me suena.
139|[That slipped my mind].|Se me ha ido de la cabeza.
140|[It's on the tip of my tongue].|Lo tengo en la punta de la lengua.
141|[I'm all ears].|Soy todo oídos.
142|[To be honest], I don't really feel like it.|Para ser sincero, no me apetece.
143|[Honestly], I think that's weird.|La verdad es que me parece raro.
144|[As far as I know], he's already gone.|Que yo sepa, ya se ha ido.
145|[Anyway], we have to keep going.|Sea como sea, tenemos que seguir.
146|[In short], it didn't work out.|En resumen: no ha salido bien.
147|[In other words], we're starting over.|En otras palabras, empezamos de nuevo.
148|[So you're saying] you're not coming?|Entonces eso significa que no vienes, ¿no?
149|[Like I said], I can't today.|Como te he dicho, hoy no puedo.
150|[I didn't mean to interrupt you].|No quería interrumpirte.
151|[Can I jump in real quick]?|¿Puedo añadir algo rápido?
152|[Let me finish]!|¡Déjame terminar!
153|[What are you getting at]?|¿Adónde quieres llegar?
154|[That's not the point].|Esa no es la cuestión.
155|[That's easy for you to say].|Qué fácil es decirlo.
156|[It's all Greek to me].|Me suena a chino.
157|[You're right], that was my mistake.|Tienes razón, ha sido culpa mía.
158|[You've got a point] there.|En eso tienes razón.
159|[Don't take this the wrong way], but I have to cancel.|No te lo tomes a mal, pero tengo que cancelar.
160|[No offense].|Sin ánimo de ofender.
161|[Let's just forget about it].|Borrón y cuenta nueva.
162|[I didn't mean it like that].|No lo decía con esa intención.
163|[Well, let's do this]!|¡Venga, vamos allá!
164|[We'll see].|Ya veremos.
165|[Who knows]?|¿Quién sabe?
166|[That's out of the question].|Ni hablar.
167|[I'm in]!|¡Me apunto!
168|[Luckily], it still worked out.|Por suerte al final salió bien.
169|[Unfortunately], I have to cancel.|Por desgracia tengo que cancelar.
170|[I] totally [misunderstood] you.|Te he entendido mal.
171|[That's what I was getting at].|A eso me refería.
172|[I'll keep my fingers crossed for you]!|¡Cruzo los dedos por ti!
173|[Knock 'em dead]!|¡Mucha mierda!
174|[Don't worry about it].|No te preocupes por eso.
175|[Break a leg]!|¡Suerte, que te vaya genial!
176|[Between you and me], the project failed.|Entre tú y yo, el proyecto ha fracasado.
177|[If I'm being honest], I had my doubts.|Si te soy sincero, tenía mis dudas.
178|[Unless] you have a better idea.|A no ser que tengas una idea mejor.
179|[One doesn't rule out the other].|Una cosa no quita la otra.
180|[That's a whole different story].|Eso es harina de otro costal.
181|[That's not my problem].|Eso no es asunto mío.
182|[Let's cut to the chase].|Vamos al grano.
183|[To get right to the point], we need more time.|Para ir al grano: necesitamos más tiempo.
184|[As the saying goes], practice makes perfect.|Como bien dice el refrán: la práctica hace al maestro.
185|[So to speak].|Por así decirlo.
186|[Basically], you're right.|En el fondo tienes razón.
187|[Strictly speaking], that's not allowed.|En sentido estricto eso no está permitido.
188|[Other than that], I'm doing fine.|Aparte de eso, estoy bien.
189|[From what I've heard], it was great.|Por lo que he oído, estuvo genial.
190|[I don't mean to offend you], but that was rude.|No quiero ofenderte, pero eso ha sido una grosería.
191|[I'm happy to be proven wrong].|Estoy dispuesto a que me demuestren lo contrario.
192|[There's no denying that].|Eso no se puede negar.
193|[That goes without saying].|Eso ni se dice.
194|[Without missing a beat], she answered.|La respuesta llegó como un rayo.
195|[That wasn't on my radar].|No lo tenía en el radar.
196|[I'm totally with you on that].|En eso estoy totalmente de acuerdo contigo.
197|[Long story short], we're moving.|En pocas palabras: nos mudamos.
198|[You've got me there].|Ahí me has pillado.
199|[That remains to be seen].|Eso está por ver.
200|[I'm speechless].|Me he quedado sin palabras.
201|[Let me introduce myself real quick]. I'm the new neighbor.|¿Me presento un momento? Soy el nuevo vecino.
202|[We haven't met yet], have we?|Todavía no nos conocemos, ¿verdad?
203|[I think we've met before].|Creo que ya nos hemos visto antes.
204|[So how do you know] Lisa?|¿De qué conoces a Lisa, por cierto?
205|[What brings you] here?|¿Qué te trae por aquí?
206|[How long have you been] in town?|¿Cuánto tiempo llevas en la ciudad?
207|[Do you come here often]?|¿Vienes mucho por aquí?
208|[What do you like to do] when you're not working?|¿Qué sueles hacer cuando no trabajas?
209|[I just wanted to check in].|Solo quería saludarte un momento.
210|[So nice to hear from you]!|¡Qué alegría saber de ti!
211|[Sorry it took me so long to get back to you].|Perdona por no haberte contestado antes.
212|[I hope you're doing well].|Espero que estés bien.
213|[Could you spell that, please]?|¿Me lo podrías deletrear, por favor?
214|[I couldn't hear what you said].|No te he oído bien.
215|[The connection is] pretty [bad].|La conexión es bastante mala.
216|[You're really quiet], can you speak up?|Te oigo muy bajo, ¿puedes hablar más alto?
217|[Can you hear me]?|¿Me oyes?
218|[I'll call you right back].|Te llamo ahora mismo.
219|[Hey, so], do you have any plans today?|Oye, ¿tienes algún plan para hoy?
220|[Do you have a minute]?|¿Tendrías un momento?
221|[I don't want to keep you].|No quiero entretenerte.
222|[I'll let you get back to work].|Te dejo seguir trabajando.
223|[It was nice chatting with you].|Me ha encantado charlar contigo.
224|[Keep in touch]!|¡No te pierdas!
225|[Tell] your mom [I said hi].|Dale a tu madre un beso de mi parte.
226|[Thanks, you too]!|¡Gracias, igualmente!
227|[That's nice of you], thanks.|Qué amable, gracias.
228|[That would be really sweet].|Sería todo un detalle.
229|[I hope I'm not interrupting].|Espero no molestar.
230|[Sorry to spring this on you].|Perdona que te pille así, por sorpresa.
231|[Can I call you by your first name]?|¿Puedo tutearte?
232|[Why don't we go by first names]?|¿Nos tuteamos?
233|[Feel free to call me by my first name].|Puede tutearme, si quiere.
234|[I didn't mean to be rude].|No quería ser maleducado.
235|[I guess we got our wires crossed].|Parece que no nos hemos entendido.
236|[Am I right in thinking] you're not coming?|¿Te he entendido bien, que no vienes?
237|[What I'm getting at] is this.|Lo que quiero decir es lo siguiente.
238|[Short and sweet], I'm in.|En pocas palabras: me apunto.
239|[To make a long story short], we did it.|Para no enrollarme, lo hemos conseguido.
240|[I'll keep it short].|Seré breve.
241|[I don't want to beat around the bush].|No quiero andarme con rodeos.
242|[Just come out and say it].|Dilo sin más.
243|[I have to confess something].|Tengo que confesarte algo.
244|[Just between us], I'm nervous.|Aquí entre nosotros, estoy nervioso.
245|[Please keep that to yourself].|Guárdatelo para ti, por favor.
246|[That stays between us].|Esto queda entre nosotros.
247|[I didn't mean it that way].|No lo decía en ese sentido.
248|[Now that you mention it], I notice it too.|Ahora que lo dices, yo también me doy cuenta.
249|[Oh, I almost forgot]!|¡Ay, casi se me olvida!
250|[While we're at it], do you have my key?|Ya que estamos: ¿tienes mi llave?
251|[Getting back to your question], yes, I'd love to.|Volviendo a tu pregunta: sí, con gusto.
252|[One more thing]: thanks for yesterday.|Otra cosa que quería decirte: gracias por lo de ayer.
253|[How should I put it]? It's complicated.|¿Cómo te lo diría? Es complicado.
254|[I can't think of the word right now].|Ahora mismo no me sale la palabra.
255|[What do you call that again]?|¿Cómo se llamaba eso?
256|[You know what I mean].|Ya sabes a qué me refiero.
257|[I'm not quite following you].|No te sigo del todo.
258|[Can you give me an example]?|¿Puedes poner un ejemplo?
259|[That's not what I said].|Yo no he dicho eso.
260|[You misunderstood me].|Me has entendido mal.
261|[Let me clear that up].|Déjame aclarar esto.
262|[To put it another way], we need help.|Dicho de otro modo: necesitamos ayuda.
263|[That's easier said than done].|Del dicho al hecho hay mucho trecho.
264|[Well, if that's the case]!|¡Bueno, si es así!
265|[Okay, you talked me into it]!|¡Vale, me has convencido!
266|[Fine by me].|Por mí, vale.
267|[As far as I'm concerned], we can leave later too.|Por mí podemos irnos más tarde también.
268|[It's no big deal].|No es para tanto.
269|[It's nothing, really].|No tiene importancia.
270|[Don't let it get to you].|No te lo tomes a pecho.
271|[Chin up], it'll be fine.|Ánimo, todo saldrá bien.
272|[I'm on pins and needles].|Estoy en ascuas.
273|[Now I'm really curious].|Tengo muchas ganas de ver qué pasa.
274|[Well, how about that]!|¡Mira tú por dónde!
275|[No way]!|¡No me lo puedo creer!
276|[Oh my goodness]!|¡Madre mía!
277|[You're joking], right?|Estás de broma, ¿no?
278|[For real]?|¿En serio?
279|[Joking aside], how are you really?|Bromas aparte: ¿cómo estás de verdad?
280|[So how's it going] at work?|¿Qué tal te va en el trabajo?
281|[You do what you can].|Uno hace lo que puede.
282|[Can't complain].|No me puedo quejar.
283|[Gotta keep going].|Aquí, tirando.
284|[Everything's good].|Todo en orden.
285|[It could be worse].|Podría ser peor.
286|[I'm pretty stressed out], but otherwise good.|Estoy bastante estresado, pero por lo demás bien.
287|[So glad it worked out]!|¡Qué bien que haya salido bien!
288|[I wish you lots of success]!|¡Te deseo mucho éxito!
289|[All the best for the future]!|¡Todo lo mejor para el futuro!
290|[Have a happy New Year]!|¡Que entres con buen pie en el año nuevo!
291|[Happy Easter], everyone!|¡Felices Pascuas a todos!
292|[My condolences].|Mi más sentido pésame.
293|[My deepest sympathies].|Te acompaño en el sentimiento.
294|[I'll get back to you as soon as I can].|Te escribo en cuanto pueda.
295|[Until next time]!|¡Hasta la próxima!
296|[We'll be in touch].|Ya hablamos.
297|[See you around]!|¡Nos vemos!
298|[Take care and look after yourself]!|¡Que te vaya bien y cuídate!
299|[Get home safe]!|¡Que llegues bien!
300|[If I remember correctly], we met in Vienna.|Si mal no recuerdo, nos conocimos en Viena.
301|[It's a pleasure] to meet you.|Es un placer conocerle.
302|[I've heard so much about you].|He oído hablar mucho de usted.
303|[All good things, I hope]!|¡Espero que solo cosas buenas!
304|[May I introduce] my colleague?|¿Me permite presentarle a mi compañero?
305|[We've met briefly].|Nos vimos brevemente una vez.
306|[Your name sounds familiar].|Su nombre me suena.
307|[Sorry to bother you].|Disculpe que le moleste.
308|[I don't want to impose].|No quisiera ser una molestia.
309|[That's very kind of you].|Es usted muy atento.
310|[I really appreciate that].|Se lo agradezco mucho.
311|[I can't thank you enough].|Le estoy enormemente agradecido.
312|[It was the least I could do].|Faltaría más.
313|[Whatever you think is best].|Como usted diga.
314|[If you don't mind], I'd like to add something.|Si me lo permite, me gustaría añadir algo.
315|[If I may say so], I see it differently.|Con todos mis respetos, yo lo veo de otra manera.
316|[With all due respect], that's not quite right.|Con el debido respeto, eso no es del todo así.
317|[I don't mean to pry], but how old are you?|No quisiera ser indiscreto, pero ¿cuántos años tiene?
318|[If you don't mind my asking], what do you do for a living?|Si no es indiscreción: ¿a qué se dedica?
319|[I hope you won't mind] if I leave early.|No me lo tome a mal si me voy antes.
320|[This is so embarrassing], but I've forgotten your name.|Me da un poco de vergüenza, pero he olvidado su nombre.
321|[I sincerely apologize].|Le pido mil disculpas.
322|[That was never my intention].|No era en absoluto mi intención.
323|[I guess I didn't make myself clear].|Creo que no me he expresado bien.
324|[Let me be more specific].|Permítame precisarlo.
325|[To be more precise], it was about something else.|Más concretamente, se trataba de otra cosa.
326|[In other words, we have to] push the whole thing back.|O sea: tenemos que aplazarlo todo.
327|[In plain English], that means you're not coming.|Dicho claramente, eso significa que no vienes.
328|[Not to put too fine a point on it], that was a flop.|Hablando en plata: fue un fiasco.
329|[To put it gently], that wasn't ideal.|Por decirlo con delicadeza, no fue lo ideal.
330|[To say the least], I'm disappointed.|Por decirlo suavemente, estoy decepcionado.
331|[Frankly], I had no idea.|Francamente, no tenía ni idea.
332|[I'll just come right out and say it]: I need your help.|Sin rodeos: necesito tu ayuda.
333|[Spoiler alert]: it worked.|Adelantando el final: salió bien.
334|[Incidentally], the food was amazing.|Dicho sea de paso, la comida estaba buenísima.
335|[He casually mentioned] that he's moving.|Comentó de pasada que se muda.
336|[Just as a side note].|Lo digo solo de pasada.
337|[Be that as it may], we should get started.|En cualquier caso, deberíamos empezar.
338|[As I said], I'm flexible on that.|Como ya he dicho, yo en eso soy flexible.
339|[As I mentioned earlier], the meeting starts at ten.|Como ya se ha mencionado, la reunión empieza a las diez.
340|[I'll get straight to the point].|Voy directamente al grano.
341|[All that talk and no point at all].|Mucho ruido y pocas nueces.
342|[It's like talking to a brick wall].|Es como hablar con la pared.
343|[You're beating around the bush].|Te estás yendo por las ramas.
344|[Now you've lost your train of thought].|Ahora has perdido el hilo.
345|[Where was I]?|¿Dónde me había quedado?
346|[I'm getting off track].|Me estoy desviando del tema.
347|[Back to the topic].|Volvamos al tema.
348|[That's beside the point].|Eso no viene al caso.
349|[That's beyond question].|Eso está fuera de toda duda.
350|[That's a given].|Eso cae por su propio peso.
351|[That's obvious].|Salta a la vista.
352|[Excuse me? You can't be serious]!|¿Cómo? ¡No lo dirás en serio!
353|[That takes the cake]!|¡Esto es el colmo!
354|[It takes your breath away].|Te deja sin aliento.
355|[I'm speechless].|Me he quedado mudo.
356|[I'm at a loss for words].|No tengo palabras.
357|[I can't believe my ears].|No doy crédito a lo que oigo.
358|[That's really something]!|¡Esto ya es demasiado!
359|[Well, this is a fine mess]!|¡Vaya, menudo lío!
360|[I didn't know you had it in you].|No te creía capaz de algo así.
361|[Hats off]!|¡Me quito el sombrero!
362|[Way to go]!|¡Chapó!
363|[That's pretty impressive].|No está nada mal.
364|[Respect, you did a great job].|Enhorabuena, lo has hecho muy bien.
365|[I'll hold you to that].|Te tomo la palabra.
366|[A promise is a promise].|Lo prometido es deuda.
367|[I'll keep you posted].|Te mantengo al tanto.
368|[Let me know if anything changes].|Avísame si cambia algo.
369|[I'm here for you anytime].|Estoy a tu disposición para lo que necesites.
370|[Please don't hesitate to reach out].|No dude en ponerse en contacto.
371|[I look forward to seeing you again soon].|Espero que nos veamos pronto.
372|[It was my pleasure].|Ha sido un placer.
373|[Please come again soon]!|¡Esperamos volver a verle pronto!
374|[Please give my regards to your wife].|Salude a su mujer de mi parte.
375|[Please give my best to] your family.|Dé recuerdos de mi parte a su familia.
376|[Have a lovely evening].|Le deseo que pase una buena noche.
377|[Have a safe trip home].|Que llegue bien a casa.
378|[All the best]!|¡Que le vaya bien!
379|[Talk to you soon]!|¡Hasta dentro de poco!
380|[Catch you later]!|¡Hasta la vista!
381|[We'll see each other next week at the latest].|Nos vemos la semana que viene como muy tarde.
382|[Bye-bye]!|¡Chao, pescao!
383|[Bye, see you one of these days]!|¡Venga, hasta otro día!
384|[Well, that's just great]!|¡Pues vaya, lo que faltaba!
385|[Enjoy the rest of your evening]!|¡Que disfrutes del resto de la tarde!
386|[Enjoy your lunch]!|¡Buen provecho!
387|[Hi there]!|¡Hola, qué tal!
388|[Hey hey]!|¡Buenas!
389|[Hey, how's it going]?|¿Qué pasa, cómo va todo?
390|[Hey, you doing okay]?|¿Qué, todo bien?
391|[It's been ages]!|¡Cuánto tiempo!
392|[What a small world]!|¡Qué pequeño es el mundo!
393|[Our paths are bound to cross again].|El mundo es un pañuelo.
394|[What a coincidence], running into you here!|¡Qué casualidad encontrarte aquí!
395|[I hardly recognized you]!|¡Estás irreconocible!
396|[You haven't changed a bit].|No has cambiado nada.
397|[Time flies].|El tiempo vuela.
398|[Do you remember] how we met?|¿Te acuerdas de cómo nos conocimos?
399|[Those were the days]!|¡Qué tiempos aquellos!
400|[Let's do this again soon].|A ver si lo repetimos pronto.
401|[This is] my mom.|Esta es mi madre.
402|[This is] my dad.|Este es mi padre.
403|[I have] two brothers.|Tengo dos hermanos.
404|[I have a] sister.|Tengo una hermana.
405|[Do you have] any brothers or sisters?|¿Tienes hermanos?
406|[I'm] an only child.|Soy hijo único.
407|[I'm married].|Estoy casado.
408|[I'm single].|Estoy soltero.
409|[Do you have] kids?|¿Tienes hijos?
410|[We have] two kids.|Tenemos dos hijos.
411|[How old is] your son?|¿Cuántos años tiene tu hijo?
412|My daughter [is] five [years old].|Mi hija tiene cinco años.
413|My parents [live in] Berlin.|Mis padres viven en Berlín.
414|[This is] my wife.|Esta es mi mujer.
415|[This is] my husband.|Este es mi marido.
416|[My best friend's name is] Max.|Mi mejor amigo se llama Max.
417|[This is] my girlfriend, Lisa.|Esta es mi novia, Lisa.
418|My grandma [is] eighty.|Mi abuela tiene ochenta años.
419|[I love you].|Te quiero.
420|[I miss you].|Te echo de menos.
421|[How's] your family [doing]?|¿Qué tal está tu familia?
422|[My family is doing well].|Mi familia está bien.
423|[We're] a big family.|Somos una familia grande.
424|[My brother is] older [than me].|Mi hermano es mayor que yo.
425|[My sister is] younger.|Mi hermana es más pequeña.
426|[He's] really nice.|Es muy majo.
427|[She's] my coworker.|Es mi compañera de trabajo.
428|[Are you coming] with us?|¿Te vienes?
429|[We play] together.|Jugamos juntos.
430|[I'm calling] my mom.|Llamo a mi madre.
431|[We're having dinner] at my parents' tonight.|Hoy comemos en casa de mis padres.
432|[My uncle lives] in Chicago.|Mi tío vive en Hamburgo.
433|[My aunt is] a doctor.|Mi tía es médica.
434|[I'm visiting] my grandparents.|Voy a ver a mis abuelos.
435|[We have] a dog.|Tenemos un perro.
436|[Our cat's name is] Mia.|Nuestra gata se llama Mia.
437|[This is] my baby.|Este es mi bebé.
438|[When's your birthday]?|¿Cuándo es tu cumpleaños?
439|[My birthday is] in May.|Mi cumpleaños es en mayo.
440|[Happy birthday]!|¡Feliz cumpleaños!
441|[Do you want to] eat with us?|¿Quieres comer con nosotros?
442|[I have] a lot of friends.|Tengo muchos amigos.
443|[He's] my neighbor.|Es mi vecino.
444|[We're] friends.|Somos amigos.
445|[Where are] the kids?|¿Dónde están los niños?
446|[We're getting together] with friends this weekend.|Quedamos con unos amigos el fin de semana.
447|[I get along well with] my dad.|Me llevo bien con mi padre.
448|[Do you want] to come over tonight?|¿Te apetece pasarte esta noche?
449|My grandma's [birthday is] next week.|Es el cumpleaños de mi abuela la semana que viene.
450|[We're having] a party on Saturday.|Hacemos una fiesta el sábado.
451|[I'm inviting you] to my party.|Te invito a mi fiesta.
452|[Thanks for the invite]!|¡Gracias por la invitación!
453|[I'd love to come].|Iré encantado.
454|[How did you two meet]?|¿Cómo os conocisteis?
455|[We met] in college.|Nos conocimos en la universidad.
456|[We've been together for] five years.|Llevamos cinco años juntos.
457|[We got married] last year.|Nos casamos el año pasado.
458|[She's pregnant].|Está embarazada.
459|[I'm watching the kids] today.|Hoy cuido de los niños.
460|[My parents are divorced].|Mis padres están divorciados.
461|[I still live with] my parents.|Todavía vivo con mis padres.
462|[My son goes] to school.|Mi hijo va al colegio.
463|[We're spending] Christmas [with] my family.|Pasamos la Navidad con mi familia.
464|[We don't see each other] that often.|No nos vemos muy a menudo.
465|[I talk to] my mom [on the phone] every Sunday.|Hablo por teléfono con mi madre todos los domingos.
466|[He looks like] his dad.|Se parece a su padre.
467|[She's] really [helpful].|Es muy servicial.
468|[He's] a little [shy] sometimes.|A veces es un poco tímido.
469|[We have a lot in common].|Tenemos mucho en común.
470|[What do] your kids [do for a living]?|¿A qué se dedican tus hijos?
471|[How's] your brother?|¿Qué tal está tu hermano?
472|[Tell] her [I said hi].|Dale recuerdos de mi parte.
473|[Can you pick] me [up]?|¿Puedes recogerme?
474|[I'm picking up] the kids.|Voy a recoger a los niños.
475|[We're going for a walk] together.|Vamos a dar un paseo juntos.
476|[Are you guys coming over] tomorrow?|¿Os pasáis mañana?
477|[Bring] your boyfriend [along]!|¡Tráete a tu novio!
478|[I made] a new friend.|He conocido a un amigo nuevo.
479|[He's] my age.|Tiene mi edad.
480|[My family is from] Italy.|Mi familia es de Italia.
481|[I grew up] at my grandma's.|Me crie con mi abuela.
482|[We fight] sometimes.|A veces discutimos.
483|[We made up].|Ya hemos hecho las paces.
484|[I'm looking forward to] the family get-together.|Tengo ganas de la fiesta familiar.
485|[Our kids love playing] outside.|A nuestros hijos les gusta jugar fuera.
486|[We have] a present [for you].|Tenemos un regalo para ti.
487|[That's] so [sweet of you]!|¡Qué detalle por tu parte!
488|[What's] your girlfriend's [name]?|¿Cómo se llama tu novia?
489|[I'm friends with] her.|Soy amigo suyo.
490|[My cousin lives] abroad.|Mi primo vive en el extranjero.
491|[We've known each other since] high school.|Nos conocemos desde el colegio.
492|[I can always count on] her.|Siempre puedo contar con ella.
493|[It depends on] who else is coming.|Depende de quién más venga.
494|[We're] really [close].|Tenemos una relación muy estrecha.
495|[I have] a [good relationship with] my sister.|Me llevo muy bien con mi hermana.
496|[He broke up with] his girlfriend.|Ha cortado con su novia.
497|[She broke up with him].|Ella lo ha dejado.
498|[I fell in love with] him.|Me he enamorado de él.
499|[We got engaged]!|¡Nos hemos prometido!
500|[They're expecting] their second baby.|Están esperando su segundo hijo.
501|[I'm proud of] you.|Estoy orgulloso de ti.
502|[I'm worried about] my dad.|Estoy preocupado por mi padre.
503|[He takes care of] his sick mom.|Cuida de su madre enferma.
504|[We do] a lot of stuff [together].|Hacemos muchas cosas juntos.
505|[I haven't seen] her [in years].|Hace años que no la veo.
506|[We grew up] together.|Nos criamos juntos.
507|[He reminds me of] my grandpa.|Me recuerda a mi abuelo.
508|[I miss] my family [so much].|Echo mucho de menos a mi familia.
509|[I'm homesick].|Echo de menos mi casa.
510|[We stick together].|Nos apoyamos unos a otros.
511|[She helped] me [so much].|Me ha ayudado mucho.
512|[I wanted to thank you].|Quería darte las gracias.
513|[He took] me [out] to dinner.|Me invitó a cenar.
514|[We had] a really [great talk].|Hemos tenido una charla genial.
515|[I'm in a fight] with her.|Estoy peleado con ella.
516|[I'm sorry] I was so loud.|Siento haber hecho tanto ruido.
517|[I forgive you].|Te he perdonado.
